date,handcuffs
2016-05-01,63.4944099378882
2016-05-02,51.43850931677019
2016-05-03,53.04596273291926
2016-05-04,57.064596273291926
2016-05-05,59.47577639751553
2016-05-06,53.04596273291926
2016-05-07,50.63478260869565
2016-05-08,59.47577639751553
2016-05-09,72.33540372670808
2016-05-10,52.24223602484472
2016-05-11,55.457142857142856
2016-05-12,45.81242236024845
2016-05-13,49.83105590062112
2016-05-14,61.083229813664595
2016-05-15,57.86832298136646
2016-05-16,49.83105590062112
2016-05-17,51.43850931677019
2016-05-18,53.84968944099379
2016-05-19,43.40124223602484
2016-05-20,54.65341614906832
2016-05-21,59.47577639751553
2016-05-22,53.84968944099379
2016-05-23,57.064596273291926
2016-05-24,49.02732919254658
2016-05-25,57.86832298136646
2016-05-26,52.24223602484472
2016-05-27,49.83105590062112
2016-05-28,57.86832298136646
2016-05-29,64.29813664596273
2016-05-30,50.63478260869565
2016-05-31,63.4944099378882
2016-06-01,49.02732919254658
2016-06-02,45.81242236024845
2016-06-03,50.63478260869565
2016-06-04,61.083229813664595
2016-06-05,73.94285714285715
2016-06-06,56.26086956521739
2016-06-07,58.672049689440996
2016-06-08,49.02732919254658
2016-06-09,59.47577639751553
2016-06-10,52.24223602484472
2016-06-11,63.4944099378882
2016-06-12,57.064596273291926
2016-06-13,57.86832298136646
2016-06-14,58.672049689440996
2016-06-15,53.84968944099379
2016-06-16,52.24223602484472
2016-06-17,53.04596273291926
2016-06-18,60.27950310559006
2016-06-19,61.88695652173913
2016-06-20,51.43850931677019
2016-06-21,45.00869565217391
2016-06-22,51.43850931677019
2016-06-23,47.41987577639752
2016-06-24,40.990062111801244
2016-06-25,56.26086956521739
2016-06-26,49.02732919254658
2016-06-27,58.672049689440996
2016-06-28,48.22360248447205
2016-06-29,49.02732919254658
2016-06-30,49.02732919254658
2016-07-01,48.22360248447205
2016-07-02,55.457142857142856
2016-07-03,57.064596273291926
2016-07-04,55.457142857142856
2016-07-05,49.83105590062112
2016-07-06,48.22360248447205
2016-07-07,61.083229813664595
2016-07-08,53.84968944099379
2016-07-09,63.4944099378882
2016-07-10,60.27950310559006
2016-07-11,53.04596273291926
2016-07-12,57.86832298136646
2016-07-13,61.88695652173913
2016-07-14,49.83105590062112
2016-07-15,54.65341614906832
2016-07-16,60.27950310559006
2016-07-17,65.10186335403726
2016-07-18,49.83105590062112
2016-07-19,57.064596273291926
2016-07-20,50.63478260869565
2016-07-21,52.24223602484472
2016-07-22,48.22360248447205
2016-07-23,57.86832298136646
2016-07-24,67.51304347826087
2016-07-25,49.83105590062112
2016-07-26,53.04596273291926
2016-07-27,57.064596273291926
2016-07-28,55.457142857142856
2016-07-29,59.47577639751553
2016-07-30,60.27950310559006
2016-07-31,68.3167701863354
2016-08-01,58.672049689440996
2016-08-02,50.63478260869565
2016-08-03,49.83105590062112
2016-08-04,49.02732919254658
2016-08-05,58.672049689440996
2016-08-06,51.43850931677019
2016-08-07,49.83105590062112
2016-08-08,49.83105590062112
2016-08-09,60.27950310559006
2016-08-10,45.81242236024845
2016-08-11,53.84968944099379
2016-08-12,58.672049689440996
2016-08-13,58.672049689440996
2016-08-14,58.672049689440996
2016-08-15,60.27950310559006
2016-08-16,41.79378881987578
2016-08-17,61.083229813664595
2016-08-18,52.24223602484472
2016-08-19,61.083229813664595
2016-08-20,65.9055900621118
2016-08-21,76.35403726708074
2016-08-22,65.10186335403726
2016-08-23,60.27950310559006
2016-08-24,45.00869565217391
2016-08-25,65.10186335403726
2016-08-26,59.47577639751553
2016-08-27,64.29813664596273
2016-08-28,70.72795031055901
2016-08-29,70.72795031055901
2016-08-30,57.86832298136646
2016-08-31,73.13913043478261
2016-09-01,73.94285714285715
2016-09-02,65.9055900621118
2016-09-03,66.70931677018633
2016-09-04,69.12049689440994
2016-09-05,65.10186335403726
2016-09-06,77.15776397515528
2016-09-07,77.15776397515528
2016-09-08,73.13913043478261
2016-09-09,80.37267080745342
2016-09-10,72.33540372670808
2016-09-11,57.064596273291926
2016-09-12,53.84968944099379
2016-09-13,55.457142857142856
2016-09-14,50.63478260869565
2016-09-15,58.672049689440996
2016-09-16,64.29813664596273
2016-09-17,60.27950310559006
2016-09-18,61.083229813664595
2016-09-19,63.4944099378882
2016-09-20,47.41987577639752
2016-09-21,45.81242236024845
2016-09-22,57.86832298136646
2016-09-23,68.3167701863354
2016-09-24,61.88695652173913
2016-09-25,69.92422360248447
2016-09-26,59.47577639751553
2016-09-27,52.24223602484472
2016-09-28,65.10186335403726
2016-09-29,55.457142857142856
2016-09-30,55.457142857142856
2016-10-01,57.52298136645963
2016-10-02,41.504347826086956
2016-10-03,56.7192546583851
2016-10-04,53.2192546583851
2016-10-05,39.906211180124224
2016-10-06,64.64906832298136
2016-10-07,53.12111801242236
2016-10-08,56.93416149068323
2016-10-09,68.35465838509316
2016-10-10,58.43416149068323
2016-10-11,67.63975155279503
2016-10-12,62.6583850931677
2016-10-13,52.42484472049689
2016-10-14,53.81739130434782
2016-10-15,61.737888198757766
2016-10-16,59.93416149068323
2016-10-17,56.22857142857143
2016-10-18,74.26583850931678
2016-10-19,53.32670807453416
2016-10-20,56.43416149068323
2016-10-21,62.43416149068323
2016-10-22,60.256521739130434
2016-10-23,71.77515527950311
2016-10-24,62.8360248447205
2016-10-25,64.94347826086957
2016-10-26,62.63975155279503
2016-10-27,70.15838509316771
2016-10-28,74.77515527950311
2016-10-29,72.6863354037267
2016-10-30,65.8639751552795
2016-10-31,69.76583850931678
2016-11-01,54.03229813664596
2016-11-02,52.0
