date,barack obama
2016-11-25,6.0
2016-11-26,8.0
2016-11-27,7.0
2016-11-28,6.0
2016-11-29,5.0
2016-11-30,6.0
2016-12-01,6.0
2016-12-02,5.0
2016-12-03,4.0
2016-12-04,5.0
2016-12-05,5.0
2016-12-06,5.0
2016-12-07,6.0
2016-12-08,6.0
2016-12-09,6.0
2016-12-10,5.0
2016-12-11,5.0
2016-12-12,5.0
2016-12-13,5.0
2016-12-14,6.0
2016-12-15,5.0
2016-12-16,8.0
2016-12-17,9.0
2016-12-18,9.0
2016-12-19,9.0
2016-12-20,9.0
2016-12-21,6.0
2016-12-22,6.0
2016-12-23,6.0
2016-12-24,7.0
2016-12-25,8.0
2016-12-26,6.0
2016-12-27,7.0
2016-12-28,7.0
2016-12-29,6.0
2016-12-30,7.0
2016-12-31,6.0
2017-01-01,7.0
2017-01-02,6.0
2017-01-03,6.0
2017-01-04,5.0
2017-01-05,6.0
2017-01-06,7.0
2017-01-07,7.0
2017-01-08,8.0
2017-01-09,7.0
2017-01-10,10.0
2017-01-11,62.0
2017-01-12,22.0
2017-01-13,18.0
2017-01-14,14.0
2017-01-15,13.0
2017-01-16,11.0
2017-01-17,14.0
2017-01-18,15.0
2017-01-19,23.0
2017-01-20,87.0
2017-01-21,61.0
2017-01-22,32.0
2017-01-23,22.0
2017-01-24,17.0
2017-01-25,14.0
2017-01-26,13.0
2017-01-27,12.0
2017-01-28,10.0
2017-01-29,12.0
2017-01-30,13.0
2017-01-31,11.0
2017-02-01,10.0
2017-02-02,10.0
2017-02-03,10.0
2017-02-04,8.0
2017-02-05,9.0
2017-02-06,8.0
2017-02-07,10.0
2017-02-08,12.0
2017-02-09,9.0
2017-02-10,9.0
2017-02-11,7.0
2017-02-12,7.0
2017-02-13,7.0
2017-02-14,8.0
2017-02-15,8.0
2017-02-16,8.0
2017-02-17,8.0
2017-02-18,6.0
2017-02-19,6.0
2017-02-20,7.0
2017-02-21,8.0
2017-02-22,7.0
2017-02-23,6.0
2017-02-24,7.0
2017-02-25,8.0
2017-02-26,7.0
2017-02-27,7.0
2017-02-28,7.0
2017-03-01,7.062152133580705
2017-03-02,6.3147804576376005
2017-03-03,5.9189857761286335
2017-03-04,6.517934446505875
2017-03-05,5.869511440940013
2017-03-06,6.067408781694496
2017-03-07,6.963203463203463
2017-03-08,6.116883116883117
2017-03-09,5.171614100185529
2017-03-10,5.671614100185529
2017-03-11,4.825293753865182
2017-03-12,4.825293753865182
2017-03-13,5.023191094619666
2017-03-14,4.22634508348794
2017-03-15,4.924242424242424
2017-03-16,4.924242424242424
2017-03-17,4.17687074829932
2017-03-18,4.275819418676562
2017-03-19,4.325293753865182
2017-03-20,4.17687074829932
2017-03-21,4.775819418676562
2017-03-22,4.127396413110699
2017-03-23,4.127396413110699
2017-03-24,5.122139764996907
2017-03-25,4.874768089053804
2017-03-26,5.023191094619666
2017-03-27,4.775819418676562
2017-03-28,4.127396413110699
2017-03-29,3.978973407544836
2017-03-30,4.028447742733457
2017-03-31,3.8305504019789733
2017-04-01,3.8305504019789733
2017-04-02,3.760049474335189
2017-04-03,3.661100803957947
2017-04-04,4.155844155844156
2017-04-05,3.562152133580705
2017-04-06,4.35374149659864
2017-04-07,4.35374149659864
2017-04-08,3.661100803957947
2017-04-09,3.562152133580705
2017-04-10,3.562152133580705
2017-04-11,4.056895485466915
2017-04-12,3.661100803957947
2017-04-13,3.661100803957947
2017-04-14,3.3642547928262214
2017-04-15,3.166357452071738
2017-04-16,4.155844155844156
2017-04-17,4.551638837353123
2017-04-18,4.452690166975882
2017-04-19,3.9579468150896724
2017-04-20,4.749536178107607
2017-04-21,4.155844155844156
2017-04-22,4.452690166975882
2017-04-23,4.254792826221398
2017-04-24,9.89486703772418
2017-04-25,7.915893630179345
2017-04-26,4.254792826221398
2017-04-27,4.155844155844156
2017-04-28,4.551638837353123
2017-04-29,3.8589981447124306
2017-04-30,4.155844155844156
2017-05-01,4.650587507730365
2017-05-02,4.551638837353123
2017-05-03,5.739022881880025
2017-05-04,7.816944959802103
2017-05-05,5.739022881880025
2017-05-06,3.8589981447124306
2017-05-07,5.145330859616574
2017-05-08,8.70748299319728
2017-05-09,5.739022881880025
2017-05-10,4.848484848484849
2017-05-11,4.551638837353123
2017-05-12,4.155844155844156
2017-05-13,3.661100803957947
2017-05-14,3.8589981447124306
2017-05-15,3.8589981447124306
2017-05-16,3.760049474335189
2017-05-17,4.452690166975882
2017-05-18,4.254792826221398
2017-05-19,4.155844155844156
2017-05-20,3.760049474335189
2017-05-21,3.562152133580705
2017-05-22,3.8589981447124306
2017-05-23,4.848484848484849
