date,donald trump criminal
2016-05-01,2.389937106918239
2016-05-02,3.8238993710691824
2016-05-03,2.867924528301887
2016-05-04,9.559748427672956
2016-05-05,4.062893081761007
2016-05-06,2.150943396226415
2016-05-07,3.5849056603773586
2016-05-08,13.861635220125786
2016-05-09,2.867924528301887
2016-05-10,1.9119496855345912
2016-05-11,7.647798742138365
2016-05-12,17.68553459119497
2016-05-13,3.106918238993711
2016-05-14,4.540880503144654
2016-05-15,3.3459119496855347
2016-05-16,6.6918238993710695
2016-05-17,5.735849056603774
2016-05-18,5.735849056603774
2016-05-19,8.842767295597485
2016-05-20,4.062893081761007
2016-05-21,3.3459119496855347
2016-05-22,3.3459119496855347
2016-05-23,1.9119496855345912
2016-05-24,3.8238993710691824
2016-05-25,0.0
2016-05-26,1.9119496855345912
2016-05-27,4.062893081761007
2016-05-28,0.0
2016-05-29,2.389937106918239
2016-05-30,0.0
2016-05-31,2.867924528301887
2016-06-01,5.735849056603774
2016-06-02,3.8238993710691824
2016-06-03,7.169811320754717
2016-06-04,2.389937106918239
2016-06-05,3.3459119496855347
2016-06-06,0.0
2016-06-07,1.9119496855345912
2016-06-08,2.867924528301887
2016-06-09,5.9748427672955975
2016-06-10,21.50943396226415
2016-06-11,23.89937106918239
2016-06-12,11.232704402515724
2016-06-13,5.735849056603774
2016-06-14,7.647798742138365
2016-06-15,1.9119496855345912
2016-06-16,4.779874213836478
2016-06-17,1.9119496855345912
2016-06-18,3.5849056603773586
2016-06-19,8.125786163522013
2016-06-20,3.8238993710691824
2016-06-21,1.9119496855345912
2016-06-22,6.930817610062893
2016-06-23,4.062893081761007
2016-06-24,2.150943396226415
2016-06-25,6.930817610062893
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,3.8238993710691824
2016-06-29,1.9119496855345912
2016-06-30,1.9119496855345912
2016-07-01,8.364779874213836
2016-07-02,5.9748427672955975
2016-07-03,2.389937106918239
2016-07-04,2.150943396226415
2016-07-05,8.125786163522013
2016-07-06,4.062893081761007
2016-07-07,11.232704402515724
2016-07-08,3.106918238993711
2016-07-09,3.5849056603773586
2016-07-10,2.389937106918239
2016-07-11,0.0
2016-07-12,3.8238993710691824
2016-07-13,2.867924528301887
2016-07-14,5.018867924528302
2016-07-15,4.062893081761007
2016-07-16,4.779874213836478
2016-07-17,8.364779874213836
2016-07-18,1.9119496855345912
2016-07-19,5.9748427672955975
2016-07-20,5.9748427672955975
2016-07-21,5.018867924528302
2016-07-22,10.276729559748428
2016-07-23,3.5849056603773586
2016-07-24,2.389937106918239
2016-07-25,4.062893081761007
2016-07-26,7.886792452830189
2016-07-27,5.018867924528302
2016-07-28,6.930817610062893
2016-07-29,5.2578616352201255
2016-07-30,8.364779874213836
2016-07-31,2.389937106918239
2016-08-01,4.062893081761007
2016-08-02,5.9748427672955975
2016-08-03,4.062893081761007
2016-08-04,3.106918238993711
2016-08-05,5.2578616352201255
2016-08-06,3.5849056603773586
2016-08-07,2.389937106918239
2016-08-08,1.9119496855345912
2016-08-09,5.018867924528302
2016-08-10,5.9748427672955975
2016-08-11,4.062893081761007
2016-08-12,10.276729559748428
2016-08-13,5.735849056603774
2016-08-14,2.389937106918239
2016-08-15,4.062893081761007
2016-08-16,1.9119496855345912
2016-08-17,1.9119496855345912
2016-08-18,1.9119496855345912
2016-08-19,2.150943396226415
2016-08-20,6.930817610062893
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,5.018867924528302
2016-08-24,5.018867924528302
2016-08-25,3.106918238993711
2016-08-26,4.062893081761007
2016-08-27,0.0
2016-08-28,4.540880503144654
2016-08-29,8.60377358490566
2016-08-30,3.8238993710691824
2016-08-31,1.9119496855345912
2016-09-01,5.735849056603774
2016-09-02,1.9119496855345912
2016-09-03,5.735849056603774
2016-09-04,3.3459119496855347
2016-09-05,3.8238993710691824
2016-09-06,2.867924528301887
2016-09-07,2.867924528301887
2016-09-08,3.8238993710691824
2016-09-09,1.9119496855345912
2016-09-10,2.150943396226415
2016-09-11,2.150943396226415
2016-09-12,4.779874213836478
2016-09-13,3.8238993710691824
2016-09-14,1.9119496855345912
2016-09-15,7.647798742138365
2016-09-16,4.062893081761007
2016-09-17,8.842767295597485
2016-09-18,4.30188679245283
2016-09-19,2.867924528301887
2016-09-20,1.9119496855345912
2016-09-21,4.779874213836478
2016-09-22,5.735849056603774
2016-09-23,3.106918238993711
2016-09-24,0.0
2016-09-25,2.150943396226415
2016-09-26,4.779874213836478
2016-09-27,11.232704402515724
2016-09-28,6.6918238993710695
2016-09-29,16.968553459119498
2016-09-30,7.886792452830189
2016-10-01,6.226415094339623
2016-10-02,7.20440251572327
2016-10-03,8.182389937106919
2016-10-04,3.4339622641509435
2016-10-05,5.270440251572327
2016-10-06,6.182389937106918
2016-10-07,4.889937106918239
2016-10-08,9.89937106918239
2016-10-09,9.89937106918239
2016-10-10,22.732704402515722
2016-10-11,9.974842767295598
2016-10-12,7.30188679245283
2016-10-13,9.682389937106919
2016-10-14,7.345911949685535
2016-10-15,6.323899371069182
2016-10-16,3.650943396226415
2016-10-17,10.018867924528301
2016-10-18,5.726415094339623
2016-10-19,8.70440251572327
2016-10-20,16.20125786163522
2016-10-21,4.411949685534591
2016-10-22,3.6289308176100628
2016-10-23,6.226415094339623
2016-10-24,7.248427672955975
2016-10-25,7.748427672955975
2016-10-26,7.248427672955975
2016-10-27,5.726415094339623
2016-10-28,7.323899371069182
2016-10-29,9.952830188679245
2016-10-30,9.877358490566039
2016-10-31,15.638364779874214
2016-11-01,12.116352201257861
