date,putin campaign
2016-12-18,5.851851851851852
2016-12-19,9.753086419753087
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,4.8765432098765435
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,5.851851851851852
2016-12-26,0.0
2016-12-27,4.8765432098765435
2016-12-28,0.0
2016-12-29,4.8765432098765435
2016-12-30,10.728395061728396
2016-12-31,5.851851851851852
2017-01-01,0.0
2017-01-02,4.8765432098765435
2017-01-03,4.8765432098765435
2017-01-04,8.777777777777779
2017-01-05,4.8765432098765435
2017-01-06,33.160493827160494
2017-01-07,20.48148148148148
2017-01-08,10.728395061728396
2017-01-09,6.827160493827161
2017-01-10,4.8765432098765435
2017-01-11,15.604938271604938
2017-01-12,6.827160493827161
2017-01-13,0.0
2017-01-14,7.802469135802469
2017-01-15,9.753086419753087
2017-01-16,4.8765432098765435
2017-01-17,4.8765432098765435
2017-01-18,4.8765432098765435
2017-01-19,4.8765432098765435
2017-01-20,4.8765432098765435
2017-01-21,7.802469135802469
2017-01-22,0.0
2017-01-23,4.8765432098765435
2017-01-24,0.0
2017-01-25,4.8765432098765435
2017-01-26,4.8765432098765435
2017-01-27,4.8765432098765435
2017-01-28,10.728395061728396
2017-01-29,0.0
2017-01-30,4.8765432098765435
2017-01-31,0.0
2017-02-01,6.827160493827161
2017-02-02,8.777777777777779
2017-02-03,8.777777777777779
2017-02-04,0.0
2017-02-05,4.8765432098765435
2017-02-06,4.8765432098765435
2017-02-07,3.9012345679012346
2017-02-08,10.728395061728396
2017-02-09,4.8765432098765435
2017-02-10,8.777777777777779
2017-02-11,10.728395061728396
2017-02-12,0.0
2017-02-13,3.9012345679012346
2017-02-14,8.777777777777779
2017-02-15,20.48148148148148
2017-02-16,8.777777777777779
2017-02-17,13.654320987654321
2017-02-18,4.8765432098765435
2017-02-19,10.728395061728396
2017-02-20,4.8765432098765435
2017-02-21,4.8765432098765435
2017-02-22,4.8765432098765435
2017-02-23,0.0
2017-02-24,4.8765432098765435
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,4.8765432098765435
2017-03-01,5.539091326113406
2017-03-02,6.827160493827161
2017-03-03,22.185514270328486
2017-03-04,2.4382716049382718
2017-03-05,2.4382716049382718
2017-03-06,8.023055904585254
2017-03-07,4.92223618341012
2017-03-08,0.0
2017-03-09,1.9506172839506173
2017-03-10,5.668292147829035
2017-03-11,2.4382716049382718
2017-03-12,0.0
2017-03-13,1.9506172839506173
2017-03-14,6.072438620634636
2017-03-15,1.9506172839506173
2017-03-16,1.9506172839506173
2017-03-17,0.0
2017-03-18,2.4382716049382718
2017-03-19,2.4382716049382718
2017-03-20,3.4135802469135803
2017-03-21,10.590528331239156
2017-03-22,9.486018867548216
2017-03-23,8.639911047288539
2017-03-24,2.4382716049382718
2017-03-25,6.055894612975927
2017-03-26,3.6176230080376555
2017-03-27,1.9506172839506173
2017-03-28,5.539091326113406
2017-03-29,8.769111869004169
2017-03-30,2.4382716049382718
2017-03-31,6.643600789804344
2017-04-01,11.136480583976546
2017-04-02,14.728893675581883
2017-04-03,0.0
2017-04-04,6.201639442350267
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,6.460041085781527
2017-04-08,0.0
2017-04-09,14.987295319013144
2017-04-10,0.0
2017-04-11,12.920082171563054
2017-04-12,12.920082171563054
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,6.718442729212788
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,6.460041085781527
2017-04-21,6.718442729212788
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,6.460041085781527
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,6.97684437264405
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,6.201639442350267
2017-05-05,0.0
2017-05-06,7.493647659506572
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,6.460041085781527
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,6.201639442350267
2017-05-17,0.0
2017-05-18,6.201639442350267
2017-05-19,6.460041085781527
2017-05-20,7.493647659506572
2017-05-21,7.493647659506572
2017-05-22,6.201639442350267
2017-05-23,12.403278884700534
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,7.752049302937833
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,6.460041085781527
2017-05-31,0.0
2017-06-01,6.460041085781527
2017-06-02,6.718442729212788
2017-06-03,0.0
