date,imbecile
2016-05-01,57.91968911917099
2016-05-02,53.52072538860104
2016-05-03,47.65544041450777
2016-05-04,40.32383419689119
2016-05-05,54.2538860103627
2016-05-06,51.32124352331606
2016-05-07,38.12435233160622
2016-05-08,43.25647668393783
2016-05-09,49.85492227979275
2016-05-10,43.98963730569948
2016-05-11,37.39119170984456
2016-05-12,38.85751295336788
2016-05-13,48.388601036269435
2016-05-14,32.99222797927462
2016-05-15,41.79015544041451
2016-05-16,41.05699481865285
2016-05-17,41.05699481865285
2016-05-18,44.722797927461144
2016-05-19,57.91968911917099
2016-05-20,43.98963730569948
2016-05-21,53.52072538860104
2016-05-22,57.18652849740933
2016-05-23,41.05699481865285
2016-05-24,41.05699481865285
2016-05-25,39.590673575129536
2016-05-26,44.722797927461144
2016-05-27,49.12176165803109
2016-05-28,51.32124352331606
2016-05-29,49.12176165803109
2016-05-30,50.58808290155441
2016-05-31,43.98963730569948
2016-06-01,40.32383419689119
2016-06-02,35.924870466321245
2016-06-03,47.65544041450777
2016-06-04,43.98963730569948
2016-06-05,49.85492227979275
2016-06-06,43.98963730569948
2016-06-07,29.326424870466322
2016-06-08,53.52072538860104
2016-06-09,49.12176165803109
2016-06-10,39.590673575129536
2016-06-11,48.388601036269435
2016-06-12,46.18911917098446
2016-06-13,61.58549222797928
2016-06-14,40.32383419689119
2016-06-15,49.85492227979275
2016-06-16,50.58808290155441
2016-06-17,43.98963730569948
2016-06-18,47.65544041450777
2016-06-19,57.18652849740933
2016-06-20,56.45336787564767
2016-06-21,36.65803108808291
2016-06-22,51.32124352331606
2016-06-23,61.58549222797928
2016-06-24,73.31606217616581
2016-06-25,47.65544041450777
2016-06-26,60.85233160621762
2016-06-27,49.85492227979275
2016-06-28,38.85751295336788
2016-06-29,37.39119170984456
2016-06-30,35.924870466321245
2016-07-01,49.12176165803109
2016-07-02,52.78756476683938
2016-07-03,41.05699481865285
2016-07-04,50.58808290155441
2016-07-05,47.65544041450777
2016-07-06,47.65544041450777
2016-07-07,47.65544041450777
2016-07-08,55.72020725388602
2016-07-09,44.722797927461144
2016-07-10,49.85492227979275
2016-07-11,45.4559585492228
2016-07-12,38.85751295336788
2016-07-13,42.52331606217617
2016-07-14,43.25647668393783
2016-07-15,52.78756476683938
2016-07-16,35.19170984455959
2016-07-17,49.12176165803109
2016-07-18,47.65544041450777
2016-07-19,35.19170984455959
2016-07-20,39.590673575129536
2016-07-21,37.39119170984456
2016-07-22,48.388601036269435
2016-07-23,47.65544041450777
2016-07-24,53.52072538860104
2016-07-25,49.85492227979275
2016-07-26,25.66062176165803
2016-07-27,46.18911917098446
2016-07-28,44.722797927461144
2016-07-29,47.65544041450777
2016-07-30,34.45854922279793
2016-07-31,41.05699481865285
2016-08-01,36.65803108808291
2016-08-02,48.388601036269435
2016-08-03,41.05699481865285
2016-08-04,36.65803108808291
2016-08-05,43.25647668393783
2016-08-06,35.19170984455959
2016-08-07,56.45336787564767
2016-08-08,35.19170984455959
2016-08-09,35.19170984455959
2016-08-10,36.65803108808291
2016-08-11,42.52331606217617
2016-08-12,32.259067357512954
2016-08-13,47.65544041450777
2016-08-14,51.32124352331606
2016-08-15,35.19170984455959
2016-08-16,43.25647668393783
2016-08-17,34.45854922279793
2016-08-18,45.4559585492228
2016-08-19,46.18911917098446
2016-08-20,46.18911917098446
2016-08-21,48.388601036269435
2016-08-22,32.99222797927462
2016-08-23,37.39119170984456
2016-08-24,40.32383419689119
2016-08-25,44.722797927461144
2016-08-26,43.98963730569948
2016-08-27,43.25647668393783
2016-08-28,49.12176165803109
2016-08-29,45.4559585492228
2016-08-30,43.98963730569948
2016-08-31,44.722797927461144
2016-09-01,46.18911917098446
2016-09-02,38.12435233160622
2016-09-03,39.590673575129536
2016-09-04,46.18911917098446
2016-09-05,40.32383419689119
2016-09-06,35.924870466321245
2016-09-07,49.12176165803109
2016-09-08,45.4559585492228
2016-09-09,57.18652849740933
2016-09-10,42.52331606217617
2016-09-11,42.52331606217617
2016-09-12,49.12176165803109
2016-09-13,41.79015544041451
2016-09-14,51.32124352331606
2016-09-15,57.18652849740933
2016-09-16,41.79015544041451
2016-09-17,36.65803108808291
2016-09-18,36.65803108808291
2016-09-19,38.85751295336788
2016-09-20,42.52331606217617
2016-09-21,50.58808290155441
2016-09-22,51.32124352331606
2016-09-23,53.52072538860104
2016-09-24,42.52331606217617
2016-09-25,45.4559585492228
2016-09-26,38.12435233160622
2016-09-27,73.31606217616581
2016-09-28,44.722797927461144
2016-09-29,36.65803108808291
2016-09-30,49.85492227979275
2016-10-01,36.329015544041454
2016-10-02,50.060880829015545
2016-10-03,40.19559585492228
2016-10-04,39.02849740932643
2016-10-05,32.99611398963731
2016-10-06,44.56217616580311
2016-10-07,44.32772020725389
2016-10-08,38.52849740932643
2016-10-09,45.69430051813472
2016-10-10,53.2940414507772
2016-10-11,44.094559585492235
2016-10-12,55.760362694300525
2016-10-13,54.69430051813472
2016-10-14,43.52849740932643
2016-10-15,36.428756476683944
2016-10-16,42.6619170984456
2016-10-17,52.226683937823836
2016-10-18,48.52720207253886
2016-10-19,53.160621761658035
2016-10-20,57.060880829015545
2016-10-21,40.395077720207254
2016-10-22,42.26165803108809
2016-10-23,39.19559585492228
2016-10-24,44.961139896373055
2016-10-25,41.895077720207254
2016-10-26,50.160621761658035
2016-10-27,34.76295336787565
2016-10-28,39.56217616580311
2016-10-29,40.12823834196891
2016-10-30,47.626943005181346
2016-10-31,38.594559585492235
2016-11-01,42.295336787564764
2016-11-02,87.0
