date,trump intelligence
2016-11-14,3.0
2016-11-15,7.0
2016-11-16,3.0
2016-11-17,2.0
2016-11-18,3.0
2016-11-19,3.0
2016-11-20,2.0
2016-11-21,3.0
2016-11-22,1.0
2016-11-23,1.0
2016-11-24,21.0
2016-11-25,5.0
2016-11-26,3.0
2016-11-27,4.0
2016-11-28,5.0
2016-11-29,4.0
2016-11-30,3.0
2016-12-01,3.0
2016-12-02,1.0
2016-12-03,2.0
2016-12-04,2.0
2016-12-05,3.0
2016-12-06,10.0
2016-12-07,5.0
2016-12-08,4.0
2016-12-09,5.0
2016-12-10,6.0
2016-12-11,16.0
2016-12-12,19.0
2016-12-13,18.0
2016-12-14,9.0
2016-12-15,7.0
2016-12-16,4.0
2016-12-17,3.0
2016-12-18,2.0
2016-12-19,3.0
2016-12-20,2.0
2016-12-21,2.0
2016-12-22,1.0
2016-12-23,2.0
2016-12-24,2.0
2016-12-25,1.0
2016-12-26,1.0
2016-12-27,1.0
2016-12-28,2.0
2016-12-29,3.0
2016-12-30,3.0
2016-12-31,2.0
2017-01-01,2.0
2017-01-02,4.0
2017-01-03,3.0
2017-01-04,65.0
2017-01-05,23.0
2017-01-06,100.0
2017-01-07,71.0
2017-01-08,25.0
2017-01-09,9.0
2017-01-10,10.0
2017-01-11,93.0
2017-01-12,40.0
2017-01-13,18.0
2017-01-14,14.0
2017-01-15,11.0
2017-01-16,8.0
2017-01-17,6.0
2017-01-18,5.0
2017-01-19,4.0
2017-01-20,8.0
2017-01-21,7.0
2017-01-22,13.0
2017-01-23,6.0
2017-01-24,5.0
2017-01-25,5.0
2017-01-26,5.0
2017-01-27,3.0
2017-01-28,4.0
2017-01-29,18.0
2017-01-30,10.0
2017-01-31,6.0
2017-02-01,4.0
2017-02-02,5.0
2017-02-03,5.0
2017-02-04,3.0
2017-02-05,2.0
2017-02-06,3.0
2017-02-07,2.0
2017-02-08,3.0
2017-02-09,3.0
2017-02-10,3.0
2017-02-11,3.0
2017-02-12,2.0
2017-02-13,7.0
2017-02-14,7.0
2017-02-15,28.0
2017-02-16,90.0
2017-02-17,12.0
2017-02-18,9.0
2017-02-19,5.0
2017-02-20,7.0
2017-02-21,4.0
2017-02-22,3.0
2017-02-23,3.0
2017-02-24,4.0
2017-02-25,8.0
2017-02-26,3.0
2017-02-27,5.0
2017-02-28,3.0
2017-03-01,3.8880126182965298
2017-03-02,5.197160883280757
2017-03-03,4.562302839116719
2017-03-04,3.4834384858044163
2017-03-05,4.38801261829653
2017-03-06,4.427444794952681
2017-03-07,4.157728706624606
2017-03-08,4.427444794952681
2017-03-09,4.38801261829653
