date,trump narcissism
2016-05-01,0.0
2016-05-02,9.013452914798206
2016-05-03,4.20627802690583
2016-05-04,4.506726457399103
2016-05-05,0.0
2016-05-06,4.807174887892376
2016-05-07,5.408071748878923
2016-05-08,5.10762331838565
2016-05-09,4.506726457399103
2016-05-10,4.20627802690583
2016-05-11,17.426008968609864
2016-05-12,0.0
2016-05-13,6.910313901345291
2016-05-14,5.10762331838565
2016-05-15,5.10762331838565
2016-05-16,17.426008968609864
2016-05-17,4.20627802690583
2016-05-18,4.20627802690583
2016-05-19,4.506726457399103
2016-05-20,9.313901345291479
2016-05-21,5.10762331838565
2016-05-22,10.515695067264573
2016-05-23,8.713004484304932
2016-05-24,4.506726457399103
2016-05-25,4.506726457399103
2016-05-26,0.0
2016-05-27,4.807174887892376
2016-05-28,0.0
2016-05-29,5.10762331838565
2016-05-30,4.506726457399103
2016-05-31,4.506726457399103
2016-06-01,0.0
2016-06-02,4.506726457399103
2016-06-03,4.807174887892376
2016-06-04,5.408071748878923
2016-06-05,5.10762331838565
2016-06-06,8.713004484304932
2016-06-07,8.713004484304932
2016-06-08,4.506726457399103
2016-06-09,6.910313901345291
2016-06-10,9.313901345291479
2016-06-11,0.0
2016-06-12,5.10762331838565
2016-06-13,8.713004484304932
2016-06-14,0.0
2016-06-15,4.506726457399103
2016-06-16,0.0
2016-06-17,6.910313901345291
2016-06-18,0.0
2016-06-19,5.10762331838565
2016-06-20,4.506726457399103
2016-06-21,4.506726457399103
2016-06-22,0.0
2016-06-23,4.506726457399103
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,4.506726457399103
2016-06-28,0.0
2016-06-29,4.506726457399103
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,5.408071748878923
2016-07-04,4.807174887892376
2016-07-05,4.506726457399103
2016-07-06,4.506726457399103
2016-07-07,4.506726457399103
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,4.506726457399103
2016-07-12,0.0
2016-07-13,4.506726457399103
2016-07-14,0.0
2016-07-15,4.506726457399103
2016-07-16,5.408071748878923
2016-07-17,5.408071748878923
2016-07-18,9.013452914798206
2016-07-19,9.013452914798206
2016-07-20,20.4304932735426
2016-07-21,6.910313901345291
2016-07-22,14.121076233183855
2016-07-23,5.408071748878923
2016-07-24,10.515695067264573
2016-07-25,18.026905829596412
2016-07-26,9.013452914798206
2016-07-27,4.506726457399103
2016-07-28,4.506726457399103
2016-07-29,9.614349775784753
2016-07-30,5.408071748878923
2016-07-31,15.923766816143496
2016-08-01,15.923766816143496
2016-08-02,15.923766816143496
2016-08-03,22.83408071748879
2016-08-04,6.910313901345291
2016-08-05,9.614349775784753
2016-08-06,10.816143497757846
2016-08-07,10.816143497757846
2016-08-08,4.506726457399103
2016-08-09,9.013452914798206
2016-08-10,9.013452914798206
2016-08-11,13.820627802690582
2016-08-12,9.313901345291479
2016-08-13,8.112107623318385
2016-08-14,0.0
2016-08-15,9.313901345291479
2016-08-16,22.533632286995513
2016-08-17,4.506726457399103
2016-08-18,4.506726457399103
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,4.506726457399103
2016-08-23,4.506726457399103
2016-08-24,4.506726457399103
2016-08-25,4.506726457399103
2016-08-26,0.0
2016-08-27,10.515695067264573
2016-08-28,10.2152466367713
2016-08-29,4.506726457399103
2016-08-30,4.20627802690583
2016-08-31,4.20627802690583
2016-09-01,8.713004484304932
2016-09-02,4.506726457399103
2016-09-03,0.0
2016-09-04,10.2152466367713
2016-09-05,4.506726457399103
2016-09-06,4.20627802690583
2016-09-07,8.713004484304932
2016-09-08,4.506726457399103
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,5.10762331838565
2016-09-12,6.609865470852018
2016-09-13,4.20627802690583
2016-09-14,4.20627802690583
2016-09-15,0.0
2016-09-16,4.506726457399103
2016-09-17,5.10762331838565
2016-09-18,0.0
2016-09-19,4.20627802690583
2016-09-20,4.20627802690583
2016-09-21,12.618834080717487
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,5.10762331838565
2016-09-26,10.515695067264573
2016-09-27,10.515695067264573
2016-09-28,15.022421524663676
2016-09-29,0.0
2016-09-30,9.013452914798206
2016-10-01,7.403587443946188
2016-10-02,2.403587443946188
2016-10-03,6.103139013452915
2016-10-04,0.0
2016-10-05,6.20627802690583
2016-10-06,2.0
2016-10-07,6.356502242152466
2016-10-08,9.8609865470852
2016-10-09,4.903587443946188
2016-10-10,23.522421524663677
2016-10-11,11.757847533632287
2016-10-12,13.95964125560538
2016-10-13,20.16591928251121
2016-10-14,7.804932735426009
2016-10-15,9.957399103139014
2016-10-16,10.710762331838565
2016-10-17,5.154708520179372
2016-10-18,9.309417040358744
2016-10-19,8.20627802690583
2016-10-20,11.757847533632287
2016-10-21,8.856502242152466
2016-10-22,10.807174887892376
2016-10-23,2.5
2016-10-24,4.103139013452915
2016-10-25,7.103139013452915
2016-10-26,5.103139013452915
2016-10-27,8.20627802690583
2016-10-28,10.856502242152466
2016-10-29,13.457399103139014
2016-10-30,8.605381165919283
2016-10-31,2.0
2016-11-01,8.856502242152466
2016-11-02,4.0
2016-11-03,0.0
2016-11-04,9.0
2016-11-05,5.0
2016-11-06,7.0
2016-11-07,6.0
2016-11-08,16.0
2016-11-09,25.0
2016-11-10,19.0
2016-11-11,11.0
2016-11-12,12.0
2016-11-13,10.0
2016-11-14,4.0
2016-11-15,12.0
2016-11-16,8.0
2016-11-17,4.0
