date,vote
2016-05-01,1.717463848720801
2016-05-02,2.1468298109010013
2016-05-03,3.434927697441602
2016-05-04,3.434927697441602
2016-05-05,4.508342602892102
2016-05-06,2.7908787541713016
2016-05-07,2.1468298109010013
2016-05-08,2.5761957730812015
2016-05-09,3.649610678531702
2016-05-10,3.434927697441602
2016-05-11,2.7908787541713016
2016-05-12,2.5761957730812015
2016-05-13,2.1468298109010013
2016-05-14,2.5761957730812015
2016-05-15,2.5761957730812015
2016-05-16,3.434927697441602
2016-05-17,3.434927697441602
2016-05-18,2.7908787541713016
2016-05-19,5.581757508342603
2016-05-20,2.3615127919911014
2016-05-21,2.1468298109010013
2016-05-22,3.0055617352614017
2016-05-23,3.434927697441602
2016-05-24,3.434927697441602
2016-05-25,2.3615127919911014
2016-05-26,2.3615127919911014
2016-05-27,1.932146829810901
2016-05-28,1.717463848720801
2016-05-29,1.5027808676307008
2016-05-30,1.5027808676307008
2016-05-31,2.1468298109010013
2016-06-01,2.1468298109010013
2016-06-02,2.3615127919911014
2016-06-03,2.5761957730812015
2016-06-04,2.1468298109010013
2016-06-05,2.5761957730812015
2016-06-06,4.293659621802003
2016-06-07,10.734149054505005
2016-06-08,6.011123470522803
2016-06-09,3.649610678531702
2016-06-10,2.3615127919911014
2016-06-11,1.932146829810901
2016-06-12,1.932146829810901
2016-06-13,2.3615127919911014
2016-06-14,3.0055617352614017
2016-06-15,2.5761957730812015
2016-06-16,2.3615127919911014
2016-06-17,2.1468298109010013
2016-06-18,1.932146829810901
2016-06-19,2.7908787541713016
2016-06-20,3.220244716351502
2016-06-21,4.293659621802003
2016-06-22,6.869855394883204
2016-06-23,16.31590656284761
2016-06-24,21.46829810901001
2016-06-25,5.581757508342603
2016-06-26,4.508342602892102
2016-06-27,3.434927697441602
2016-06-28,3.434927697441602
2016-06-29,2.7908787541713016
2016-06-30,3.0055617352614017
2016-07-01,5.152391546162403
2016-07-02,5.581757508342603
2016-07-03,2.1468298109010013
2016-07-04,1.2880978865406008
2016-07-05,1.717463848720801
2016-07-06,1.932146829810901
2016-07-07,2.1468298109010013
2016-07-08,2.1468298109010013
2016-07-09,1.5027808676307008
2016-07-10,1.932146829810901
2016-07-11,1.5027808676307008
2016-07-12,1.5027808676307008
2016-07-13,1.5027808676307008
2016-07-14,1.5027808676307008
2016-07-15,1.2880978865406008
2016-07-16,1.0734149054505007
2016-07-17,1.2880978865406008
2016-07-18,2.1468298109010013
2016-07-19,2.3615127919911014
2016-07-20,1.717463848720801
2016-07-21,1.932146829810901
2016-07-22,1.932146829810901
2016-07-23,1.5027808676307008
2016-07-24,1.5027808676307008
2016-07-25,1.717463848720801
2016-07-26,3.0055617352614017
2016-07-27,3.0055617352614017
2016-07-28,2.7908787541713016
2016-07-29,2.7908787541713016
2016-07-30,1.932146829810901
2016-07-31,1.717463848720801
2016-08-01,1.932146829810901
2016-08-02,2.5761957730812015
2016-08-03,2.7908787541713016
2016-08-04,2.1468298109010013
2016-08-05,1.717463848720801
2016-08-06,1.2880978865406008
2016-08-07,1.2880978865406008
2016-08-08,1.2880978865406008
2016-08-09,1.2880978865406008
2016-08-10,1.2880978865406008
2016-08-11,1.2880978865406008
2016-08-12,1.2880978865406008
2016-08-13,1.0734149054505007
2016-08-14,1.0734149054505007
2016-08-15,1.2880978865406008
2016-08-16,1.2880978865406008
2016-08-17,1.2880978865406008
2016-08-18,1.0734149054505007
2016-08-19,1.2880978865406008
2016-08-20,1.0734149054505007
