date,spectrum health
2016-12-14,47.95071463775259
2016-12-15,65.47116806308527
2016-12-16,57.17200591424347
2016-12-17,18.442582552981765
2016-12-18,34.118777723016265
2016-12-19,62.704780680138
2016-12-20,66.39329719073436
2016-12-21,72.84820108427797
2016-12-22,47.95071463775259
2016-12-23,43.340068999507146
2016-12-24,19.364711680630855
2016-12-25,12.909807787087235
2016-12-26,39.651552488910795
2016-12-27,62.704780680138
2016-12-28,39.651552488910795
2016-12-29,68.23755544603253
2016-12-30,54.405618531296206
2016-12-31,35.963035978314444
2017-01-01,23.975357318876295
2017-01-02,53.48348940364712
2017-01-03,61.782651552488915
2017-01-04,80.22523410547068
2017-01-05,66.39329719073436
2017-01-06,59.938393297190736
2017-01-07,35.04090685066535
2017-01-08,38.72942336126171
2017-01-09,59.938393297190736
2017-01-10,87.60226712666339
2017-01-11,77.45884672252342
2017-01-12,59.938393297190736
2017-01-13,67.31542631838344
2017-01-14,47.95071463775259
2017-01-15,34.118777723016265
2017-01-16,47.95071463775259
2017-01-17,78.3809758501725
2017-01-18,71.0039428289798
2017-01-19,64.54903893543617
2017-01-20,42.41793987185806
2017-01-21,14.754066042385412
2017-01-22,25.81961557417447
2017-01-23,70.0818137013307
2017-01-24,62.704780680138
2017-01-25,89.44652538196156
2017-01-26,59.01626416954165
2017-01-27,60.86052242483983
2017-01-28,33.19664859536718
2017-01-29,23.975357318876295
2017-01-30,80.22523410547068
2017-01-31,63.626909807787094
2017-02-01,76.53671759487433
2017-02-02,66.39329719073436
2017-02-03,44.26219812715624
2017-02-04,40.57368161655988
2017-02-05,39.651552488910795
2017-02-06,75.61458846722523
2017-02-07,88.52439625431248
2017-02-08,82.99162148841795
2017-02-09,72.84820108427797
2017-02-10,58.094135041892564
2017-02-11,32.274519467718086
2017-02-12,27.66387382947265
2017-02-13,71.0039428289798
2017-02-14,69.15968457368162
2017-02-15,54.405618531296206
2017-02-16,74.69245933957615
2017-02-17,52.561360275998034
2017-02-18,28.586002957121735
2017-02-19,25.81961557417447
2017-02-20,79.30310497782159
2017-02-21,82.99162148841795
2017-02-22,57.17200591424347
2017-02-23,63.626909807787094
2017-02-24,73.77033021192706
2017-02-25,38.72942336126171
2017-02-26,32.274519467718086
2017-02-27,86.68013799901429
2017-02-28,62.704780680138
2017-03-01,69.86258537974996
2017-03-02,70.68788866536752
2017-03-03,66.99937215477118
2017-03-04,32.05026716376777
2017-03-05,39.88836474878502
2017-03-06,82.01833908573334
2017-03-07,73.4542760483148
2017-03-08,71.97425651480967
2017-03-09,67.65660039384352
2017-03-10,89.06926997857468
2017-03-11,34.783541935642944
2017-03-12,40.15326563736177
2017-03-13,71.51067995980034
2017-03-14,74.2439547316755
2017-03-15,55.798860187508964
2017-03-16,68.41316646613213
2017-03-17,71.01399079371892
2017-03-18,39.29736173185688
2017-03-19,38.67073411267186
2017-03-20,63.90185866110296
2017-03-21,77.27524300319953
2017-03-22,77.11219193902383
2017-03-23,77.93498323345665
2017-03-24,68.5787295214926
2017-03-25,40.216978868321185
2017-03-26,31.095025425046586
2017-03-27,74.11401627857191
2017-03-28,90.5824021231519
2017-03-29,66.33963192451407
2017-03-30,66.17406886915359
2017-03-31,71.54379257087243
2017-04-01,33.07173412463314
2017-04-02,23.72050439503866
2017-04-03,70.17315883532271
2017-04-04,77.09163928387565
2017-04-05,78.07999363366892
2017-04-06,58.31290663780337
2017-04-07,64.24303273656304
2017-04-08,29.650630493798324
2017-04-09,35.58075659255799
2017-04-10,67.20809578594287
2017-04-11,74.12657623449581
2017-04-12,68.19645013573614
2017-04-13,63.25467838676976
2017-04-14,60.289615337389925
2017-04-15,29.650630493798324
2017-04-16,27.673921794211772
2017-04-17,67.20809578594287
2017-04-18,74.12657623449581
2017-04-19,80.05670233325547
2017-04-20,78.07999363366892
2017-04-21,70.17315883532271
2017-04-22,28.662276144005048
2017-04-23,19.76708699586555
2017-04-24,71.16151318511598
2017-04-25,89.94024583118825
2017-04-26,65.23138708635632
2017-04-27,59.30126098759665
2017-04-28,60.289615337389925
2017-04-29,32.61569354317816
2017-04-30,28.662276144005048
2017-05-01,91.9169545307748
2017-05-02,79.0683479834622
2017-05-03,68.19645013573614
2017-05-04,63.25467838676976
2017-05-05,55.347843588423544
2017-05-06,26.685567444418492
2017-05-07,31.62733919338488
2017-05-08,84.01011973242859
2017-05-09,74.12657623449581
2017-05-10,73.13822188470253
2017-05-11,60.289615337389925
2017-05-12,51.39442618925043
2017-05-13,17.790378296278995
2017-05-14,26.685567444418492
2017-05-15,68.19645013573614
2017-05-16,84.99847408222186
2017-05-17,77.09163928387565
2017-05-18,74.12657623449581
2017-05-19,64.24303273656304
2017-05-20,24.70885874483194
2017-05-21,30.638984843591604
2017-05-22,71.16151318511598
2017-05-23,68.19645013573614
2017-05-24,62.266324036976485
2017-05-25,61.27796968718321
2017-05-26,62.266324036976485
2017-05-27,23.72050439503866
2017-05-28,23.72050439503866
2017-05-29,28.662276144005048
2017-05-30,91.9169545307748
2017-05-31,67.20809578594287
2017-06-01,70.17315883532271
2017-06-02,70.17315883532271
2017-06-03,33.60404789297144
