date,obama sick
2016-05-01,23.242105263157896
2016-05-02,8.08421052631579
2016-05-03,0.0
2016-05-04,7.578947368421053
2016-05-05,24.25263157894737
2016-05-06,16.673684210526318
2016-05-07,18.694736842105264
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,7.578947368421053
2016-05-11,11.621052631578948
2016-05-12,8.08421052631579
2016-05-13,8.08421052631579
2016-05-14,18.189473684210526
2016-05-15,9.094736842105263
2016-05-16,7.578947368421053
2016-05-17,0.0
2016-05-18,15.663157894736843
2016-05-19,23.74736842105263
2016-05-20,8.08421052631579
2016-05-21,9.094736842105263
2016-05-22,0.0
2016-05-23,7.578947368421053
2016-05-24,7.578947368421053
2016-05-25,31.326315789473686
2016-05-26,16.16842105263158
2016-05-27,8.08421052631579
2016-05-28,0.0
2016-05-29,18.694736842105264
2016-05-30,8.08421052631579
2016-05-31,7.578947368421053
2016-06-01,7.578947368421053
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,9.6
2016-06-05,0.0
2016-06-06,7.578947368421053
2016-06-07,7.578947368421053
2016-06-08,11.621052631578948
2016-06-09,8.08421052631579
2016-06-10,16.673684210526318
2016-06-11,9.094736842105263
2016-06-12,9.094736842105263
2016-06-13,7.578947368421053
2016-06-14,7.578947368421053
2016-06-15,7.578947368421053
2016-06-16,0.0
2016-06-17,20.210526315789473
2016-06-18,9.6
2016-06-19,0.0
2016-06-20,15.663157894736843
2016-06-21,11.621052631578948
2016-06-22,0.0
2016-06-23,12.126315789473685
2016-06-24,24.757894736842108
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,11.621052631578948
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,16.673684210526318
2016-07-02,14.147368421052633
2016-07-03,0.0
2016-07-04,12.631578947368421
2016-07-05,8.08421052631579
2016-07-06,8.08421052631579
2016-07-07,16.673684210526318
2016-07-08,8.589473684210526
2016-07-09,19.2
2016-07-10,18.694736842105264
2016-07-11,8.08421052631579
2016-07-12,0.0
2016-07-13,12.126315789473685
2016-07-14,0.0
2016-07-15,8.08421052631579
2016-07-16,0.0
2016-07-17,9.6
2016-07-18,12.126315789473685
2016-07-19,20.210526315789473
2016-07-20,12.126315789473685
2016-07-21,20.210526315789473
2016-07-22,16.673684210526318
2016-07-23,9.6
