date,barack obama campaign
2016-05-01,21.80129589632829
2016-05-02,9.34341252699784
2016-05-03,18.68682505399568
2016-05-04,32.70194384449244
2016-05-05,38.93088552915766
2016-05-06,10.122030237580994
2016-05-07,17.129589632829372
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,23.3585313174946
2016-05-11,18.68682505399568
2016-05-12,38.152267818574515
2016-05-13,0.0
2016-05-14,32.70194384449244
2016-05-15,10.900647948164146
2016-05-16,9.34341252699784
2016-05-17,9.34341252699784
2016-05-18,9.34341252699784
2016-05-19,18.68682505399568
2016-05-20,10.122030237580994
2016-05-21,10.900647948164146
2016-05-22,0.0
2016-05-23,9.34341252699784
2016-05-24,14.01511879049676
2016-05-25,0.0
2016-05-26,10.122030237580994
2016-05-27,20.244060475161987
2016-05-28,10.900647948164146
2016-05-29,0.0
2016-05-30,19.46544276457883
2016-05-31,9.34341252699784
2016-06-01,14.01511879049676
2016-06-02,0.0
2016-06-03,39.70950323974082
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,9.34341252699784
2016-06-07,9.34341252699784
2016-06-08,18.68682505399568
2016-06-09,14.01511879049676
2016-06-10,24.915766738660906
2016-06-11,21.80129589632829
2016-06-12,16.35097192224622
2016-06-13,9.34341252699784
2016-06-14,18.68682505399568
2016-06-15,0.0
2016-06-16,18.68682505399568
2016-06-17,0.0
2016-06-18,10.900647948164146
2016-06-19,10.900647948164146
2016-06-20,18.68682505399568
2016-06-21,9.34341252699784
2016-06-22,14.01511879049676
2016-06-23,9.34341252699784
2016-06-24,10.122030237580994
2016-06-25,10.900647948164146
2016-06-26,10.900647948164146
2016-06-27,0.0
2016-06-28,9.34341252699784
2016-06-29,0.0
2016-06-30,14.793736501079913
2016-07-01,10.122030237580994
2016-07-02,22.579913606911447
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,24.915766738660906
2016-07-06,14.793736501079913
2016-07-07,30.36609071274298
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,22.579913606911447
2016-07-11,9.34341252699784
2016-07-12,14.01511879049676
2016-07-13,19.46544276457883
2016-07-14,0.0
2016-07-15,19.46544276457883
2016-07-16,22.579913606911447
2016-07-17,11.6792656587473
2016-07-18,28.808855291576673
2016-07-19,14.793736501079913
2016-07-20,10.122030237580994
2016-07-21,14.793736501079913
2016-07-22,29.587473002159825
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,18.68682505399568
2016-07-26,28.808855291576673
2016-07-27,19.46544276457883
2016-07-28,77.86177105831533
2016-07-29,30.36609071274298
2016-07-30,28.808855291576673
2016-07-31,11.6792656587473
2016-08-01,9.34341252699784
2016-08-02,9.34341252699784
2016-08-03,10.122030237580994
2016-08-04,14.793736501079913
2016-08-05,14.793736501079913
2016-08-06,23.3585313174946
2016-08-07,17.129589632829372
2016-08-08,14.01511879049676
2016-08-09,18.68682505399568
2016-08-10,9.34341252699784
2016-08-11,10.122030237580994
2016-08-12,10.122030237580994
2016-08-13,11.6792656587473
2016-08-14,11.6792656587473
2016-08-15,10.122030237580994
2016-08-16,0.0
2016-08-17,9.34341252699784
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,22.579913606911447
2016-08-21,0.0
2016-08-22,9.34341252699784
2016-08-23,9.34341252699784
2016-08-24,9.34341252699784
2016-08-25,14.793736501079913
2016-08-26,10.122030237580994
2016-08-27,0.0
2016-08-28,10.900647948164146
2016-08-29,9.34341252699784
2016-08-30,28.03023758099352
2016-08-31,9.34341252699784
2016-09-01,0.0
2016-09-02,10.122030237580994
2016-09-03,10.900647948164146
2016-09-04,21.80129589632829
2016-09-05,9.34341252699784
2016-09-06,9.34341252699784
2016-09-07,9.34341252699784
2016-09-08,18.68682505399568
2016-09-09,14.01511879049676
2016-09-10,27.251619870410366
2016-09-11,16.35097192224622
2016-09-12,18.68682505399568
2016-09-13,9.34341252699784
2016-09-14,23.3585313174946
2016-09-15,23.3585313174946
2016-09-16,28.808855291576673
2016-09-17,10.900647948164146
2016-09-18,10.900647948164146
2016-09-19,17.908207343412528
2016-09-20,27.251619870410366
2016-09-21,17.908207343412528
2016-09-22,0.0
2016-09-23,19.46544276457883
2016-09-24,21.80129589632829
2016-09-25,10.900647948164146
2016-09-26,17.908207343412528
2016-09-27,67.73974082073434
2016-09-28,17.908207343412528
2016-09-29,14.01511879049676
2016-09-30,9.34341252699784
2016-10-01,5.450323974082073
2016-10-02,10.5
2016-10-03,9.171706263498919
2016-10-04,13.282397408207343
2016-10-05,45.62580993520518
2016-10-06,13.454103671706264
2016-10-07,13.84341252699784
2016-10-08,21.511339092872568
2016-10-09,23.786177105831534
2016-10-10,13.454103671706264
2016-10-11,27.625809935205183
2016-10-12,35.13336933045356
2016-10-13,32.12580993520518
2016-10-14,51.51511879049676
2016-10-15,23.786177105831534
2016-10-16,15.572354211663066
2016-10-17,17.954103671706264
2016-10-18,36.40820734341253
2016-10-19,17.73650107991361
2016-10-20,38.52645788336933
2016-10-21,23.125809935205183
2016-10-22,13.286177105831534
2016-10-23,7.786177105831533
2016-10-24,4.282397408207343
2016-10-25,13.454103671706264
2016-10-26,17.954103671706264
2016-10-27,18.67170626349892
2016-10-28,13.84341252699784
2016-10-29,53.47300215982722
2016-10-30,18.73650107991361
2016-10-31,30.289956803455723
2016-11-01,39.63336933045356
2016-11-02,37.0
2016-11-03,18.0
2016-11-04,19.0
2016-11-05,31.0
2016-11-06,31.0
2016-11-07,63.0
2016-11-08,53.0
2016-11-09,100.0
2016-11-10,46.0
2016-11-11,38.0
2016-11-12,32.0
