date,obama mafia
2016-05-01,25.425724037055094
2016-05-02,32.01757841703234
2016-05-03,20.717256622785634
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,25.425724037055094
2016-05-09,0.0
2016-05-10,20.717256622785634
2016-05-11,20.717256622785634
2016-05-12,21.658950105639526
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,21.658950105639526
2016-05-25,21.658950105639526
2016-05-26,0.0
2016-05-27,22.60064358849342
2016-05-28,0.0
2016-05-29,25.425724037055094
2016-05-30,44.259593694132946
2016-05-31,0.0
2016-06-01,21.658950105639526
2016-06-02,21.658950105639526
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,25.425724037055094
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,21.658950105639526
2016-06-09,21.658950105639526
2016-06-10,22.60064358849342
2016-06-11,25.425724037055094
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,32.95927189988623
2016-06-17,22.60064358849342
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,21.658950105639526
2016-06-24,33.900965382740125
2016-06-25,0.0
2016-06-26,25.425724037055094
2016-06-27,21.658950105639526
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,22.60064358849342
2016-07-07,0.0
2016-07-08,23.542337071347312
2016-07-09,0.0
2016-07-10,25.425724037055094
2016-07-11,0.0
2016-07-12,21.658950105639526
2016-07-13,21.658950105639526
2016-07-14,22.60064358849342
2016-07-15,22.60064358849342
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,22.60064358849342
2016-07-19,21.658950105639526
2016-07-20,21.658950105639526
2016-07-21,22.60064358849342
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,21.658950105639526
2016-07-27,21.658950105639526
2016-07-28,44.259593694132946
2016-07-29,22.60064358849342
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,21.658950105639526
2016-08-02,0.0
