date,trump rally
2016-05-01,13.530474040632054
2016-05-02,12.067720090293454
2016-05-03,6.948081264108352
2016-05-04,6.948081264108352
2016-05-05,9.507900677200903
2016-05-06,13.164785553047404
2016-05-07,24.135440180586908
2016-05-08,13.530474040632054
2016-05-09,7.313769751693002
2016-05-10,2.925507900677201
2016-05-11,2.925507900677201
2016-05-12,2.194130925507901
2016-05-13,2.194130925507901
2016-05-14,2.559819413092551
2016-05-15,2.925507900677201
2016-05-16,2.925507900677201
2016-05-17,2.559819413092551
2016-05-18,2.925507900677201
2016-05-19,4.022573363431151
2016-05-20,3.656884875846501
2016-05-21,2.559819413092551
2016-05-22,3.291196388261851
2016-05-23,2.559819413092551
2016-05-24,5.119638826185102
2016-05-25,33.27765237020316
2016-05-26,21.575620767494357
2016-05-27,22.306997742663658
2016-05-28,18.650112866817157
2016-05-29,7.679458239277652
2016-05-30,3.656884875846501
2016-05-31,5.119638826185102
2016-06-01,5.485327313769751
2016-06-02,10.604966139954854
2016-06-03,25.598194130925506
2016-06-04,15.724604966139955
2016-06-05,9.873589164785553
2016-06-06,5.485327313769751
2016-06-07,4.753950338600451
2016-06-08,4.022573363431151
2016-06-09,6.216704288939052
2016-06-10,9.507900677200903
2016-06-11,18.650112866817157
2016-06-12,4.753950338600451
2016-06-13,3.291196388261851
2016-06-14,5.851015801354402
2016-06-15,22.306997742663658
2016-06-16,16.821670428893906
2016-06-17,20.112866817155755
2016-06-18,19.747178329571106
2016-06-19,10.239277652370204
2016-06-20,9.142212189616252
2016-06-21,8.045146726862303
2016-06-22,3.656884875846501
2016-06-23,2.925507900677201
2016-06-24,1.4627539503386005
2016-06-25,2.194130925507901
2016-06-26,2.194130925507901
2016-06-27,2.194130925507901
2016-06-28,2.925507900677201
2016-06-29,4.022573363431151
2016-06-30,3.656884875846501
2016-07-01,4.753950338600451
2016-07-02,2.925507900677201
2016-07-03,1.8284424379232505
2016-07-04,1.8284424379232505
2016-07-05,5.485327313769751
2016-07-06,5.851015801354402
2016-07-07,4.388261851015802
2016-07-08,2.194130925507901
2016-07-09,1.0970654627539504
2016-07-10,1.4627539503386005
2016-07-11,2.559819413092551
2016-07-12,5.119638826185102
2016-07-13,6.216704288939052
2016-07-14,1.8284424379232505
2016-07-15,1.4627539503386005
2016-07-16,1.8284424379232505
2016-07-17,2.194130925507901
2016-07-18,3.291196388261851
2016-07-19,3.656884875846501
2016-07-20,2.925507900677201
2016-07-21,3.291196388261851
2016-07-22,5.119638826185102
2016-07-23,2.194130925507901
2016-07-24,2.194130925507901
2016-07-25,4.388261851015802
2016-07-26,4.022573363431151
2016-07-27,4.022573363431151
2016-07-28,6.216704288939052
2016-07-29,6.582392776523702
2016-07-30,6.216704288939052
2016-07-31,4.022573363431151
2016-08-01,7.313769751693002
2016-08-02,13.896162528216705
2016-08-03,16.090293453724605
2016-08-04,22.306997742663658
2016-08-05,14.627539503386004
2016-08-06,11.702031602708804
2016-08-07,6.582392776523702
2016-08-08,6.216704288939052
2016-08-09,9.873589164785553
2016-08-10,10.239277652370204
2016-08-11,10.604966139954854
2016-08-12,11.702031602708804
2016-08-13,9.142212189616252
2016-08-14,10.604966139954854
2016-08-15,5.851015801354402
2016-08-16,4.753950338600451
2016-08-17,6.582392776523702
2016-08-18,5.485327313769751
2016-08-19,8.045146726862303
2016-08-20,10.239277652370204
2016-08-21,7.313769751693002
2016-08-22,6.216704288939052
2016-08-23,9.873589164785553
2016-08-24,14.261851015801355
2016-08-25,9.873589164785553
2016-08-26,5.485327313769751
2016-08-27,5.851015801354402
2016-08-28,3.291196388261851
2016-08-29,4.022573363431151
2016-08-30,6.582392776523702
2016-08-31,13.896162528216705
2016-09-01,9.142212189616252
2016-09-02,3.656884875846501
2016-09-03,2.925507900677201
2016-09-04,1.8284424379232505
2016-09-05,3.291196388261851
2016-09-06,4.753950338600451
2016-09-07,3.291196388261851
2016-09-08,3.291196388261851
2016-09-09,4.022573363431151
2016-09-10,8.045146726862303
2016-09-11,4.022573363431151
2016-09-12,5.851015801354402
2016-09-13,9.507900677200903
2016-09-14,9.507900677200903
2016-09-15,8.045146726862303
2016-09-16,8.045146726862303
2016-09-17,10.604966139954854
2016-09-18,8.045146726862303
2016-09-19,9.142212189616252
2016-09-20,7.313769751693002
2016-09-21,8.410835214446953
2016-09-22,10.239277652370204
2016-09-23,5.851015801354402
2016-09-24,7.313769751693002
2016-09-25,4.388261851015802
2016-09-26,3.656884875846501
2016-09-27,8.776523702031604
2016-09-28,12.433408577878104
2016-09-29,8.045146726862303
2016-09-30,8.776523702031604
2016-10-01,8.522573363431151
2016-10-02,10.25395033860045
2016-10-03,9.25395033860045
2016-10-04,8.022573363431151
2016-10-05,8.205417607223477
2016-10-06,6.2911963882618505
2016-10-07,5.059819413092551
2016-10-08,5.925507900677201
2016-10-09,4.011286681715576
2016-10-10,10.985327313769751
2016-10-11,17.276523702031604
2016-10-12,23.702031602708804
2016-10-13,20.556433408577877
2016-10-14,19.325056433408577
2016-10-15,17.59367945823928
2016-10-16,10.302483069977427
2016-10-17,11.851015801354402
2016-10-18,16.045146726862303
2016-10-19,9.571106094808126
2016-10-20,36.284424379232505
2016-10-21,16.227990970654627
2016-10-22,18.825056433408577
2016-10-23,15.727990970654627
2016-10-24,17.09367945823928
2016-10-25,22.470654627539503
2016-10-26,17.642212189616252
2016-10-27,17.59367945823928
2016-10-28,17.276523702031604
2016-10-29,24.567720090293456
2016-10-30,21.28781038374718
2016-10-31,20.78781038374718
2016-11-01,17.459367945823928
