date,hillary clinton car
2016-05-01,1.7009708737864078
2016-05-02,0.0
2016-05-03,5.1029126213592235
2016-05-04,8.504854368932039
2016-05-05,5.1029126213592235
2016-05-06,3.4019417475728155
2016-05-07,5.953398058252427
2016-05-08,7.654368932038835
2016-05-09,5.1029126213592235
2016-05-10,1.7009708737864078
2016-05-11,3.4019417475728155
2016-05-12,1.7009708737864078
2016-05-13,0.0
2016-05-14,4.252427184466019
2016-05-15,11.906796116504854
2016-05-16,0.0
2016-05-17,8.504854368932039
2016-05-18,3.4019417475728155
2016-05-19,6.803883495145631
2016-05-20,5.1029126213592235
2016-05-21,4.252427184466019
2016-05-22,1.7009708737864078
2016-05-23,3.4019417475728155
2016-05-24,6.803883495145631
2016-05-25,5.1029126213592235
2016-05-26,1.7009708737864078
2016-05-27,5.1029126213592235
2016-05-28,7.654368932038835
2016-05-29,4.252427184466019
2016-05-30,3.4019417475728155
2016-05-31,3.4019417475728155
2016-06-01,6.803883495145631
2016-06-02,6.803883495145631
2016-06-03,5.1029126213592235
2016-06-04,5.953398058252427
2016-06-05,5.953398058252427
2016-06-06,1.7009708737864078
2016-06-07,10.205825242718447
2016-06-08,28.91650485436893
2016-06-09,11.906796116504854
2016-06-10,14.458252427184465
2016-06-11,7.654368932038835
2016-06-12,10.205825242718447
2016-06-13,5.1029126213592235
2016-06-14,3.4019417475728155
2016-06-15,8.504854368932039
2016-06-16,8.504854368932039
2016-06-17,5.1029126213592235
2016-06-18,1.7009708737864078
2016-06-19,4.252427184466019
2016-06-20,5.1029126213592235
2016-06-21,8.504854368932039
2016-06-22,6.803883495145631
2016-06-23,10.205825242718447
2016-06-24,1.7009708737864078
2016-06-25,1.7009708737864078
2016-06-26,5.953398058252427
2016-06-27,3.4019417475728155
2016-06-28,3.4019417475728155
2016-06-29,5.1029126213592235
2016-06-30,1.7009708737864078
2016-07-01,1.7009708737864078
2016-07-02,4.252427184466019
2016-07-03,8.504854368932039
2016-07-04,3.4019417475728155
2016-07-05,10.205825242718447
2016-07-06,17.860194174757282
2016-07-07,3.4019417475728155
2016-07-08,9.355339805825242
2016-07-09,1.7009708737864078
2016-07-10,8.504854368932039
2016-07-11,10.205825242718447
2016-07-12,5.1029126213592235
2016-07-13,8.504854368932039
2016-07-14,8.504854368932039
2016-07-15,5.1029126213592235
2016-07-16,8.504854368932039
2016-07-17,14.458252427184465
2016-07-18,1.7009708737864078
2016-07-19,11.906796116504854
2016-07-20,13.607766990291262
2016-07-21,3.4019417475728155
2016-07-22,14.458252427184465
2016-07-23,20.411650485436894
2016-07-24,18.710679611650484
2016-07-25,11.906796116504854
2016-07-26,23.813592233009707
2016-07-27,25.514563106796118
2016-07-28,21.262135922330096
2016-07-29,30.61747572815534
2016-07-30,16.159223300970872
2016-07-31,10.205825242718447
2016-08-01,6.803883495145631
2016-08-02,10.205825242718447
2016-08-03,0.0
2016-08-04,10.205825242718447
2016-08-05,11.05631067961165
2016-08-06,5.953398058252427
2016-08-07,11.906796116504854
2016-08-08,10.205825242718447
2016-08-09,6.803883495145631
2016-08-10,8.504854368932039
2016-08-11,6.803883495145631
2016-08-12,6.803883495145631
2016-08-13,10.205825242718447
2016-08-14,8.504854368932039
2016-08-15,3.4019417475728155
2016-08-16,5.1029126213592235
2016-08-17,13.607766990291262
2016-08-18,5.1029126213592235
2016-08-19,5.1029126213592235
2016-08-20,4.252427184466019
2016-08-21,7.654368932038835
2016-08-22,8.504854368932039
2016-08-23,13.607766990291262
2016-08-24,3.4019417475728155
2016-08-25,8.504854368932039
2016-08-26,6.803883495145631
2016-08-27,10.205825242718447
2016-08-28,7.654368932038835
2016-08-29,10.205825242718447
2016-08-30,3.4019417475728155
2016-08-31,13.607766990291262
2016-09-01,13.607766990291262
2016-09-02,3.4019417475728155
2016-09-03,10.205825242718447
2016-09-04,0.0
2016-09-05,8.504854368932039
2016-09-06,3.4019417475728155
2016-09-07,10.205825242718447
2016-09-08,5.1029126213592235
2016-09-09,6.803883495145631
2016-09-10,5.953398058252427
2016-09-11,39.12233009708738
2016-09-12,85.04854368932038
2016-09-13,55.28155339805825
2016-09-14,26.36504854368932
2016-09-15,17.009708737864077
2016-09-16,33.16893203883495
2016-09-17,19.56116504854369
2016-09-18,18.710679611650484
2016-09-19,11.906796116504854
2016-09-20,11.05631067961165
2016-09-21,11.906796116504854
2016-09-22,21.262135922330096
2016-09-23,11.906796116504854
2016-09-24,9.355339805825242
2016-09-25,5.953398058252427
2016-09-26,12.757281553398059
2016-09-27,26.36504854368932
2016-09-28,19.56116504854369
2016-09-29,13.607766990291262
2016-09-30,18.710679611650484
2016-10-01,8.827184466019418
2016-10-02,8.37864077669903
2016-10-03,3.3504854368932038
2016-10-04,10.677669902912621
2016-10-05,6.551456310679612
2016-10-06,11.102912621359224
2016-10-07,7.551456310679612
2016-10-08,15.355339805825242
2016-10-09,11.80388349514563
2016-10-10,20.280582524271843
2016-10-11,14.079611650485436
2016-10-12,9.401941747572815
2016-10-13,13.028155339805824
2016-10-14,10.901941747572815
2016-10-15,19.004854368932037
2016-10-16,14.654368932038835
2016-10-17,11.028155339805824
2016-10-18,10.677669902912621
2016-10-19,16.43009708737864
2016-10-20,21.10776699029126
2016-10-21,15.780582524271844
2016-10-22,21.832038834951454
2016-10-23,10.528155339805824
2016-10-24,15.780582524271844
2016-10-25,5.7009708737864075
2016-10-26,13.229126213592233
2016-10-27,11.752427184466018
2016-10-28,22.355339805825242
2016-10-29,30.533009708737865
2016-10-30,21.55631067961165
2016-10-31,10.102912621359224
