date,trump coma
2016-12-14,11.0
2016-12-15,12.0
2016-12-16,0.0
2016-12-17,13.0
2016-12-18,0.0
2016-12-19,23.0
2016-12-20,0.0
2016-12-21,12.0
2016-12-22,0.0
2016-12-23,13.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,12.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,13.0
2016-12-31,14.0
2017-01-01,0.0
2017-01-02,12.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,24.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,11.0
2017-01-11,17.0
2017-01-12,0.0
2017-01-13,11.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,22.0
2017-01-17,0.0
2017-01-18,11.0
2017-01-19,11.0
2017-01-20,34.0
2017-01-21,13.0
2017-01-22,19.0
2017-01-23,22.0
2017-01-24,11.0
2017-01-25,38.0
2017-01-26,17.0
2017-01-27,29.0
2017-01-28,19.0
2017-01-29,32.0
2017-01-30,11.0
2017-01-31,16.0
2017-02-01,11.0
2017-02-02,11.0
2017-02-03,23.0
2017-02-04,19.0
2017-02-05,0.0
2017-02-06,11.0
2017-02-07,22.0
2017-02-08,11.0
2017-02-09,11.0
2017-02-10,34.0
2017-02-11,13.0
2017-02-12,12.0
2017-02-13,16.0
2017-02-14,22.0
2017-02-15,11.0
2017-02-16,16.0
2017-02-17,23.0
2017-02-18,13.0
2017-02-19,0.0
2017-02-20,11.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,22.0
2017-02-24,11.0
2017-02-25,13.0
2017-02-26,13.0
2017-02-27,11.0
2017-02-28,33.0
2017-03-01,11.64516129032258
2017-03-02,0.0
2017-03-03,11.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,11.64516129032258
2017-03-07,0.0
2017-03-08,20.104105571847505
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,7.07624633431085
2017-03-12,12.890029325513197
2017-03-13,11.64516129032258
2017-03-14,5.5
2017-03-15,11.458944281524927
2017-03-16,17.79032258064516
2017-03-17,11.831378299120235
2017-03-18,6.0
2017-03-19,12.890029325513197
2017-03-20,0.0
2017-03-21,11.64516129032258
2017-03-22,0.0
2017-03-23,11.0
2017-03-24,12.017595307917889
2017-03-25,7.262463343108505
2017-03-26,6.5
2017-03-27,5.5
2017-03-28,12.104105571847507
2017-03-29,0.0
2017-03-30,18.16275659824047
2017-03-31,11.831378299120235
2017-04-01,6.5
2017-04-02,0.0
2017-04-03,12.290322580645162
2017-04-04,12.290322580645162
2017-04-05,0.0
2017-04-06,24.95307917888563
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,14.897360703812318
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,13.035190615835777
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,13.035190615835777
2017-04-18,24.580645161290324
2017-04-19,24.580645161290324
2017-04-20,12.662756598240469
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,24.580645161290324
2017-04-25,12.290322580645162
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,13.035190615835777
2017-04-29,0.0
2017-04-30,14.897360703812318
2017-05-01,0.0
2017-05-02,12.290322580645162
2017-05-03,0.0
2017-05-04,24.580645161290324
2017-05-05,32.401759530791786
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,12.290322580645162
2017-05-09,0.0
2017-05-10,24.580645161290324
2017-05-11,12.290322580645162
2017-05-12,0.0
2017-05-13,14.52492668621701
2017-05-14,14.52492668621701
2017-05-15,0.0
2017-05-16,12.290322580645162
2017-05-17,12.290322580645162
2017-05-18,12.662756598240469
2017-05-19,12.662756598240469
2017-05-20,14.52492668621701
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,12.290322580645162
2017-05-24,37.24340175953079
2017-05-25,26.070381231671554
2017-05-26,20.11143695014663
2017-05-27,15.269794721407624
2017-05-28,30.167155425219942
2017-05-29,13.035190615835777
2017-05-30,0.0
2017-05-31,12.662756598240469
2017-06-01,12.662756598240469
2017-06-02,13.407624633431086
2017-06-03,0.0
