date,obama traitor
2016-05-01,3.2412060301507535
2016-05-02,0.0
2016-05-03,7.994974874371859
2016-05-04,5.402010050251256
2016-05-05,2.809045226130653
2016-05-06,2.917085427135678
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,2.701005025125628
2016-05-13,0.0
2016-05-14,3.1331658291457285
2016-05-15,0.0
2016-05-16,2.701005025125628
2016-05-17,2.701005025125628
2016-05-18,3.9974874371859297
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,3.2412060301507535
2016-05-23,2.701005025125628
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,5.834170854271356
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,5.510050251256281
2016-06-01,2.701005025125628
2016-06-02,2.809045226130653
2016-06-03,2.917085427135678
2016-06-04,0.0
2016-06-05,3.2412060301507535
2016-06-06,0.0
2016-06-07,2.701005025125628
2016-06-08,0.0
2016-06-09,4.21356783919598
2016-06-10,2.917085427135678
2016-06-11,3.1331658291457285
2016-06-12,0.0
2016-06-13,3.9974874371859297
2016-06-14,0.0
2016-06-15,10.804020100502512
2016-06-16,4.105527638190955
2016-06-17,8.535175879396984
2016-06-18,0.0
2016-06-19,9.615577889447236
2016-06-20,0.0
2016-06-21,2.701005025125628
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,4.86180904522613
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,2.809045226130653
2016-07-01,8.64321608040201
2016-07-02,0.0
2016-07-03,3.349246231155779
2016-07-04,0.0
2016-07-05,2.809045226130653
2016-07-06,2.917085427135678
2016-07-07,2.917085427135678
2016-07-08,5.942211055276382
2016-07-09,3.349246231155779
2016-07-10,0.0
2016-07-11,2.809045226130653
2016-07-12,2.701005025125628
2016-07-13,2.809045226130653
2016-07-14,2.809045226130653
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,6.590452261306533
2016-07-18,4.21356783919598
2016-07-19,2.809045226130653
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,3.349246231155779
2016-07-25,2.809045226130653
2016-07-26,0.0
2016-07-27,2.809045226130653
2016-07-28,7.022613065326633
2016-07-29,5.834170854271356
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,2.809045226130653
2016-08-02,0.0
2016-08-03,2.809045226130653
2016-08-04,5.618090452261306
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,2.809045226130653
2016-08-11,0.0
2016-08-12,2.917085427135678
2016-08-13,3.2412060301507535
2016-08-14,0.0
2016-08-15,2.917085427135678
2016-08-16,2.809045226130653
2016-08-17,2.701005025125628
2016-08-18,0.0
2016-08-19,2.917085427135678
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,2.809045226130653
2016-08-24,2.809045226130653
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,3.2412060301507535
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,2.809045226130653
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,5.293969849246231
2016-09-07,2.701005025125628
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,3.1331658291457285
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,3.0251256281407035
2016-09-19,5.293969849246231
2016-09-20,5.185929648241206
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,2.809045226130653
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,2.701005025125628
2016-09-27,2.592964824120603
2016-09-28,0.0
2016-09-29,2.701005025125628
2016-09-30,0.0
2016-10-01,5.5125628140703515
2016-10-02,0.0
2016-10-03,4.796482412060302
2016-10-04,0.0
2016-10-05,3.5
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,4.796482412060302
2016-10-14,1.350502512562814
