date,trump book
2016-05-01,5.3282247765006385
2016-05-02,6.089399744572158
2016-05-03,8.372924648786718
2016-05-04,12.178799489144316
2016-05-05,9.895274584929757
2016-05-06,10.656449553001277
2016-05-07,7.611749680715198
2016-05-08,9.895274584929757
2016-05-09,6.850574712643677
2016-05-10,9.895274584929757
2016-05-11,7.611749680715198
2016-05-12,5.3282247765006385
2016-05-13,7.611749680715198
2016-05-14,10.656449553001277
2016-05-15,5.3282247765006385
2016-05-16,6.089399744572158
2016-05-17,4.567049808429118
2016-05-18,9.134099616858236
2016-05-19,7.611749680715198
2016-05-20,7.611749680715198
2016-05-21,6.850574712643677
2016-05-22,6.850574712643677
2016-05-23,4.567049808429118
2016-05-24,3.805874840357599
2016-05-25,4.567049808429118
2016-05-26,9.134099616858236
2016-05-27,9.134099616858236
2016-05-28,7.611749680715198
2016-05-29,6.089399744572158
2016-05-30,4.567049808429118
2016-05-31,6.089399744572158
2016-06-01,6.850574712643677
2016-06-02,6.850574712643677
2016-06-03,3.805874840357599
2016-06-04,6.089399744572158
2016-06-05,6.850574712643677
2016-06-06,5.3282247765006385
2016-06-07,6.850574712643677
2016-06-08,5.3282247765006385
2016-06-09,6.089399744572158
2016-06-10,5.3282247765006385
2016-06-11,9.895274584929757
2016-06-12,7.611749680715198
2016-06-13,6.089399744572158
2016-06-14,5.3282247765006385
2016-06-15,7.611749680715198
2016-06-16,6.089399744572158
2016-06-17,5.3282247765006385
2016-06-18,8.372924648786718
2016-06-19,6.850574712643677
2016-06-20,5.3282247765006385
2016-06-21,6.850574712643677
2016-06-22,8.372924648786718
2016-06-23,3.805874840357599
2016-06-24,4.567049808429118
2016-06-25,4.567049808429118
2016-06-26,4.567049808429118
2016-06-27,3.044699872286079
2016-06-28,8.372924648786718
2016-06-29,5.3282247765006385
2016-06-30,8.372924648786718
2016-07-01,4.567049808429118
2016-07-02,4.567049808429118
2016-07-03,6.850574712643677
2016-07-04,5.3282247765006385
2016-07-05,8.372924648786718
2016-07-06,7.611749680715198
2016-07-07,11.417624521072796
2016-07-08,5.3282247765006385
2016-07-09,3.805874840357599
2016-07-10,9.134099616858236
2016-07-11,6.089399744572158
2016-07-12,3.044699872286079
2016-07-13,5.3282247765006385
2016-07-14,5.3282247765006385
2016-07-15,6.850574712643677
2016-07-16,7.611749680715198
2016-07-17,4.567049808429118
2016-07-18,8.372924648786718
2016-07-19,21.312899106002554
2016-07-20,19.790549169859514
2016-07-21,16.745849297573436
2016-07-22,19.790549169859514
2016-07-23,12.178799489144316
2016-07-24,13.701149425287355
2016-07-25,8.372924648786718
2016-07-26,6.850574712643677
2016-07-27,16.745849297573436
2016-07-28,13.701149425287355
2016-07-29,12.178799489144316
2016-07-30,12.178799489144316
2016-07-31,15.223499361430395
2016-08-01,12.178799489144316
2016-08-02,15.984674329501914
2016-08-03,12.178799489144316
2016-08-04,11.417624521072796
2016-08-05,10.656449553001277
2016-08-06,9.134099616858236
2016-08-07,7.611749680715198
2016-08-08,9.134099616858236
2016-08-09,9.895274584929757
2016-08-10,10.656449553001277
2016-08-11,11.417624521072796
2016-08-12,7.611749680715198
2016-08-13,7.611749680715198
2016-08-14,7.611749680715198
2016-08-15,5.3282247765006385
2016-08-16,4.567049808429118
2016-08-17,5.3282247765006385
2016-08-18,7.611749680715198
2016-08-19,10.656449553001277
2016-08-20,9.134099616858236
2016-08-21,6.089399744572158
2016-08-22,9.134099616858236
2016-08-23,10.656449553001277
2016-08-24,12.939974457215836
2016-08-25,12.178799489144316
2016-08-26,12.178799489144316
2016-08-27,11.417624521072796
2016-08-28,6.850574712643677
2016-08-29,6.089399744572158
2016-08-30,4.567049808429118
2016-08-31,6.850574712643677
2016-09-01,7.611749680715198
2016-09-02,9.895274584929757
2016-09-03,6.089399744572158
2016-09-04,5.3282247765006385
2016-09-05,6.089399744572158
2016-09-06,8.372924648786718
2016-09-07,10.656449553001277
2016-09-08,7.611749680715198
2016-09-09,6.850574712643677
2016-09-10,9.895274584929757
2016-09-11,6.850574712643677
2016-09-12,6.089399744572158
2016-09-13,6.850574712643677
2016-09-14,9.134099616858236
2016-09-15,10.656449553001277
2016-09-16,10.656449553001277
2016-09-17,6.850574712643677
2016-09-18,6.089399744572158
2016-09-19,6.089399744572158
2016-09-20,6.089399744572158
2016-09-21,5.3282247765006385
2016-09-22,7.611749680715198
2016-09-23,6.089399744572158
2016-09-24,7.611749680715198
2016-09-25,7.611749680715198
2016-09-26,9.895274584929757
2016-09-27,25.879948914431672
2016-09-28,10.656449553001277
2016-09-29,7.611749680715198
2016-09-30,11.417624521072796
2016-10-01,9.828224776500639
2016-10-02,14.111749680715198
2016-10-03,10.708812260536398
2016-10-04,9.186462324393359
2016-10-05,10.708812260536398
2016-10-06,7.425287356321839
2016-10-07,8.828224776500639
2016-10-08,17.634099616858236
2016-10-09,17.89527458492976
2016-10-10,23.178799489144318
2016-10-11,18.39527458492976
2016-10-12,12.850574712643677
2016-10-13,15.753512132822477
2016-10-14,13.850574712643677
2016-10-15,11.589399744572159
2016-10-16,11.708812260536398
2016-10-17,13.969987228607918
2016-10-18,10.208812260536398
2016-10-19,11.208812260536398
2016-10-20,71.29757343550446
2016-10-21,82.05874840357599
2016-10-22,42.43231162196679
2016-10-23,28.081736909323116
2016-10-24,18.89527458492976
2016-10-25,16.23116219667944
2016-10-26,15.731162196679438
2016-10-27,13.969987228607918
2016-10-28,13.208812260536398
2016-10-29,11.328224776500639
2016-10-30,10.067049808429118
2016-10-31,9.8058748403576
2016-11-01,13.850574712643677
