date,hillary clinton scandal
2016-05-01,2.866785079928952
2016-05-02,5.733570159857904
2016-05-03,6.6891651865008885
2016-05-04,11.9449378330373
2016-05-05,12.422735346358792
2016-05-06,10.511545293072825
2016-05-07,7.644760213143872
2016-05-08,5.733570159857904
2016-05-09,8.122557726465365
2016-05-10,6.6891651865008885
2016-05-11,7.644760213143872
2016-05-12,6.211367673179396
2016-05-13,9.55595026642984
2016-05-14,4.77797513321492
2016-05-15,5.733570159857904
2016-05-16,6.6891651865008885
2016-05-17,6.211367673179396
2016-05-18,7.16696269982238
2016-05-19,6.211367673179396
2016-05-20,6.211367673179396
2016-05-21,4.77797513321492
2016-05-22,4.77797513321492
2016-05-23,4.300177619893428
2016-05-24,5.255772646536412
2016-05-25,5.733570159857904
2016-05-26,11.467140319715808
2016-05-27,10.033747779751332
2016-05-28,7.16696269982238
2016-05-29,5.255772646536412
2016-05-30,4.77797513321492
2016-05-31,7.644760213143872
2016-06-01,5.255772646536412
2016-06-02,5.733570159857904
2016-06-03,7.644760213143872
2016-06-04,8.122557726465365
2016-06-05,5.733570159857904
2016-06-06,7.644760213143872
2016-06-07,10.033747779751332
2016-06-08,18.634103019538188
2016-06-09,20.067495559502664
2016-06-10,21.02309058614565
2016-06-11,21.50088809946714
2016-06-12,14.811722912966252
2016-06-13,10.033747779751332
2016-06-14,5.733570159857904
2016-06-15,8.600355239786856
2016-06-16,5.255772646536412
2016-06-17,5.733570159857904
2016-06-18,4.77797513321492
2016-06-19,5.733570159857904
2016-06-20,6.6891651865008885
2016-06-21,6.211367673179396
2016-06-22,5.255772646536412
2016-06-23,6.211367673179396
2016-06-24,6.6891651865008885
2016-06-25,6.211367673179396
2016-06-26,5.255772646536412
2016-06-27,7.16696269982238
2016-06-28,6.6891651865008885
2016-06-29,5.255772646536412
2016-06-30,6.6891651865008885
2016-07-01,12.422735346358792
2016-07-02,9.55595026642984
2016-07-03,10.989342806394315
2016-07-04,6.211367673179396
2016-07-05,21.50088809946714
2016-07-06,28.190053285968027
2016-07-07,21.50088809946714
2016-07-08,12.422735346358792
2016-07-09,8.600355239786856
2016-07-10,10.989342806394315
2016-07-11,9.078152753108348
2016-07-12,7.16696269982238
2016-07-13,6.6891651865008885
2016-07-14,5.255772646536412
2016-07-15,5.255772646536412
2016-07-16,4.300177619893428
2016-07-17,5.733570159857904
2016-07-18,4.77797513321492
2016-07-19,8.122557726465365
2016-07-20,14.811722912966252
2016-07-21,11.9449378330373
2016-07-22,10.033747779751332
2016-07-23,10.511545293072825
2016-07-24,14.33392539964476
2016-07-25,21.02309058614565
2016-07-26,21.50088809946714
2016-07-27,31.534635879218474
2016-07-28,29.623445825932503
2016-07-29,36.31261101243339
2016-07-30,16.24511545293073
2016-07-31,11.9449378330373
2016-08-01,11.467140319715808
2016-08-02,8.600355239786856
2016-08-03,7.644760213143872
2016-08-04,7.644760213143872
2016-08-05,4.300177619893428
2016-08-06,6.6891651865008885
2016-08-07,6.6891651865008885
2016-08-08,7.16696269982238
2016-08-09,4.77797513321492
2016-08-10,8.122557726465365
2016-08-11,7.16696269982238
2016-08-12,5.733570159857904
2016-08-13,6.6891651865008885
2016-08-14,6.6891651865008885
2016-08-15,7.16696269982238
2016-08-16,3.3445825932504443
2016-08-17,3.822380106571936
2016-08-18,5.733570159857904
2016-08-19,3.822380106571936
2016-08-20,6.211367673179396
2016-08-21,3.822380106571936
2016-08-22,4.77797513321492
2016-08-23,9.078152753108348
2016-08-24,8.122557726465365
2016-08-25,10.511545293072825
2016-08-26,10.511545293072825
2016-08-27,5.255772646536412
2016-08-28,4.77797513321492
2016-08-29,5.255772646536412
2016-08-30,7.644760213143872
2016-08-31,6.6891651865008885
2016-09-01,7.16696269982238
2016-09-02,4.77797513321492
2016-09-03,7.16696269982238
2016-09-04,7.644760213143872
2016-09-05,6.211367673179396
2016-09-06,5.255772646536412
2016-09-07,6.211367673179396
2016-09-08,8.122557726465365
2016-09-09,5.255772646536412
2016-09-10,3.822380106571936
2016-09-11,6.6891651865008885
2016-09-12,5.733570159857904
2016-09-13,6.211367673179396
2016-09-14,7.644760213143872
2016-09-15,8.600355239786856
2016-09-16,8.600355239786856
2016-09-17,6.211367673179396
2016-09-18,4.300177619893428
2016-09-19,5.733570159857904
2016-09-20,4.77797513321492
2016-09-21,6.211367673179396
2016-09-22,3.822380106571936
2016-09-23,5.733570159857904
2016-09-24,4.300177619893428
2016-09-25,5.255772646536412
2016-09-26,9.078152753108348
2016-09-27,36.790408525754884
2016-09-28,17.678507992895206
2016-09-29,17.678507992895206
2016-09-30,9.078152753108348
2016-10-01,12.47246891651865
2016-10-02,9.08348134991119
2016-10-03,7.583481349911191
2016-10-04,10.561278863232683
2016-10-05,8.061278863232683
2016-10-06,6.38898756660746
2016-10-07,7.300177619893428
2016-10-08,13.600355239786856
2016-10-09,21.600355239786857
2016-10-10,36.1563055062167
2016-10-11,16.817051509769094
2016-10-12,16.428063943161632
2016-10-13,11.211367673179396
2016-10-14,10.711367673179396
2016-10-15,10.755772646536412
2016-10-16,7.016873889875666
2016-10-17,9.255772646536412
2016-10-18,14.166962699822381
2016-10-19,12.450266429840141
2016-10-20,24.228241563055064
2016-10-21,13.189165186500889
2016-10-22,9.344582593250443
2016-10-23,9.300177619893429
2016-10-24,8.77797513321492
2016-10-25,13.905861456483127
2016-10-26,12.189165186500889
2016-10-27,8.755772646536412
2016-10-28,36.06749555950266
2016-10-29,49.3898756660746
2016-10-30,33.96181172291297
2016-10-31,39.6563055062167
