date,weekday
2016-05-01,60.92744393507619
2016-05-02,79.90484450501795
2016-05-03,65.92149671663981
2016-05-04,70.91554949820343
2016-05-05,58.92982282245074
2016-05-06,60.92744393507619
2016-05-07,57.93101226613802
2016-05-08,68.91792838557798
2016-05-09,82.90127617395612
2016-05-10,73.9119811671416
2016-05-11,86.89651839920703
2016-05-12,71.91436005451615
2016-05-13,57.93101226613802
2016-05-14,44.9464750340726
2016-05-15,44.9464750340726
2016-05-16,79.90484450501795
2016-05-17,69.91673894189071
2016-05-18,74.91079172345434
2016-05-19,80.90365506133068
2016-05-20,55.93339115351257
2016-05-21,52.936959484574395
2016-05-22,64.92268616032709
2016-05-23,81.9024656176434
2016-05-24,77.90722339239251
2016-05-25,60.92744393507619
2016-05-26,69.91673894189071
2016-05-27,53.93577004088712
2016-05-28,52.936959484574395
2016-05-29,55.93339115351257
2016-05-30,70.91554949820343
2016-05-31,75.90960227976706
2016-06-01,69.91673894189071
2016-06-02,61.92625449138892
2016-06-03,71.91436005451615
2016-06-04,50.93933837194894
2016-06-05,64.92268616032709
2016-06-06,77.90722339239251
2016-06-07,81.9024656176434
2016-06-08,79.90484450501795
2016-06-09,68.91792838557798
2016-06-10,74.91079172345434
2016-06-11,48.9417172593235
2016-06-12,57.93101226613802
2016-06-13,75.90960227976706
2016-06-14,65.92149671663981
2016-06-15,54.93458059719984
2016-06-16,61.92625449138892
2016-06-17,68.91792838557798
2016-06-18,58.92982282245074
2016-06-19,66.92030727295254
2016-06-20,84.89889728658157
2016-06-21,82.90127617395612
2016-06-22,75.90960227976706
2016-06-23,75.90960227976706
2016-06-24,65.92149671663981
2016-06-25,48.9417172593235
2016-06-26,60.92744393507619
2016-06-27,79.90484450501795
2016-06-28,78.90603394870523
2016-06-29,69.91673894189071
2016-06-30,72.91317061082889
2016-07-01,65.92149671663981
2016-07-02,47.94290670301077
2016-07-03,67.91911782926526
2016-07-04,72.91317061082889
2016-07-05,73.9119811671416
2016-07-06,89.8929500681452
