date,donald trump impeachment
2016-11-17,2.739130434782609
2016-11-18,0.9130434782608696
2016-11-19,3.0434782608695654
2016-11-20,1.5217391304347827
2016-11-21,1.8260869565217392
2016-11-22,2.130434782608696
2016-11-23,0.6086956521739131
2016-11-24,0.30434782608695654
2016-11-25,1.2173913043478262
2016-11-26,0.30434782608695654
2016-11-27,0.6086956521739131
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.30434782608695654
2016-12-01,1.2173913043478262
2016-12-02,0.30434782608695654
2016-12-03,0.6086956521739131
2016-12-04,0.6086956521739131
2016-12-05,0.30434782608695654
2016-12-06,0.30434782608695654
2016-12-07,0.30434782608695654
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,1.2173913043478262
2016-12-11,1.2173913043478262
2016-12-12,0.6086956521739131
2016-12-13,0.30434782608695654
2016-12-14,1.2173913043478262
2016-12-15,0.30434782608695654
2016-12-16,0.30434782608695654
2016-12-17,0.9130434782608696
2016-12-18,0.30434782608695654
2016-12-19,0.6086956521739131
2016-12-20,0.6086956521739131
2016-12-21,0.6086956521739131
2016-12-22,0.30434782608695654
2016-12-23,0.6086956521739131
2016-12-24,0.30434782608695654
2016-12-25,0.30434782608695654
2016-12-26,0.0
2016-12-27,0.9130434782608696
2016-12-28,0.6086956521739131
2016-12-29,0.30434782608695654
2016-12-30,0.6086956521739131
2016-12-31,0.9130434782608696
2017-01-01,0.30434782608695654
2017-01-02,0.9130434782608696
2017-01-03,0.6086956521739131
2017-01-04,1.2173913043478262
2017-01-05,0.6086956521739131
2017-01-06,2.4347826086956523
2017-01-07,1.2173913043478262
2017-01-08,1.2173913043478262
2017-01-09,0.30434782608695654
2017-01-10,1.8260869565217392
2017-01-11,5.173913043478262
2017-01-12,4.565217391304348
2017-01-13,3.0434782608695654
2017-01-14,2.130434782608696
2017-01-15,3.0434782608695654
2017-01-16,3.956521739130435
2017-01-17,2.130434782608696
2017-01-18,3.956521739130435
2017-01-19,1.8260869565217392
2017-01-20,8.521739130434783
2017-01-21,6.391304347826088
2017-01-22,5.478260869565218
2017-01-23,5.173913043478262
2017-01-24,1.8260869565217392
2017-01-25,5.173913043478262
2017-01-26,5.782608695652174
2017-01-27,3.0434782608695654
2017-01-28,8.82608695652174
2017-01-29,21.304347826086957
2017-01-30,25.869565217391305
2017-01-31,28.304347826086957
2017-02-01,9.434782608695652
2017-02-02,12.782608695652176
2017-02-03,4.869565217391305
2017-02-04,12.173913043478262
2017-02-05,6.695652173913044
2017-02-06,10.956521739130435
2017-02-07,10.347826086956523
2017-02-08,10.652173913043478
2017-02-09,7.91304347826087
2017-02-10,16.130434782608695
2017-02-11,5.782608695652174
2017-02-12,5.173913043478262
2017-02-13,6.391304347826088
2017-02-14,7.304347826086957
2017-02-15,15.521739130434783
2017-02-16,17.65217391304348
2017-02-17,12.782608695652176
2017-02-18,12.478260869565219
2017-02-19,11.869565217391305
2017-02-20,4.260869565217392
2017-02-21,4.869565217391305
2017-02-22,7.304347826086957
2017-02-23,5.478260869565218
2017-02-24,5.478260869565218
2017-02-25,4.565217391304348
2017-02-26,5.173913043478262
2017-02-27,4.260869565217392
2017-02-28,1.5217391304347827
2017-03-01,1.608695652173913
2017-03-02,1.7608695652173914
2017-03-03,2.8695652173913047
2017-03-04,3.6739130434782608
2017-03-05,3.8260869565217392
2017-03-06,3.6739130434782608
2017-03-07,2.8695652173913047
2017-03-08,4.434782608695652
2017-03-09,2.5652173913043477
2017-03-10,4.282608695652174
2017-03-11,1.7608695652173914
2017-03-12,1.9130434782608696
2017-03-13,1.9130434782608696
2017-03-14,1.608695652173913
2017-03-15,2.217391304347826
2017-03-16,2.5652173913043477
2017-03-17,3.3260869565217392
2017-03-18,2.3695652173913047
2017-03-19,2.0652173913043477
2017-03-20,5.6521739130434785
2017-03-21,9.065217391304348
2017-03-22,12.23913043478261
2017-03-23,8.456521739130435
2017-03-24,3.8260869565217392
2017-03-25,4.934782608695652
2017-03-26,5.239130434782609
2017-03-27,2.717391304347826
2017-03-28,5.282608695652174
2017-03-29,2.0652173913043477
2017-03-30,3.0217391304347827
2017-03-31,6.3478260869565215
2017-04-01,5.8478260869565215
2017-04-02,7.0
2017-04-03,5.0
2017-04-04,4.0
2017-04-05,3.0
2017-04-06,5.0
2017-04-07,3.0
2017-04-08,2.0
2017-04-09,4.0
2017-04-10,2.0
2017-04-11,2.0
2017-04-12,1.0
2017-04-13,3.0
2017-04-14,3.0
2017-04-15,2.0
2017-04-16,2.0
2017-04-17,3.0
2017-04-18,4.0
2017-04-19,2.0
2017-04-20,2.0
2017-04-21,2.0
2017-04-22,1.0
2017-04-23,0.0
2017-04-24,2.0
2017-04-25,3.0
2017-04-26,2.0
2017-04-27,1.0
2017-04-28,2.0
2017-04-29,1.0
2017-04-30,2.0
2017-05-01,2.0
2017-05-02,2.0
2017-05-03,2.0
2017-05-04,1.0
2017-05-05,1.0
2017-05-06,1.0
2017-05-07,2.0
2017-05-08,2.0
2017-05-09,4.0
2017-05-10,10.0
2017-05-11,9.0
2017-05-12,9.0
2017-05-13,8.0
2017-05-14,8.0
2017-05-15,9.0
2017-05-16,22.0
2017-05-17,100.0
2017-05-18,92.0
2017-05-19,47.0
2017-05-20,38.0
2017-05-21,25.0
2017-05-22,15.0
2017-05-23,8.0
2017-05-24,9.0
2017-05-25,8.0
2017-05-26,7.0
2017-05-27,5.0
2017-05-28,5.0
2017-05-29,3.0
2017-05-30,5.0
2017-05-31,4.0
2017-06-01,7.0
2017-06-02,6.0
2017-06-03,5.0
