date,hillary clinton campaign
2016-05-01,4.180831826401446
2016-05-02,5.748643761301989
2016-05-03,7.3164556962025316
2016-05-04,19.33634719710669
2016-05-05,13.06509945750452
2016-05-06,7.839059674502712
2016-05-07,5.2260397830018075
2016-05-08,5.2260397830018075
2016-05-09,8.361663652802893
2016-05-10,7.839059674502712
2016-05-11,6.2712477396021695
2016-05-12,8.884267631103073
2016-05-13,4.703435804701627
2016-05-14,3.1356238698010848
2016-05-15,5.748643761301989
2016-05-16,6.79385171790235
2016-05-17,4.180831826401446
2016-05-18,4.703435804701627
2016-05-19,7.3164556962025316
2016-05-20,5.748643761301989
2016-05-21,3.1356238698010848
2016-05-22,5.2260397830018075
2016-05-23,5.748643761301989
2016-05-24,5.2260397830018075
2016-05-25,7.3164556962025316
2016-05-26,6.2712477396021695
2016-05-27,3.6582278481012658
2016-05-28,5.748643761301989
2016-05-29,4.703435804701627
2016-05-30,4.703435804701627
2016-05-31,4.180831826401446
2016-06-01,5.748643761301989
2016-06-02,7.839059674502712
2016-06-03,5.748643761301989
2016-06-04,5.2260397830018075
2016-06-05,4.180831826401446
2016-06-06,5.748643761301989
2016-06-07,8.884267631103073
2016-06-08,19.85895117540687
2016-06-09,12.542495479204339
2016-06-10,12.019891500904158
2016-06-11,8.361663652802893
2016-06-12,6.2712477396021695
2016-06-13,7.839059674502712
2016-06-14,7.839059674502712
2016-06-15,4.703435804701627
2016-06-16,4.703435804701627
2016-06-17,6.2712477396021695
2016-06-18,3.6582278481012658
2016-06-19,3.6582278481012658
2016-06-20,4.703435804701627
2016-06-21,7.3164556962025316
2016-06-22,8.884267631103073
2016-06-23,8.361663652802893
2016-06-24,4.180831826401446
2016-06-25,6.2712477396021695
2016-06-26,4.180831826401446
2016-06-27,5.2260397830018075
2016-06-28,6.2712477396021695
2016-06-29,5.748643761301989
2016-06-30,4.180831826401446
2016-07-01,5.2260397830018075
2016-07-02,8.361663652802893
2016-07-03,8.361663652802893
2016-07-04,4.703435804701627
2016-07-05,9.406871609403254
2016-07-06,6.79385171790235
2016-07-07,7.3164556962025316
2016-07-08,5.2260397830018075
2016-07-09,6.2712477396021695
2016-07-10,4.180831826401446
2016-07-11,7.3164556962025316
2016-07-12,8.361663652802893
2016-07-13,5.748643761301989
2016-07-14,4.180831826401446
2016-07-15,6.2712477396021695
2016-07-16,6.2712477396021695
2016-07-17,5.748643761301989
2016-07-18,6.2712477396021695
2016-07-19,8.361663652802893
2016-07-20,12.019891500904158
2016-07-21,13.5877034358047
2016-07-22,13.5877034358047
2016-07-23,11.497287522603978
2016-07-24,13.5877034358047
2016-07-25,19.33634719710669
2016-07-26,25.60759493670886
2016-07-27,24.039783001808317
2016-07-28,21.949367088607595
2016-07-29,52.26039783001808
2016-07-30,23.517179023508135
2016-07-31,20.90415913200723
2016-08-01,13.5877034358047
2016-08-02,19.33634719710669
2016-08-03,12.019891500904158
2016-08-04,10.452079566003615
2016-08-05,11.497287522603978
2016-08-06,8.884267631103073
2016-08-07,10.452079566003615
2016-08-08,9.406871609403254
2016-08-09,9.929475587703434
2016-08-10,9.406871609403254
2016-08-11,6.2712477396021695
2016-08-12,7.3164556962025316
2016-08-13,9.929475587703434
2016-08-14,6.2712477396021695
2016-08-15,8.361663652802893
2016-08-16,5.748643761301989
2016-08-17,4.703435804701627
2016-08-18,8.884267631103073
2016-08-19,7.3164556962025316
2016-08-20,7.3164556962025316
2016-08-21,7.839059674502712
2016-08-22,7.839059674502712
2016-08-23,8.361663652802893
2016-08-24,5.748643761301989
2016-08-25,9.406871609403254
2016-08-26,10.452079566003615
2016-08-27,4.180831826401446
2016-08-28,6.2712477396021695
2016-08-29,4.703435804701627
2016-08-30,10.452079566003615
2016-08-31,6.2712477396021695
2016-09-01,6.2712477396021695
2016-09-02,7.839059674502712
2016-09-03,5.748643761301989
2016-09-04,5.748643761301989
2016-09-05,9.406871609403254
2016-09-06,11.497287522603978
2016-09-07,10.452079566003615
2016-09-08,9.406871609403254
2016-09-09,8.361663652802893
2016-09-10,7.839059674502712
2016-09-11,13.06509945750452
2016-09-12,14.632911392405063
2016-09-13,14.11030741410488
2016-09-14,13.06509945750452
2016-09-15,15.155515370705244
2016-09-16,22.471971066907773
2016-09-17,12.019891500904158
2016-09-18,12.019891500904158
2016-09-19,13.06509945750452
2016-09-20,13.06509945750452
2016-09-21,11.497287522603978
2016-09-22,13.06509945750452
2016-09-23,11.497287522603978
2016-09-24,9.406871609403254
2016-09-25,8.361663652802893
2016-09-26,12.542495479204339
2016-09-27,39.19529837251356
2016-09-28,22.471971066907773
2016-09-29,17.245931283905968
2016-09-30,15.155515370705244
2016-10-01,10.203435804701627
2016-10-02,8.658227848101266
2016-10-03,13.27124773960217
2016-10-04,14.05515370705244
2016-10-05,13.816455696202532
2016-10-06,12.53254972875226
2016-10-07,9.464737793851718
2016-10-08,15.600361663652802
2016-10-09,11.748643761301988
2016-10-10,31.462025316455694
2016-10-11,20.668173598553345
2016-10-12,21.497287522603976
2016-10-13,16.88426763110307
2016-10-14,19.668173598553345
2016-10-15,9.464737793851718
2016-10-16,16.1003616636528
2016-10-17,15.316455696202532
2016-10-18,14.79385171790235
2016-10-19,18.622965641952984
2016-10-20,31.723327305605785
2016-10-21,17.861663652802893
2016-10-22,17.145569620253163
2016-10-23,18.668173598553345
2016-10-24,18.668173598553345
2016-10-25,17.122965641952984
2016-10-26,17.339059674502714
2016-10-27,18.622965641952984
2016-10-28,21.474683544303797
2016-10-29,31.416817359855333
2016-10-30,24.04249547920434
