date,hillary clinton treason
2016-05-01,2.2752808988764044
2016-05-02,2.0224719101123596
2016-05-03,1.8960674157303372
2016-05-04,2.907303370786517
2016-05-05,6.067415730337078
2016-05-06,4.171348314606742
2016-05-07,0.0
2016-05-08,6.952247191011236
2016-05-09,3.918539325842697
2016-05-10,3.918539325842697
2016-05-11,7.710674157303371
2016-05-12,2.0224719101123596
2016-05-13,4.044943820224719
2016-05-14,2.2752808988764044
2016-05-15,5.688202247191011
2016-05-16,3.918539325842697
2016-05-17,1.8960674157303372
2016-05-18,0.0
2016-05-19,2.0224719101123596
2016-05-20,2.0224719101123596
2016-05-21,2.2752808988764044
2016-05-22,2.2752808988764044
2016-05-23,0.0
2016-05-24,3.918539325842697
2016-05-25,2.0224719101123596
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,2.2752808988764044
2016-05-29,6.952247191011236
2016-05-30,5.056179775280899
2016-05-31,3.918539325842697
2016-06-01,1.8960674157303372
2016-06-02,3.033707865168539
2016-06-03,3.160112359550562
2016-06-04,0.0
2016-06-05,4.676966292134831
2016-06-06,2.907303370786517
2016-06-07,4.8033707865168545
2016-06-08,7.963483146067416
2016-06-09,7.078651685393258
2016-06-10,10.365168539325843
2016-06-11,9.22752808988764
2016-06-12,11.502808988764045
2016-06-13,5.814606741573034
2016-06-14,3.918539325842697
2016-06-15,7.837078651685394
2016-06-16,5.941011235955056
2016-06-17,4.044943820224719
2016-06-18,7.078651685393258
2016-06-19,8.089887640449438
2016-06-20,1.8960674157303372
2016-06-21,1.8960674157303372
2016-06-22,2.0224719101123596
2016-06-23,3.033707865168539
2016-06-24,5.182584269662922
2016-06-25,7.078651685393258
2016-06-26,3.539325842696629
2016-06-27,6.825842696629214
2016-06-28,3.918539325842697
2016-06-29,2.0224719101123596
2016-06-30,3.033707865168539
2016-07-01,0.0
2016-07-02,2.4016853932584272
2016-07-03,3.539325842696629
2016-07-04,5.308988764044944
2016-07-05,5.056179775280899
2016-07-06,12.387640449438203
2016-07-07,5.182584269662922
2016-07-08,5.308988764044944
2016-07-09,7.078651685393258
2016-07-10,2.4016853932584272
2016-07-11,0.0
2016-07-12,4.929775280898877
2016-07-13,2.0224719101123596
2016-07-14,0.0
2016-07-15,2.0224719101123596
2016-07-16,2.4016853932584272
2016-07-17,2.4016853932584272
2016-07-18,2.0224719101123596
2016-07-19,2.0224719101123596
2016-07-20,7.078651685393258
2016-07-21,11.25
2016-07-22,6.193820224719102
2016-07-23,9.480337078651687
2016-07-24,3.539325842696629
2016-07-25,4.929775280898877
2016-07-26,6.952247191011236
2016-07-27,7.963483146067416
2016-07-28,11.123595505617978
2016-07-29,12.640449438202248
2016-07-30,6.067415730337078
2016-07-31,4.676966292134831
2016-08-01,2.0224719101123596
2016-08-02,3.033707865168539
2016-08-03,4.044943820224719
2016-08-04,4.044943820224719
2016-08-05,2.148876404494382
2016-08-06,4.8033707865168545
2016-08-07,7.078651685393258
2016-08-08,0.0
2016-08-09,5.941011235955056
2016-08-10,2.0224719101123596
2016-08-11,2.0224719101123596
2016-08-12,0.0
2016-08-13,2.4016853932584272
2016-08-14,4.8033707865168545
2016-08-15,0.0
2016-08-16,4.044943820224719
2016-08-17,2.0224719101123596
2016-08-18,2.0224719101123596
2016-08-19,2.0224719101123596
2016-08-20,2.2752808988764044
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,4.044943820224719
2016-08-25,3.033707865168539
2016-08-26,2.0224719101123596
2016-08-27,0.0
2016-08-28,3.412921348314607
2016-08-29,0.0
2016-08-30,1.8960674157303372
2016-08-31,1.8960674157303372
2016-09-01,1.8960674157303372
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,1.8960674157303372
2016-09-08,2.0224719101123596
2016-09-09,2.0224719101123596
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,1.8960674157303372
2016-09-14,0.0
2016-09-15,2.0224719101123596
2016-09-16,2.0224719101123596
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,3.7921348314606744
2016-09-20,1.8960674157303372
2016-09-21,3.7921348314606744
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,2.2752808988764044
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,4.676966292134831
2016-09-28,3.7921348314606744
2016-09-29,0.0
2016-09-30,2.0224719101123596
2016-10-01,1.074438202247191
2016-10-02,3.160112359550562
2016-10-03,0.0
2016-10-04,2.448033707865169
2016-10-05,0.9480337078651686
2016-10-06,0.9480337078651686
2016-10-07,1.4536516853932584
2016-10-08,4.217696629213483
2016-10-09,3.712078651685393
2016-10-10,3.9536516853932584
2016-10-11,7.838483146067416
2016-10-12,3.8553370786516856
2016-10-13,4.948033707865169
2016-10-14,2.448033707865169
2016-10-15,3.712078651685393
2016-10-16,4.580056179775281
2016-10-17,3.890449438202247
2016-10-18,2.2752808988764044
2016-10-19,0.9480337078651686
2016-10-20,15.004213483146067
2016-10-21,3.396067415730337
2016-10-22,5.148876404494382
2016-10-23,3.0
2016-10-24,2.448033707865169
2016-10-25,5.832865168539326
2016-10-26,6.717696629213483
2016-10-27,2.448033707865169
2016-10-28,9.308988764044944
2016-10-29,3.2865168539325844
2016-10-30,6.792134831460674
2016-10-31,5.849719101123595
2016-11-01,9.355337078651687
2016-11-02,19.0
2016-11-03,26.0
2016-11-04,100.0
2016-11-05,48.0
2016-11-06,26.0
2016-11-07,20.0
2016-11-08,10.0
2016-11-09,14.0
