date,border wall
2016-05-01,2.7149321266968327
2016-05-02,3.1493212669683257
2016-05-03,3.583710407239819
2016-05-04,3.475113122171946
2016-05-05,5.429864253393665
2016-05-06,3.3665158371040724
2016-05-07,3.3665158371040724
2016-05-08,2.7149321266968327
2016-05-09,2.497737556561086
2016-05-10,2.2805429864253393
2016-05-11,2.9321266968325794
2016-05-12,2.1719457013574663
2016-05-13,2.2805429864253393
2016-05-14,2.3891402714932126
2016-05-15,2.1719457013574663
2016-05-16,1.737556561085973
2016-05-17,2.2805429864253393
2016-05-18,3.6923076923076925
2016-05-19,1.5203619909502262
2016-05-20,2.063348416289593
2016-05-21,2.1719457013574663
2016-05-22,2.7149321266968327
2016-05-23,1.5203619909502262
2016-05-24,1.6289592760180995
2016-05-25,2.823529411764706
2016-05-26,3.257918552036199
2016-05-27,2.823529411764706
2016-05-28,3.6923076923076925
2016-05-29,2.9321266968325794
2016-05-30,2.823529411764706
2016-05-31,2.063348416289593
2016-06-01,2.497737556561086
2016-06-02,3.257918552036199
2016-06-03,3.475113122171946
2016-06-04,1.9547511312217196
2016-06-05,3.257918552036199
2016-06-06,4.126696832579186
2016-06-07,3.583710407239819
2016-06-08,3.583710407239819
2016-06-09,3.1493212669683257
2016-06-10,3.800904977375566
2016-06-11,3.0407239819004523
2016-06-12,3.257918552036199
2016-06-13,2.497737556561086
2016-06-14,2.063348416289593
2016-06-15,1.411764705882353
2016-06-16,2.063348416289593
2016-06-17,1.6289592760180995
2016-06-18,1.6289592760180995
2016-06-19,2.2805429864253393
2016-06-20,1.5203619909502262
2016-06-21,1.5203619909502262
2016-06-22,1.8461538461538463
2016-06-23,2.063348416289593
2016-06-24,2.1719457013574663
2016-06-25,2.3891402714932126
2016-06-26,2.6063348416289593
2016-06-27,2.1719457013574663
2016-06-28,1.6289592760180995
2016-06-29,1.1945701357466063
2016-06-30,1.9547511312217196
2016-07-01,1.3031674208144797
2016-07-02,1.411764705882353
2016-07-03,2.2805429864253393
2016-07-04,1.8461538461538463
2016-07-05,2.063348416289593
2016-07-06,2.1719457013574663
2016-07-07,1.737556561085973
2016-07-08,1.3031674208144797
2016-07-09,1.9547511312217196
2016-07-10,2.063348416289593
2016-07-11,3.257918552036199
2016-07-12,2.2805429864253393
2016-07-13,2.9321266968325794
2016-07-14,2.1719457013574663
2016-07-15,1.411764705882353
2016-07-16,1.8461538461538463
2016-07-17,2.063348416289593
2016-07-18,2.497737556561086
2016-07-19,2.1719457013574663
2016-07-20,2.9321266968325794
2016-07-21,2.823529411764706
2016-07-22,5.647058823529412
2016-07-23,2.9321266968325794
2016-07-24,3.257918552036199
2016-07-25,2.3891402714932126
2016-07-26,3.3665158371040724
2016-07-27,3.0407239819004523
2016-07-28,2.6063348416289593
2016-07-29,2.7149321266968327
2016-07-30,2.063348416289593
2016-07-31,3.0407239819004523
2016-08-01,1.5203619909502262
2016-08-02,2.2805429864253393
2016-08-03,2.063348416289593
2016-08-04,2.497737556561086
2016-08-05,2.2805429864253393
2016-08-06,1.737556561085973
2016-08-07,1.3031674208144797
2016-08-08,1.6289592760180995
2016-08-09,1.411764705882353
2016-08-10,1.9547511312217196
2016-08-11,1.8461538461538463
2016-08-12,2.063348416289593
2016-08-13,1.8461538461538463
2016-08-14,2.063348416289593
2016-08-15,1.737556561085973
2016-08-16,1.9547511312217196
2016-08-17,1.8461538461538463
2016-08-18,2.063348416289593
2016-08-19,1.9547511312217196
2016-08-20,1.9547511312217196
2016-08-21,1.6289592760180995
2016-08-22,1.9547511312217196
2016-08-23,1.737556561085973
2016-08-24,1.8461538461538463
2016-08-25,2.2805429864253393
2016-08-26,2.2805429864253393
2016-08-27,2.063348416289593
2016-08-28,2.1719457013574663
2016-08-29,2.3891402714932126
2016-08-30,1.737556561085973
2016-08-31,5.212669683257919
2016-09-01,10.85972850678733
2016-09-02,5.321266968325792
2016-09-03,2.1719457013574663
2016-09-04,2.3891402714932126
2016-09-05,2.1719457013574663
2016-09-06,2.6063348416289593
2016-09-07,2.7149321266968327
2016-09-08,2.7149321266968327
2016-09-09,2.497737556561086
2016-09-10,2.1719457013574663
2016-09-11,2.1719457013574663
2016-09-12,1.8461538461538463
2016-09-13,2.063348416289593
2016-09-14,2.2805429864253393
2016-09-15,2.9321266968325794
2016-09-16,2.9321266968325794
2016-09-17,2.063348416289593
2016-09-18,1.9547511312217196
2016-09-19,2.497737556561086
2016-09-20,2.6063348416289593
2016-09-21,2.2805429864253393
2016-09-22,1.9547511312217196
2016-09-23,2.3891402714932126
2016-09-24,2.063348416289593
2016-09-25,1.737556561085973
2016-09-26,3.1493212669683257
2016-09-27,2.823529411764706
2016-09-28,2.497737556561086
2016-09-29,2.7149321266968327
2016-09-30,2.2805429864253393
2016-10-01,1.3687782805429864
2016-10-02,2.585972850678733
2016-10-03,2.748868778280543
2016-10-04,1.8144796380090498
2016-10-05,2.1402714932126696
2016-10-06,1.5316742081447965
2016-10-07,2.3574660633484164
2016-10-08,2.6945701357466065
2016-10-09,2.47737556561086
2016-10-10,2.585972850678733
2016-10-11,1.2058823529411766
2016-10-12,1.9230769230769231
2016-10-13,1.9230769230769231
2016-10-14,1.8144796380090498
2016-10-15,1.3144796380090498
2016-10-16,1.9230769230769231
2016-10-17,2.748868778280543
2016-10-18,2.1945701357466065
2016-10-19,2.1402714932126696
2016-10-20,4.834841628959277
2016-10-21,3.3574660633484164
2016-10-22,2.4117647058823533
2016-10-23,2.520361990950226
2016-10-24,2.6945701357466065
2016-10-25,2.3031674208144794
