date,tax returns
2016-05-01,2.8626328179678056
2016-05-02,3.041547369090794
2016-05-03,3.2204619202137814
2016-05-04,3.2204619202137814
2016-05-05,3.041547369090794
2016-05-06,3.041547369090794
2016-05-07,1.9680600623528666
2016-05-08,1.7891455112298784
2016-05-09,2.8626328179678056
2016-05-10,3.3993764713367693
2016-05-11,5.725265635935611
2016-05-12,8.40898390278043
2016-05-13,5.367436533689635
2016-05-14,3.7572055735827448
2016-05-15,3.041547369090794
2016-05-16,3.7572055735827448
2016-05-17,3.7572055735827448
2016-05-18,3.578291022459757
2016-05-19,3.2204619202137814
2016-05-20,3.2204619202137814
2016-05-21,2.50480371572183
2016-05-22,1.9680600623528666
2016-05-23,3.3993764713367693
2016-05-24,3.7572055735827448
2016-05-25,3.3993764713367693
2016-05-26,3.041547369090794
2016-05-27,2.50480371572183
2016-05-28,2.1469746134758543
2016-05-29,1.9680600623528666
2016-05-30,2.50480371572183
2016-05-31,3.2204619202137814
2016-06-01,3.041547369090794
2016-06-02,3.041547369090794
2016-06-03,3.041547369090794
2016-06-04,1.7891455112298784
2016-06-05,1.7891455112298784
2016-06-06,3.041547369090794
2016-06-07,3.2204619202137814
2016-06-08,3.041547369090794
2016-06-09,2.6837182668448176
2016-06-10,3.2204619202137814
2016-06-11,1.7891455112298784
2016-06-12,1.9680600623528666
2016-06-13,3.2204619202137814
2016-06-14,3.2204619202137814
2016-06-15,2.6837182668448176
2016-06-16,3.3993764713367693
2016-06-17,2.6837182668448176
2016-06-18,1.7891455112298784
2016-06-19,1.9680600623528666
2016-06-20,3.041547369090794
2016-06-21,3.3993764713367693
2016-06-22,3.936120124705733
2016-06-23,3.7572055735827448
2016-06-24,2.6837182668448176
2016-06-25,2.325889164598842
2016-06-26,2.325889164598842
2016-06-27,3.936120124705733
2016-06-28,4.4728637780746965
2016-06-29,4.651778329197684
2016-06-30,6.083094738181588
2016-07-01,3.3993764713367693
2016-07-02,2.50480371572183
2016-07-03,2.325889164598842
2016-07-04,3.3993764713367693
2016-07-05,4.115034675828721
2016-07-06,4.115034675828721
2016-07-07,4.115034675828721
2016-07-08,3.2204619202137814
2016-07-09,2.325889164598842
2016-07-10,2.325889164598842
2016-07-11,4.115034675828721
2016-07-12,3.936120124705733
2016-07-13,4.4728637780746965
2016-07-14,4.2939492269517086
2016-07-15,3.578291022459757
2016-07-16,2.50480371572183
2016-07-17,2.6837182668448176
2016-07-18,5.00960743144366
2016-07-19,4.4728637780746965
2016-07-20,4.830692880320672
2016-07-21,4.2939492269517086
2016-07-22,4.4728637780746965
2016-07-23,2.8626328179678056
2016-07-24,3.578291022459757
2016-07-25,5.725265635935611
2016-07-26,5.904180187058599
2016-07-27,7.6933256982884775
2016-07-28,8.945727556149393
2016-07-29,8.051154800534453
2016-07-30,6.083094738181588
2016-07-31,4.830692880320672
2016-08-01,5.546351084812623
2016-08-02,6.083094738181588
2016-08-03,4.2939492269517086
2016-08-04,4.651778329197684
2016-08-05,5.188521982566648
2016-08-06,2.8626328179678056
2016-08-07,2.50480371572183
2016-08-08,3.7572055735827448
2016-08-09,3.578291022459757
2016-08-10,3.578291022459757
2016-08-11,3.578291022459757
2016-08-12,7.335496596042502
2016-08-13,5.725265635935611
2016-08-14,3.7572055735827448
2016-08-15,4.830692880320672
2016-08-16,3.2204619202137814
2016-08-17,2.8626328179678056
2016-08-18,3.2204619202137814
2016-08-19,2.6837182668448176
2016-08-20,2.325889164598842
2016-08-21,2.50480371572183
2016-08-22,3.578291022459757
2016-08-23,3.041547369090794
2016-08-24,3.2204619202137814
2016-08-25,3.2204619202137814
2016-08-26,2.6837182668448176
2016-08-27,1.9680600623528666
2016-08-28,2.1469746134758543
2016-08-29,3.2204619202137814
2016-08-30,2.8626328179678056
2016-08-31,2.8626328179678056
2016-09-01,2.50480371572183
2016-09-02,2.6837182668448176
2016-09-03,1.6102309601068907
2016-09-04,1.9680600623528666
2016-09-05,2.325889164598842
2016-09-06,3.7572055735827448
2016-09-07,3.578291022459757
2016-09-08,3.2204619202137814
2016-09-09,3.2204619202137814
2016-09-10,2.8626328179678056
2016-09-11,1.7891455112298784
2016-09-12,3.3993764713367693
2016-09-13,4.651778329197684
2016-09-14,4.115034675828721
2016-09-15,5.00960743144366
2016-09-16,3.578291022459757
2016-09-17,2.1469746134758543
2016-09-18,2.1469746134758543
2016-09-19,2.6837182668448176
2016-09-20,3.041547369090794
2016-09-21,3.3993764713367693
2016-09-22,3.2204619202137814
2016-09-23,3.2204619202137814
2016-09-24,2.50480371572183
2016-09-25,1.7891455112298784
2016-09-26,3.578291022459757
2016-09-27,15.744480498822933
2016-09-28,7.6933256982884775
2016-09-29,4.830692880320672
2016-09-30,4.651778329197684
2016-10-01,2.8928548705223642
2016-10-02,18.20213781255965
2016-10-03,13.798180314309347
2016-10-04,8.499650060444104
2016-10-05,6.630718330470191
2016-10-06,4.095692562193803
2016-10-07,3.6484061843863334
2016-10-08,2.2267608322198895
2016-10-09,2.2267608322198895
2016-10-10,4.58287204937329
2016-10-11,4.851243876057772
2016-10-12,4.095692562193803
2016-10-13,3.7378634599478273
2016-10-14,3.558948908824839
2016-10-15,2.982312146083858
2016-10-16,2.8928548705223642
2016-10-17,4.185149837755297
2016-10-18,3.8273207355093213
2016-10-19,3.0717694216453517
2016-10-20,7.167461983839155
2016-10-21,3.7378634599478273
2016-10-22,2.0478462810969016
2016-10-23,1.9583890055354076
2016-10-24,3.9167780110708152
2016-10-25,3.7378634599478273
2016-10-26,3.0717694216453517
