date,donald trump hair
2016-05-01,6.616118769883351
2016-05-02,7.005302226935313
2016-05-03,7.005302226935313
2016-05-04,12.84305408271474
2016-05-05,14.010604453870625
2016-05-06,12.453870625662779
2016-05-07,9.729586426299045
2016-05-08,10.118769883351007
2016-05-09,7.005302226935313
2016-05-10,7.783669141039237
2016-05-11,8.172852598091199
2016-05-12,7.783669141039237
2016-05-13,10.118769883351007
2016-05-14,8.951219512195122
2016-05-15,8.172852598091199
2016-05-16,8.172852598091199
2016-05-17,6.616118769883351
2016-05-18,7.005302226935313
2016-05-19,7.783669141039237
2016-05-20,7.783669141039237
2016-05-21,4.670201484623542
2016-05-22,6.226935312831389
2016-05-23,5.448568398727466
2016-05-24,4.28101802757158
2016-05-25,9.729586426299045
2016-05-26,11.286320254506894
2016-05-27,8.172852598091199
2016-05-28,8.951219512195122
2016-05-29,7.783669141039237
2016-05-30,5.448568398727466
2016-05-31,4.28101802757158
2016-06-01,6.616118769883351
2016-06-02,5.0593849416755035
2016-06-03,7.005302226935313
2016-06-04,5.0593849416755035
2016-06-05,8.56203605514316
2016-06-06,4.670201484623542
2016-06-07,6.616118769883351
2016-06-08,6.616118769883351
2016-06-09,6.226935312831389
2016-06-10,8.172852598091199
2016-06-11,6.616118769883351
2016-06-12,8.172852598091199
2016-06-13,5.837751855779428
2016-06-14,7.005302226935313
2016-06-15,6.616118769883351
2016-06-16,5.837751855779428
2016-06-17,5.837751855779428
2016-06-18,4.28101802757158
2016-06-19,3.8918345705196185
2016-06-20,5.0593849416755035
2016-06-21,5.448568398727466
2016-06-22,4.28101802757158
2016-06-23,6.226935312831389
2016-06-24,8.56203605514316
2016-06-25,8.172852598091199
2016-06-26,6.226935312831389
2016-06-27,6.226935312831389
2016-06-28,4.670201484623542
2016-06-29,7.005302226935313
2016-06-30,3.8918345705196185
2016-07-01,4.670201484623542
2016-07-02,3.5026511134676563
2016-07-03,5.448568398727466
2016-07-04,4.670201484623542
2016-07-05,4.670201484623542
2016-07-06,5.0593849416755035
2016-07-07,3.5026511134676563
2016-07-08,5.448568398727466
2016-07-09,5.448568398727466
2016-07-10,3.8918345705196185
2016-07-11,3.8918345705196185
2016-07-12,3.1134676564156947
2016-07-13,4.670201484623542
2016-07-14,6.616118769883351
2016-07-15,5.0593849416755035
2016-07-16,6.226935312831389
2016-07-17,5.837751855779428
2016-07-18,5.837751855779428
2016-07-19,15.178154825026512
2016-07-20,15.567338282078474
2016-07-21,12.453870625662779
2016-07-22,24.129374337221634
2016-07-23,10.118769883351007
2016-07-24,7.005302226935313
2016-07-25,8.172852598091199
2016-07-26,7.394485683987275
2016-07-27,8.172852598091199
2016-07-28,9.340402969247084
2016-07-29,13.232237539766702
2016-07-30,11.286320254506894
2016-07-31,10.50795334040297
2016-08-01,9.729586426299045
2016-08-02,12.064687168610817
2016-08-03,7.394485683987275
2016-08-04,8.951219512195122
2016-08-05,8.56203605514316
2016-08-06,7.005302226935313
2016-08-07,7.005302226935313
2016-08-08,5.0593849416755035
2016-08-09,8.172852598091199
2016-08-10,5.837751855779428
2016-08-11,7.005302226935313
2016-08-12,7.783669141039237
2016-08-13,5.837751855779428
2016-08-14,5.448568398727466
2016-08-15,6.616118769883351
2016-08-16,4.28101802757158
2016-08-17,5.0593849416755035
2016-08-18,4.670201484623542
2016-08-19,8.56203605514316
2016-08-20,7.005302226935313
2016-08-21,4.670201484623542
2016-08-22,6.226935312831389
2016-08-23,5.837751855779428
2016-08-24,5.448568398727466
2016-08-25,4.670201484623542
2016-08-26,6.226935312831389
2016-08-27,6.226935312831389
2016-08-28,3.5026511134676563
2016-08-29,5.0593849416755035
2016-08-30,4.670201484623542
2016-08-31,4.670201484623542
2016-09-01,8.172852598091199
2016-09-02,6.226935312831389
2016-09-03,5.448568398727466
2016-09-04,5.0593849416755035
2016-09-05,3.1134676564156947
2016-09-06,4.28101802757158
2016-09-07,5.448568398727466
2016-09-08,6.226935312831389
2016-09-09,6.616118769883351
2016-09-10,3.8918345705196185
2016-09-11,5.0593849416755035
2016-09-12,5.448568398727466
2016-09-13,5.0593849416755035
2016-09-14,6.616118769883351
2016-09-15,7.005302226935313
2016-09-16,33.08059384941676
2016-09-17,20.626723223753977
2016-09-18,9.340402969247084
2016-09-19,8.56203605514316
2016-09-20,8.56203605514316
2016-09-21,8.56203605514316
2016-09-22,7.394485683987275
2016-09-23,5.837751855779428
2016-09-24,5.0593849416755035
2016-09-25,5.448568398727466
2016-09-26,9.729586426299045
2016-09-27,38.91834570519618
2016-09-28,15.956521739130435
2016-09-29,11.675503711558855
2016-09-30,14.010604453870625
2016-10-01,8.78101802757158
2016-10-02,9.28101802757158
2016-10-03,7.002651113467657
2016-10-04,6.502651113467657
2016-10-05,8.891834570519618
2016-10-06,6.308059384941675
2016-10-07,7.3918345705196185
2016-10-08,11.42152704135737
2016-10-09,13.532343584305409
2016-10-10,23.45387062566278
2016-10-11,16.172852598091197
2016-10-12,14.394485683987275
2016-10-13,11.364793213149522
2016-10-14,13.032343584305409
2016-10-15,14.005302226935314
2016-10-16,10.143160127253447
2016-10-17,11.337751855779427
2016-10-18,9.253976670201485
2016-10-19,10.753976670201485
2016-10-20,24.95387062566278
2016-10-21,13.810710498409332
2016-10-22,12.337751855779427
2016-10-23,9.78101802757158
2016-10-24,8.086426299045598
2016-10-25,11.532343584305409
2016-10-26,9.864793213149522
2016-10-27,10.948568398727467
2016-10-28,10.532343584305409
2016-10-29,11.143160127253447
2016-10-30,7.697242841993638
2016-10-31,11.72693531283139
2016-11-01,11.559384941675503
2016-11-02,12.0
2016-11-03,11.0
2016-11-04,7.0
2016-11-05,10.0
2016-11-06,12.0
2016-11-07,12.0
2016-11-08,29.0
2016-11-09,100.0
2016-11-10,55.0
