date,hillary mafia
2016-05-01,15.394969408565602
2016-05-02,0.0
2016-05-03,13.026512576478588
2016-05-04,13.026512576478588
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,15.987083616587357
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,13.618626784500341
2016-05-13,13.618626784500341
2016-05-14,15.394969408565602
2016-05-15,0.0
2016-05-16,13.026512576478588
2016-05-17,0.0
2016-05-18,13.026512576478588
2016-05-19,0.0
2016-05-20,13.618626784500341
2016-05-21,0.0
2016-05-22,15.394969408565602
2016-05-23,0.0
2016-05-24,13.026512576478588
2016-05-25,13.026512576478588
2016-05-26,14.210740992522094
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,13.026512576478588
2016-06-03,13.618626784500341
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,13.026512576478588
2016-06-07,13.026512576478588
2016-06-08,26.645139360978927
2016-06-09,13.618626784500341
2016-06-10,0.0
2016-06-11,15.394969408565602
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,26.053025152957176
2016-06-16,13.026512576478588
2016-06-17,13.618626784500341
2016-06-18,15.987083616587357
2016-06-19,0.0
2016-06-20,13.026512576478588
2016-06-21,13.026512576478588
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,15.987083616587357
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,13.618626784500341
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,15.987083616587357
2016-07-04,14.210740992522094
2016-07-05,13.618626784500341
2016-07-06,13.618626784500341
2016-07-07,0.0
2016-07-08,28.42148198504419
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,13.618626784500341
2016-07-14,13.618626784500341
2016-07-15,14.210740992522094
2016-07-16,15.987083616587357
2016-07-17,15.987083616587357
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,27.237253569000682
2016-07-22,14.210740992522094
2016-07-23,0.0
2016-07-24,15.987083616587357
2016-07-25,0.0
2016-07-26,27.237253569000682
2016-07-27,13.618626784500341
2016-07-28,13.618626784500341
2016-07-29,42.632222977566286
2016-07-30,32.566281441196466
2016-07-31,15.987083616587357
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,13.618626784500341
2016-08-04,0.0
2016-08-05,28.42148198504419
2016-08-06,0.0
2016-08-07,15.987083616587357
2016-08-08,0.0
2016-08-09,26.645139360978927
2016-08-10,0.0
2016-08-11,41.447994561522776
2016-08-12,0.0
2016-08-13,15.987083616587357
2016-08-14,15.987083616587357
2016-08-15,27.829367777022437
2016-08-16,13.618626784500341
2016-08-17,13.618626784500341
2016-08-18,0.0
2016-08-19,13.618626784500341
2016-08-20,31.38205302515296
2016-08-21,15.394969408565602
2016-08-22,0.0
2016-08-23,13.618626784500341
2016-08-24,26.645139360978927
2016-08-25,13.618626784500341
2016-08-26,0.0
2016-08-27,15.394969408565602
2016-08-28,15.394969408565602
2016-08-29,13.026512576478588
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,13.618626784500341
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,19.53976886471788
2016-09-07,26.053025152957176
2016-09-08,13.026512576478588
2016-09-09,13.618626784500341
2016-09-10,0.0
2016-09-11,14.80285520054385
