date,trump alzheimers
2016-12-10,22.057377049180328
2016-12-11,0.0
2016-12-12,16.338797814207652
2016-12-13,16.338797814207652
2016-12-14,0.0
2016-12-15,17.15573770491803
2016-12-16,35.12841530054645
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,35.12841530054645
2016-12-22,17.972677595628415
2016-12-23,18.789617486338795
2016-12-24,21.240437158469945
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,21.240437158469945
2017-01-02,17.972677595628415
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,17.15573770491803
2017-01-07,0.0
2017-01-08,18.789617486338795
2017-01-09,31.86065573770492
2017-01-10,16.338797814207652
2017-01-11,32.677595628415304
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,18.789617486338795
2017-01-16,16.338797814207652
2017-01-17,0.0
2017-01-18,16.338797814207652
2017-01-19,16.338797814207652
2017-01-20,32.677595628415304
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,31.86065573770492
2017-01-25,31.86065573770492
2017-01-26,81.69398907103826
2017-01-27,17.15573770491803
2017-01-28,37.57923497267759
2017-01-29,56.36885245901639
2017-01-30,16.338797814207652
2017-01-31,0.0
2017-02-01,31.86065573770492
2017-02-02,15.521857923497267
2017-02-03,16.338797814207652
2017-02-04,0.0
2017-02-05,17.972677595628415
2017-02-06,15.521857923497267
2017-02-07,15.521857923497267
2017-02-08,31.86065573770492
2017-02-09,16.338797814207652
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,31.043715846994534
2017-02-14,0.0
2017-02-15,16.338797814207652
2017-02-16,63.72131147540984
2017-02-17,16.338797814207652
2017-02-18,18.789617486338795
2017-02-19,18.789617486338795
2017-02-20,49.01639344262295
2017-02-21,16.338797814207652
2017-02-22,0.0
2017-02-23,31.86065573770492
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,16.338797814207652
2017-02-28,0.0
2017-03-01,6.0
2017-03-02,21.93032786885246
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,24.472677595628415
2017-03-06,21.021857923497265
2017-03-07,21.021857923497265
2017-03-08,5.5
2017-03-09,0.0
2017-03-10,14.169398907103826
2017-03-11,15.894808743169397
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,16.260928961748633
2017-03-15,6.0
2017-03-16,21.521857923497265
2017-03-17,0.0
2017-03-18,6.5
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,19.260928961748633
2017-03-22,7.7609289617486334
2017-03-23,0.0
2017-03-24,6.0
2017-03-25,7.0
2017-03-26,19.3948087431694
2017-03-27,0.0
2017-03-28,6.0
2017-03-29,9.0
2017-03-30,6.0
2017-03-31,6.0
2017-04-01,32.2896174863388
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,18.0
2017-04-05,12.0
2017-04-06,0.0
2017-04-07,25.0
2017-04-08,0.0
2017-04-09,14.0
2017-04-10,12.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,14.0
2017-04-15,14.0
2017-04-16,0.0
2017-04-17,13.0
2017-04-18,12.0
2017-04-19,12.0
2017-04-20,12.0
2017-04-21,19.0
2017-04-22,14.0
2017-04-23,0.0
2017-04-24,12.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,12.0
2017-04-28,12.0
2017-04-29,14.0
2017-04-30,14.0
2017-05-01,13.0
2017-05-02,65.0
2017-05-03,12.0
2017-05-04,12.0
2017-05-05,12.0
2017-05-06,0.0
2017-05-07,14.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,12.0
2017-05-11,18.0
2017-05-12,0.0
2017-05-13,28.0
2017-05-14,28.0
2017-05-15,18.0
2017-05-16,89.0
2017-05-17,100.0
2017-05-18,30.0
2017-05-19,37.0
2017-05-20,49.0
2017-05-21,28.0
2017-05-22,12.0
2017-05-23,23.0
2017-05-24,30.0
2017-05-25,12.0
2017-05-26,13.0
2017-05-27,22.0
2017-05-28,58.0
2017-05-29,12.0
2017-05-30,12.0
2017-05-31,24.0
2017-06-01,24.0
2017-06-02,0.0
2017-06-03,0.0
