date,obama burger
2016-05-01,28.66907123534716
2016-05-02,30.71686203787196
2016-05-03,23.890892696122634
2016-05-04,36.17763751127141
2016-05-05,25.256086564472497
2016-05-06,38.225428313796215
2016-05-07,43.00360685302074
2016-05-08,43.00360685302074
2016-05-09,23.890892696122634
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,12.286744815148783
2016-05-14,14.33453561767358
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,17.74752028854824
2016-05-18,11.604147880973851
2016-05-19,36.17763751127141
2016-05-20,25.256086564472497
2016-05-21,21.160504959422905
2016-05-22,14.33453561767358
2016-05-23,12.286744815148783
2016-05-24,23.890892696122634
2016-05-25,12.286744815148783
2016-05-26,25.256086564472497
2016-05-27,25.938683498647432
2016-05-28,21.843101893597836
2016-05-29,0.0
2016-05-30,37.54283137962128
2016-05-31,48.4643823264202
2016-06-01,23.890892696122634
2016-06-02,12.286744815148783
2016-06-03,12.969341749323716
2016-06-04,14.33453561767358
2016-06-05,35.49504057709648
2016-06-06,12.286744815148783
2016-06-07,23.890892696122634
2016-06-08,12.286744815148783
2016-06-09,30.71686203787196
2016-06-10,38.225428313796215
2016-06-11,14.33453561767358
2016-06-12,43.00360685302074
2016-06-13,23.890892696122634
2016-06-14,12.286744815148783
2016-06-15,23.890892696122634
2016-06-16,24.573489630297566
2016-06-17,12.969341749323716
2016-06-18,14.33453561767358
2016-06-19,42.32100991884581
2016-06-20,11.604147880973851
2016-06-21,18.430117222723176
2016-06-22,12.286744815148783
2016-06-23,18.430117222723176
2016-06-24,0.0
2016-06-25,14.33453561767358
2016-06-26,28.66907123534716
2016-06-27,23.890892696122634
2016-06-28,24.573489630297566
2016-06-29,24.573489630297566
2016-06-30,0.0
2016-07-01,19.112714156898107
2016-07-02,21.843101893597836
2016-07-03,15.017132551848512
2016-07-04,32.082055906221825
2016-07-05,25.256086564472497
2016-07-06,25.256086564472497
2016-07-07,12.969341749323716
2016-07-08,19.112714156898107
2016-07-09,15.017132551848512
2016-07-10,29.351668169522092
2016-07-11,12.286744815148783
2016-07-12,23.890892696122634
2016-07-13,24.573489630297566
2016-07-14,12.286744815148783
2016-07-15,25.256086564472497
2016-07-16,14.33453561767358
2016-07-17,0.0
2016-07-18,43.68620378719567
2016-07-19,12.286744815148783
2016-07-20,25.256086564472497
2016-07-21,37.54283137962128
2016-07-22,25.256086564472497
2016-07-23,14.33453561767358
2016-07-24,21.843101893597836
2016-07-25,12.286744815148783
2016-07-26,49.14697926059513
2016-07-27,12.286744815148783
2016-07-28,18.430117222723176
2016-07-29,32.76465284039676
2016-07-30,0.0
2016-07-31,36.17763751127141
2016-08-01,30.71686203787196
2016-08-02,68.25969341749324
2016-08-03,37.54283137962128
2016-08-04,37.54283137962128
2016-08-05,32.76465284039676
2016-08-06,58.703336339044185
2016-08-07,29.351668169522092
2016-08-08,36.86023444544635
2016-08-09,12.286744815148783
2016-08-10,18.430117222723176
2016-08-11,37.54283137962128
2016-08-12,63.48151487826871
2016-08-13,21.843101893597836
2016-08-14,29.351668169522092
2016-08-15,25.938683498647432
2016-08-16,30.71686203787196
2016-08-17,18.430117222723176
2016-08-18,18.430117222723176
2016-08-19,19.112714156898107
2016-08-20,35.49504057709648
2016-08-21,14.33453561767358
2016-08-22,18.430117222723176
2016-08-23,12.286744815148783
2016-08-24,43.00360685302074
2016-08-25,25.256086564472497
2016-08-26,12.969341749323716
2016-08-27,35.49504057709648
2016-08-28,35.49504057709648
2016-08-29,23.890892696122634
2016-08-30,11.604147880973851
2016-08-31,23.890892696122634
2016-09-01,12.286744815148783
2016-09-02,25.256086564472497
2016-09-03,14.33453561767358
2016-09-04,13.651938683498647
2016-09-05,12.286744815148783
2016-09-06,17.74752028854824
2016-09-07,35.49504057709648
2016-09-08,23.890892696122634
2016-09-09,24.573489630297566
2016-09-10,0.0
2016-09-11,27.303877366997295
2016-09-12,60.06853020739405
2016-09-13,11.604147880973851
2016-09-14,11.604147880973851
2016-09-15,12.286744815148783
2016-09-16,36.86023444544635
2016-09-17,27.303877366997295
2016-09-18,47.09918845807034
2016-09-19,23.208295761947703
2016-09-20,46.416591523895406
2016-09-21,23.208295761947703
2016-09-22,23.890892696122634
2016-09-23,12.286744815148783
2016-09-24,0.0
2016-09-25,40.95581605049594
2016-09-26,11.604147880973851
2016-09-27,28.66907123534716
2016-09-28,11.604147880973851
2016-09-29,23.208295761947703
2016-09-30,12.286744815148783
2016-10-01,14.325969341749325
2016-10-02,0.0
2016-10-03,20.762849413886386
2016-10-04,29.762849413886386
2016-10-05,35.01036970243463
2016-10-06,29.906221821460775
2016-10-07,12.302073940486926
2016-10-08,7.5
2016-10-09,6.825969341749324
2016-10-10,0.0
2016-10-11,12.302073940486926
2016-10-12,34.17583408476105
2016-10-13,17.60414788097385
2016-10-14,31.873760144274122
2016-10-15,31.31064021641118
2016-10-16,47.60595130748422
2016-10-17,14.532461677186655
2016-10-18,18.302073940486927
2016-10-19,24.032461677186653
2016-10-20,29.83453561767358
2016-10-21,27.24752028854824
2016-10-22,66.03426510369702
2016-10-23,20.98467087466186
2016-10-24,14.532461677186655
2016-10-25,23.06492335437331
2016-10-26,21.032461677186653
2016-10-27,15.302073940486926
2016-10-28,18.373760144274122
2016-10-29,21.325969341749325
2016-10-30,56.6366095581605
2016-10-31,24.24752028854824
2016-11-01,30.24752028854824
2016-11-02,38.0
2016-11-03,18.0
2016-11-04,26.0
2016-11-05,50.0
2016-11-06,56.0
2016-11-07,30.0
2016-11-08,24.0
