date,vladimir putin
2016-05-01,13.614136732329085
2016-05-02,11.85747392815759
2016-05-03,13.614136732329085
2016-05-04,10.539976825028969
2016-05-05,13.174971031286212
2016-05-06,13.174971031286212
2016-05-07,11.418308227114716
2016-05-08,12.296639629200465
2016-05-09,14.931633835457706
2016-05-10,11.85747392815759
2016-05-11,12.296639629200465
2016-05-12,11.85747392815759
2016-05-13,11.418308227114716
2016-05-14,13.174971031286212
2016-05-15,15.37079953650058
2016-05-16,10.979142526071843
2016-05-17,11.85747392815759
2016-05-18,11.85747392815759
2016-05-19,12.296639629200465
2016-05-20,8.3441483198146
2016-05-21,10.100811123986096
2016-05-22,14.05330243337196
2016-05-23,13.614136732329085
2016-05-24,11.85747392815759
2016-05-25,10.100811123986096
2016-05-26,12.296639629200465
2016-05-27,10.979142526071843
2016-05-28,11.85747392815759
2016-05-29,10.979142526071843
2016-05-30,7.904982618771727
2016-05-31,11.418308227114716
2016-06-01,10.979142526071843
2016-06-02,10.979142526071843
2016-06-03,10.100811123986096
2016-06-04,7.465816917728853
2016-06-05,10.100811123986096
2016-06-06,9.222479721900347
2016-06-07,8.3441483198146
2016-06-08,10.539976825028969
2016-06-09,10.979142526071843
2016-06-10,9.661645422943222
2016-06-11,12.735805330243338
2016-06-12,14.492468134414834
2016-06-13,13.614136732329085
2016-06-14,11.418308227114716
2016-06-15,12.296639629200465
2016-06-16,11.418308227114716
2016-06-17,14.931633835457706
2016-06-18,16.249130938586326
2016-06-19,15.809965237543453
2016-06-20,13.174971031286212
2016-06-21,9.222479721900347
2016-06-22,8.783314020857475
2016-06-23,9.222479721900347
2016-06-24,14.931633835457706
2016-06-25,11.418308227114716
2016-06-26,13.174971031286212
2016-06-27,10.539976825028969
2016-06-28,10.100811123986096
2016-06-29,10.539976825028969
2016-06-30,10.539976825028969
2016-07-01,10.100811123986096
2016-07-02,9.661645422943222
2016-07-03,9.661645422943222
2016-07-04,10.100811123986096
2016-07-05,9.661645422943222
2016-07-06,9.222479721900347
2016-07-07,9.222479721900347
2016-07-08,10.979142526071843
2016-07-09,9.661645422943222
2016-07-10,11.418308227114716
2016-07-11,10.100811123986096
2016-07-12,10.539976825028969
2016-07-13,10.539976825028969
2016-07-14,8.3441483198146
2016-07-15,12.735805330243338
2016-07-16,12.735805330243338
2016-07-17,15.809965237543453
2016-07-18,10.539976825028969
2016-07-19,10.539976825028969
2016-07-20,8.783314020857475
2016-07-21,11.418308227114716
2016-07-22,10.539976825028969
2016-07-23,14.492468134414834
2016-07-24,10.100811123986096
2016-07-25,13.174971031286212
2016-07-26,14.492468134414834
2016-07-27,21.079953650057938
2016-07-28,32.49826187717265
2016-07-29,21.079953650057938
2016-07-30,25.471610660486675
2016-07-31,17.56662804171495
2016-08-01,17.56662804171495
2016-08-02,17.56662804171495
2016-08-03,14.05330243337196
2016-08-04,10.539976825028969
2016-08-05,12.296639629200465
2016-08-06,14.492468134414834
2016-08-07,14.492468134414834
2016-08-08,9.661645422943222
2016-08-09,17.56662804171495
2016-08-10,13.614136732329085
2016-08-11,13.614136732329085
2016-08-12,14.931633835457706
2016-08-13,14.05330243337196
2016-08-14,10.979142526071843
2016-08-15,15.809965237543453
2016-08-16,13.614136732329085
2016-08-17,13.614136732329085
2016-08-18,10.100811123986096
2016-08-19,14.931633835457706
2016-08-20,10.539976825028969
2016-08-21,14.492468134414834
2016-08-22,14.05330243337196
2016-08-23,10.979142526071843
2016-08-24,13.174971031286212
2016-08-25,11.418308227114716
2016-08-26,13.174971031286212
2016-08-27,15.809965237543453
2016-08-28,12.296639629200465
2016-08-29,10.539976825028969
2016-08-30,20.201622247972193
2016-08-31,18.88412514484357
2016-09-01,16.249130938586326
2016-09-02,12.296639629200465
2016-09-03,13.174971031286212
2016-09-04,15.809965237543453
2016-09-05,18.88412514484357
2016-09-06,21.079953650057938
2016-09-07,25.0324449594438
2016-09-08,28.984936268829667
2016-09-09,23.275782155272307
2016-09-10,21.079953650057938
2016-09-11,18.88412514484357
2016-09-12,16.249130938586326
2016-09-13,18.444959443800695
2016-09-14,14.05330243337196
2016-09-15,15.37079953650058
2016-09-16,14.931633835457706
2016-09-17,15.809965237543453
2016-09-18,17.127462340672075
2016-09-19,18.88412514484357
2016-09-20,17.127462340672075
2016-09-21,19.762456546929318
2016-09-22,14.931633835457706
2016-09-23,16.6882966396292
2016-09-24,16.249130938586326
2016-09-25,18.444959443800695
2016-09-26,13.614136732329085
2016-09-27,16.6882966396292
2016-09-28,16.249130938586326
2016-09-29,14.931633835457706
2016-09-30,13.614136732329085
2016-10-01,12.648319814600232
2016-10-02,13.367902665121669
2016-10-03,16.3441483198146
2016-10-04,15.68539976825029
2016-10-05,28.651216685979144
2016-10-06,17.8441483198146
2016-10-07,33.249130938586326
2016-10-08,23.918308227114714
2016-10-09,21.19872537659328
2016-10-10,22.381228273464657
2016-10-11,21.759559675550406
2016-10-12,30.71205098493627
2016-10-13,41.45828505214369
2016-10-14,31.090382387022018
2016-10-15,32.407879490150634
2016-10-16,28.55330243337196
2016-10-17,29.87079953650058
2016-10-18,26.39455388180765
2016-10-19,23.296639629200463
2016-10-20,41.8603707995365
2016-10-21,29.71205098493627
2016-10-22,23.85747392815759
2016-10-23,22.479142526071843
2016-10-24,19.22247972190035
2016-10-25,20.259559675550406
2016-10-26,20.32039397450753
2016-10-27,21.759559675550406
2016-10-28,19.22247972190035
2016-10-29,19.161645422943224
2016-10-30,17.502896871378912
2016-10-31,15.68539976825029
2016-11-01,16.124565469293163
2016-11-02,17.0
