date,taxes
2016-05-01,16.244423190525755
2016-05-02,24.705060268924584
2016-05-03,21.99765640383696
2016-05-04,21.99765640383696
2016-05-05,20.643954471293142
2016-05-06,18.613401572477425
2016-05-07,13.537019325438127
2016-05-08,12.183317392894315
2016-05-09,20.643954471293142
2016-05-10,20.305528988157192
2016-05-11,19.96710350502124
2016-05-12,19.290252538749332
2016-05-13,18.27497608934147
2016-05-14,13.87544480857408
2016-05-15,12.86016835916622
2016-05-16,19.290252538749332
2016-05-17,18.95182705561338
2016-05-18,19.96710350502124
2016-05-19,18.95182705561338
2016-05-20,16.244423190525755
2016-05-21,12.86016835916622
2016-05-22,11.844891909758362
2016-05-23,16.244423190525755
2016-05-24,18.27497608934147
2016-05-25,17.936550606205518
2016-05-26,17.936550606205518
2016-05-27,16.244423190525755
2016-05-28,11.844891909758362
2016-05-29,9.814339010942643
2016-05-30,13.537019325438127
2016-05-31,19.628678021885285
2016-06-01,18.613401572477425
2016-06-02,17.936550606205518
2016-06-03,16.582848673661708
2016-06-04,12.183317392894315
2016-06-05,11.844891909758362
2016-06-06,18.613401572477425
2016-06-07,17.936550606205518
2016-06-08,17.59812512306957
2016-06-09,17.936550606205518
2016-06-10,16.92127415679766
2016-06-11,12.521742876030268
2016-06-12,10.49118997721455
2016-06-13,17.259699639933615
2016-06-14,17.259699639933615
2016-06-15,18.613401572477425
2016-06-16,17.936550606205518
2016-06-17,14.890721257981939
2016-06-18,12.521742876030268
2016-06-19,10.152764494078596
2016-06-20,15.9059977073898
2016-06-21,17.259699639933615
2016-06-22,17.259699639933615
2016-06-23,16.582848673661708
2016-06-24,15.9059977073898
2016-06-25,12.183317392894315
2016-06-26,11.168040943486455
2016-06-27,16.92127415679766
2016-06-28,17.59812512306957
2016-06-29,17.59812512306957
2016-06-30,18.613401572477425
2016-07-01,16.244423190525755
2016-07-02,12.183317392894315
2016-07-03,11.844891909758362
2016-07-04,12.183317392894315
2016-07-05,16.582848673661708
2016-07-06,19.628678021885285
2016-07-07,17.59812512306957
2016-07-08,16.244423190525755
2016-07-09,12.521742876030268
2016-07-10,12.183317392894315
2016-07-11,17.259699639933615
2016-07-12,17.936550606205518
2016-07-13,18.27497608934147
2016-07-14,17.59812512306957
2016-07-15,16.244423190525755
2016-07-16,12.521742876030268
2016-07-17,11.844891909758362
2016-07-18,17.259699639933615
2016-07-19,17.259699639933615
2016-07-20,17.936550606205518
2016-07-21,17.936550606205518
2016-07-22,16.582848673661708
2016-07-23,12.521742876030268
2016-07-24,12.183317392894315
2016-07-25,18.27497608934147
2016-07-26,19.290252538749332
2016-07-27,19.628678021885285
2016-07-28,19.290252538749332
2016-07-29,18.95182705561338
2016-07-30,14.890721257981939
2016-07-31,13.537019325438127
2016-08-01,18.27497608934147
2016-08-02,18.613401572477425
2016-08-03,18.27497608934147
2016-08-04,20.643954471293142
2016-08-05,20.643954471293142
2016-08-06,14.890721257981939
2016-08-07,12.86016835916622
2016-08-08,18.27497608934147
2016-08-09,17.936550606205518
2016-08-10,18.613401572477425
2016-08-11,17.59812512306957
2016-08-12,17.259699639933615
2016-08-13,13.537019325438127
2016-08-14,12.86016835916622
2016-08-15,18.27497608934147
2016-08-16,18.95182705561338
2016-08-17,19.290252538749332
2016-08-18,17.59812512306957
2016-08-19,17.936550606205518
2016-08-20,13.87544480857408
2016-08-21,12.183317392894315
2016-08-22,16.582848673661708
2016-08-23,17.59812512306957
2016-08-24,17.59812512306957
2016-08-25,18.613401572477425
2016-08-26,17.936550606205518
2016-08-27,12.183317392894315
2016-08-28,11.844891909758362
2016-08-29,17.59812512306957
2016-08-30,19.628678021885285
2016-08-31,18.95182705561338
2016-09-01,16.92127415679766
2016-09-02,16.582848673661708
2016-09-03,11.844891909758362
2016-09-04,11.168040943486455
2016-09-05,13.198593842302174
2016-09-06,17.59812512306957
2016-09-07,18.95182705561338
2016-09-08,18.95182705561338
2016-09-09,17.59812512306957
2016-09-10,12.521742876030268
2016-09-11,12.183317392894315
2016-09-12,19.290252538749332
2016-09-13,18.95182705561338
2016-09-14,19.628678021885285
2016-09-15,20.643954471293142
2016-09-16,16.92127415679766
2016-09-17,12.521742876030268
2016-09-18,11.844891909758362
2016-09-19,18.27497608934147
2016-09-20,19.628678021885285
2016-09-21,18.613401572477425
2016-09-22,18.613401572477425
2016-09-23,17.59812512306957
2016-09-24,11.506466426622408
2016-09-25,12.183317392894315
2016-09-26,18.27497608934147
2016-09-27,26.735613167740304
2016-09-28,23.689783819516723
2016-09-29,21.32080543756505
2016-09-30,19.96710350502124
2016-10-01,14.288130321293615
2016-10-02,28.264034765394246
2016-10-03,33.78147152521871
2016-10-04,27.756396540690314
2016-10-05,23.8524883787167
2016-10-06,21.106869801775954
2016-10-07,18.53046396640318
2016-10-08,13.637478960964676
2016-10-09,13.01302720657871
2016-10-10,22.09594664524084
2016-10-11,23.058823882762763
2016-10-12,24.047900726227645
2016-10-13,21.614508026479882
2016-10-14,22.06974703929787
2016-10-15,15.107994423190526
2016-10-16,14.288130321293615
2016-10-17,23.709475243091696
2016-10-18,22.408172522433823
2016-10-19,20.143992564254038
2016-10-20,22.06974703929787
2016-10-21,19.01190258516414
2016-10-22,13.156040342203719
2016-10-23,11.997750757170854
2016-10-24,20.143992564254038
2016-10-25,20.79464392458297
2016-10-26,19.662553945493073
2016-10-27,19.80556708111808
2016-10-28,17.684400258563297
2016-10-29,12.67460172344276
2016-10-30,12.166963498738829
2016-10-31,19.80556708111808
2016-11-01,21.445295284911904
2016-11-02,21.23135964912281
