date,election interference
2016-12-25,2.0
2016-12-26,2.0
2016-12-27,2.0
2016-12-28,7.0
2016-12-29,11.0
2016-12-30,15.0
2016-12-31,8.0
2017-01-01,4.0
2017-01-02,6.0
2017-01-03,3.0
2017-01-04,3.0
2017-01-05,2.0
2017-01-06,10.0
2017-01-07,27.0
2017-01-08,10.0
2017-01-09,8.0
2017-01-10,4.0
2017-01-11,7.0
2017-01-12,3.0
2017-01-13,6.0
2017-01-14,6.0
2017-01-15,7.0
2017-01-16,3.0
2017-01-17,6.0
2017-01-18,2.0
2017-01-19,4.0
2017-01-20,5.0
2017-01-21,4.0
2017-01-22,4.0
2017-01-23,2.0
2017-01-24,2.0
2017-01-25,3.0
2017-01-26,2.0
2017-01-27,5.0
2017-01-28,6.0
2017-01-29,0.0
2017-01-30,2.0
2017-01-31,3.0
2017-02-01,2.0
2017-02-02,3.0
2017-02-03,2.0
2017-02-04,3.0
2017-02-05,2.0
2017-02-06,0.0
2017-02-07,2.0
2017-02-08,0.0
2017-02-09,2.0
2017-02-10,5.0
2017-02-11,4.0
2017-02-12,4.0
2017-02-13,4.0
2017-02-14,2.0
2017-02-15,12.0
2017-02-16,4.0
2017-02-17,5.0
2017-02-18,6.0
2017-02-19,4.0
2017-02-20,3.0
2017-02-21,2.0
2017-02-22,5.0
2017-02-23,0.0
2017-02-24,5.0
2017-02-25,2.0
2017-02-26,5.0
2017-02-27,3.0
2017-02-28,3.0
2017-03-01,3.4525193798449614
2017-03-02,5.0770348837209305
2017-03-03,4.527616279069767
2017-03-04,5.3023255813953485
2017-03-05,2.4011627906976742
2017-03-06,3.07703488372093
2017-03-07,5.529554263565892
2017-03-08,4.452519379844961
2017-03-09,3.07703488372093
2017-03-10,2.201550387596899
2017-03-11,1.3517441860465116
2017-03-12,4.3023255813953485
2017-03-13,1.57703488372093
2017-03-14,1.750968992248062
2017-03-15,3.4031007751937983
2017-03-16,3.07703488372093
2017-03-17,0.0
2017-03-18,1.9011627906976742
2017-03-19,2.9011627906976742
2017-03-20,14.00968992248062
2017-03-21,7.405038759689923
2017-03-22,11.857558139534884
2017-03-23,5.403100775193798
2017-03-24,4.102713178294573
2017-03-25,4.778585271317829
2017-03-26,3.877422480620155
2017-03-27,4.452519379844961
2017-03-28,7.15406976744186
2017-03-29,3.9031007751937983
2017-03-30,9.00581395348837
2017-03-31,11.031492248062015
2017-04-01,8.656007751937985
2017-04-02,13.066860465116278
2017-04-03,5.707364341085271
2017-04-04,6.30813953488372
2017-04-05,2.4031007751937983
2017-04-06,4.8062015503875966
2017-04-07,3.3042635658914725
2017-04-08,4.6560077519379846
2017-04-09,0.0
2017-04-10,1.6521317829457363
2017-04-11,4.8062015503875966
2017-04-12,4.956395348837209
2017-04-13,4.205426356589147
2017-04-14,1.8023255813953487
2017-04-15,3.003875968992248
2017-04-16,3.9050387596899223
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,3.15406976744186
2017-04-20,3.3042635658914725
2017-04-21,5.1065891472868215
2017-04-22,1.9525193798449612
2017-04-23,1.8023255813953487
2017-04-24,3.3042635658914725
2017-04-25,4.8062015503875966
2017-04-26,0.0
2017-04-27,1.6521317829457363
2017-04-28,3.3042635658914725
2017-04-29,2.8536821705426356
2017-04-30,0.0
2017-05-01,1.8023255813953487
2017-05-02,1.6521317829457363
2017-05-03,4.8062015503875966
2017-05-04,5.557170542635658
2017-05-05,3.3042635658914725
2017-05-06,1.8023255813953487
2017-05-07,6.608527131782945
2017-05-08,8.861434108527131
2017-05-09,3.15406976744186
2017-05-10,5.707364341085271
2017-05-11,5.707364341085271
2017-05-12,7.50968992248062
2017-05-13,5.707364341085271
2017-05-14,3.9050387596899223
2017-05-15,1.6521317829457363
2017-05-16,4.055232558139535
2017-05-17,5.557170542635658
2017-05-18,7.209302325581395
2017-05-19,4.956395348837209
2017-05-20,7.659883720930232
2017-05-21,3.75484496124031
2017-05-22,3.15406976744186
2017-05-23,3.15406976744186
2017-05-24,4.8062015503875966
2017-05-25,1.6521317829457363
2017-05-26,7.059108527131783
2017-05-27,3.003875968992248
2017-05-28,1.9525193798449612
2017-05-29,2.5532945736434107
2017-05-30,4.055232558139535
2017-05-31,3.3042635658914725
2017-06-01,9.011627906976743
2017-06-02,3.454457364341085
2017-06-03,1.9525193798449612
