date,hillary clinton dumb
2016-11-27,0.0
2016-11-28,9.0
2016-11-29,0.0
2016-11-30,18.0
2016-12-01,18.0
2016-12-02,9.0
2016-12-03,10.0
2016-12-04,10.0
2016-12-05,13.0
2016-12-06,0.0
2016-12-07,18.0
2016-12-08,0.0
2016-12-09,29.0
2016-12-10,12.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,9.0
2016-12-14,9.0
2016-12-15,9.0
2016-12-16,0.0
2016-12-17,11.0
2016-12-18,10.0
2016-12-19,18.0
2016-12-20,9.0
2016-12-21,10.0
2016-12-22,0.0
2016-12-23,10.0
2016-12-24,0.0
2016-12-25,12.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,10.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,11.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,9.0
2017-01-04,9.0
2017-01-05,0.0
2017-01-06,9.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,9.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,9.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,9.0
2017-01-18,18.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,13.0
2017-01-24,9.0
2017-01-25,9.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,10.0
2017-01-30,9.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,9.0
2017-02-04,0.0
2017-02-05,10.0
2017-02-06,8.0
2017-02-07,9.0
2017-02-08,8.0
2017-02-09,9.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,8.0
2017-02-14,9.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,10.0
2017-02-20,0.0
2017-02-21,9.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,9.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,9.0
2017-03-01,7.677528089887641
2017-03-02,0.0
2017-03-03,3.291011235955056
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,3.1775280898876406
2017-03-07,0.0
2017-03-08,7.677528089887641
2017-03-09,7.677528089887641
2017-03-10,3.291011235955056
2017-03-11,5.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,4.5
2017-03-17,7.791011235955056
2017-03-18,8.631460674157303
2017-03-19,0.0
2017-03-20,7.677528089887641
2017-03-21,7.177528089887641
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,16.348314606741575
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,3.291011235955056
2017-03-30,7.791011235955056
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,6.808988764044944
2017-04-08,0.0
2017-04-09,7.71685393258427
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,6.808988764044944
2017-04-13,6.808988764044944
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,7.943820224719102
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,6.582022471910112
2017-04-26,0.0
2017-04-27,6.582022471910112
2017-04-28,0.0
2017-04-29,7.71685393258427
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,6.582022471910112
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,7.71685393258427
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,12.937078651685393
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,6.808988764044944
2017-05-20,0.0
2017-05-21,7.71685393258427
2017-05-22,6.582022471910112
2017-05-23,0.0
2017-05-24,6.582022471910112
2017-05-25,6.808988764044944
2017-05-26,7.035955056179775
2017-05-27,7.943820224719102
2017-05-28,7.943820224719102
2017-05-29,7.035955056179775
2017-05-30,6.582022471910112
2017-05-31,13.164044943820224
2017-06-01,6.582022471910112
2017-06-02,0.0
2017-06-03,7.71685393258427
