date,appeals court
2016-05-01,3.865655471289274
2016-05-02,15.221018418201517
2016-05-03,15.462621885157096
2016-05-04,14.979414951245937
2016-05-05,13.52979414951246
2016-05-06,10.630552546045504
2016-05-07,3.140845070422535
2016-05-08,3.140845070422535
2016-05-09,12.32177681473456
2016-05-10,14.737811484290358
2016-05-11,13.52979414951246
2016-05-12,13.046587215601301
2016-05-13,11.838569880823401
2016-05-14,5.556879739978331
2016-05-15,3.382448537378115
2016-05-16,15.462621885157096
2016-05-17,14.254604550379199
2016-05-18,13.28819068255688
2016-05-19,15.221018418201517
2016-05-20,10.630552546045504
2016-05-21,4.590465872156013
2016-05-22,3.140845070422535
2016-05-23,12.32177681473456
2016-05-24,13.77139761646804
2016-05-25,12.56338028169014
2016-05-26,11.596966413867822
2016-05-27,10.872156013001083
2016-05-28,3.6240520043336946
2016-05-29,3.6240520043336946
2016-05-30,4.348862405200434
2016-05-31,12.32177681473456
2016-06-01,13.28819068255688
2016-06-02,9.664138678223186
2016-06-03,12.080173347778981
2016-06-04,3.6240520043336946
2016-06-05,4.832069339111593
2016-06-06,10.872156013001083
2016-06-07,10.630552546045504
2016-06-08,12.32177681473456
2016-06-09,20.536294691224267
2016-06-10,18.361863488624053
2016-06-11,4.348862405200434
2016-06-12,4.832069339111593
2016-06-13,11.838569880823401
2016-06-14,12.80498374864572
2016-06-15,12.56338028169014
2016-06-16,11.838569880823401
2016-06-17,9.905742145178765
2016-06-18,3.865655471289274
2016-06-19,3.865655471289274
2016-06-20,10.388949079089924
2016-06-21,10.147345612134345
2016-06-22,12.80498374864572
2016-06-23,13.046587215601301
2016-06-24,10.147345612134345
2016-06-25,3.382448537378115
2016-06-26,2.4160346695557964
2016-06-27,12.56338028169014
2016-06-28,16.670639219934994
2016-06-29,12.32177681473456
2016-06-30,12.56338028169014
2016-07-01,9.664138678223186
2016-07-02,4.107258938244854
2016-07-03,3.382448537378115
2016-07-04,4.107258938244854
2016-07-05,10.147345612134345
2016-07-06,12.56338028169014
2016-07-07,13.52979414951246
2016-07-08,12.56338028169014
2016-07-09,4.348862405200434
2016-07-10,2.8992416034669555
2016-07-11,12.80498374864572
2016-07-12,11.838569880823401
2016-07-13,13.77139761646804
2016-07-14,11.596966413867822
2016-07-15,11.596966413867822
2016-07-16,3.382448537378115
2016-07-17,3.6240520043336946
2016-07-18,12.32177681473456
2016-07-19,13.046587215601301
2016-07-20,16.187432286023835
2016-07-21,13.77139761646804
2016-07-22,10.872156013001083
2016-07-23,3.140845070422535
2016-07-24,3.140845070422535
2016-07-25,12.56338028169014
2016-07-26,10.388949079089924
2016-07-27,11.838569880823401
2016-07-28,11.596966413867822
2016-07-29,16.429035752979416
2016-07-30,7.489707475622969
2016-07-31,3.382448537378115
2016-08-01,12.80498374864572
2016-08-02,13.52979414951246
2016-08-03,11.838569880823401
2016-08-04,11.838569880823401
2016-08-05,9.422535211267606
2016-08-06,3.6240520043336946
2016-08-07,2.8992416034669555
2016-08-08,9.664138678223186
2016-08-09,13.046587215601301
2016-08-10,13.52979414951246
2016-08-11,11.838569880823401
2016-08-12,11.355362946912242
2016-08-13,2.174431202600217
2016-08-14,4.107258938244854
2016-08-15,12.32177681473456
2016-08-16,11.838569880823401
2016-08-17,14.496208017334778
2016-08-18,10.630552546045504
2016-08-19,12.080173347778981
2016-08-20,3.865655471289274
2016-08-21,3.140845070422535
2016-08-22,10.630552546045504
2016-08-23,12.080173347778981
2016-08-24,13.52979414951246
2016-08-25,12.80498374864572
2016-08-26,12.080173347778981
2016-08-27,2.657638136511376
2016-08-28,3.6240520043336946
2016-08-29,11.355362946912242
2016-08-30,13.28819068255688
2016-08-31,12.56338028169014
2016-09-01,12.32177681473456
2016-09-02,11.596966413867822
2016-09-03,4.590465872156013
2016-09-04,4.107258938244854
2016-09-05,5.073672806067172
2016-09-06,14.979414951245937
2016-09-07,14.01300108342362
2016-09-08,13.28819068255688
2016-09-09,12.32177681473456
2016-09-10,6.0400866738894905
2016-09-11,5.556879739978331
2016-09-12,13.28819068255688
2016-09-13,13.046587215601301
2016-09-14,14.979414951245937
2016-09-15,13.046587215601301
2016-09-16,13.046587215601301
2016-09-17,5.073672806067172
2016-09-18,3.6240520043336946
2016-09-19,13.046587215601301
2016-09-20,14.979414951245937
2016-09-21,15.221018418201517
2016-09-22,13.28819068255688
2016-09-23,14.979414951245937
2016-09-24,5.073672806067172
2016-09-25,3.6240520043336946
2016-09-26,16.187432286023835
2016-09-27,12.56338028169014
2016-09-28,13.28819068255688
2016-09-29,15.704225352112676
2016-09-30,10.872156013001083
2016-10-01,4.295232936078007
2016-10-02,5.157638136511376
2016-10-03,14.88569880823402
2016-10-04,12.78169014084507
2016-10-05,12.52329360780065
2016-10-06,13.264897074756231
2016-10-07,10.93607800650054
2016-10-08,4.174431202600217
2016-10-09,4.432827735644637
2016-10-10,11.177681473456122
2016-10-11,15.972914409534127
2016-10-12,18.164138678223186
2016-10-13,15.352112676056338
2016-10-14,14.264897074756231
2016-10-15,5.278439869989166
2016-10-16,7.124052004333695
2016-10-17,15.352112676056338
2016-10-18,16.352112676056336
2016-10-19,17.439328277356445
2016-10-20,17.939328277356445
2016-10-21,17.197724810400867
2016-10-22,10.073672806067172
2016-10-23,11.28169014084507
2016-10-24,20.543336944745395
2016-10-25,24.08017334777898
2016-10-26,24.3385698808234
2016-10-27,20.768147345612135
2016-10-28,17.076923076923077
2016-10-29,10.452871072589382
2016-10-30,10.798483206933911
2016-10-31,19.180931744312026
2016-11-01,23.3385698808234
