date,repeal obamacare
2016-11-14,5.296875
2016-11-15,3.0267857142857144
2016-11-16,2.2700892857142856
2016-11-17,2.2700892857142856
2016-11-18,1.5133928571428572
2016-11-19,0.7566964285714286
2016-11-20,1.5133928571428572
2016-11-21,1.5133928571428572
2016-11-22,2.2700892857142856
2016-11-23,0.7566964285714286
2016-11-24,0.7566964285714286
2016-11-25,0.7566964285714286
2016-11-26,0.7566964285714286
2016-11-27,0.7566964285714286
2016-11-28,0.7566964285714286
2016-11-29,1.5133928571428572
2016-11-30,1.5133928571428572
2016-12-01,1.5133928571428572
2016-12-02,1.5133928571428572
2016-12-03,1.5133928571428572
2016-12-04,0.7566964285714286
2016-12-05,0.7566964285714286
2016-12-06,1.5133928571428572
2016-12-07,1.5133928571428572
2016-12-08,1.5133928571428572
2016-12-09,0.0
2016-12-10,1.5133928571428572
2016-12-11,1.5133928571428572
2016-12-12,0.7566964285714286
2016-12-13,1.5133928571428572
2016-12-14,1.5133928571428572
2016-12-15,1.5133928571428572
2016-12-16,1.5133928571428572
2016-12-17,0.7566964285714286
2016-12-18,0.7566964285714286
2016-12-19,0.7566964285714286
2016-12-20,1.5133928571428572
2016-12-21,1.5133928571428572
2016-12-22,0.7566964285714286
2016-12-23,0.7566964285714286
2016-12-24,0.7566964285714286
2016-12-25,0.7566964285714286
2016-12-26,0.7566964285714286
2016-12-27,0.7566964285714286
2016-12-28,0.7566964285714286
2016-12-29,0.7566964285714286
2016-12-30,1.5133928571428572
2016-12-31,1.5133928571428572
2017-01-01,1.5133928571428572
2017-01-02,3.0267857142857144
2017-01-03,3.7834821428571432
2017-01-04,11.350446428571429
2017-01-05,25.727678571428573
2017-01-06,21.1875
2017-01-07,7.5669642857142865
2017-01-08,6.053571428571429
2017-01-09,10.59375
2017-01-10,21.1875
2017-01-11,12.107142857142858
2017-01-12,47.671875
2017-01-13,49.18526785714286
2017-01-14,75.66964285714286
2017-01-15,19.674107142857142
2017-01-16,15.890625
2017-01-17,15.133928571428573
2017-01-18,11.350446428571429
2017-01-19,7.5669642857142865
2017-01-20,7.5669642857142865
2017-01-21,24.970982142857142
2017-01-22,7.5669642857142865
2017-01-23,7.5669642857142865
2017-01-24,7.5669642857142865
2017-01-25,9.837053571428571
2017-01-26,8.323660714285715
2017-01-27,6.810267857142858
2017-01-28,6.053571428571429
2017-01-29,3.0267857142857144
2017-01-30,3.0267857142857144
2017-01-31,3.0267857142857144
2017-02-01,3.0267857142857144
2017-02-02,3.0267857142857144
2017-02-03,3.0267857142857144
2017-02-04,1.5133928571428572
2017-02-05,1.5133928571428572
2017-02-06,2.2700892857142856
2017-02-07,2.2700892857142856
2017-02-08,3.7834821428571432
2017-02-09,3.0267857142857144
2017-02-10,2.2700892857142856
2017-02-11,1.5133928571428572
2017-02-12,2.2700892857142856
2017-02-13,1.5133928571428572
2017-02-14,2.2700892857142856
2017-02-15,3.0267857142857144
2017-02-16,3.0267857142857144
2017-02-17,2.2700892857142856
2017-02-18,1.5133928571428572
2017-02-19,1.5133928571428572
2017-02-20,3.0267857142857144
2017-02-21,2.2700892857142856
2017-02-22,2.2700892857142856
2017-02-23,3.7834821428571432
2017-02-24,4.540178571428571
2017-02-25,3.0267857142857144
2017-02-26,2.2700892857142856
2017-02-27,3.0267857142857144
2017-02-28,3.7834821428571432
2017-03-01,5.1484375
2017-03-02,3.513392857142857
2017-03-03,4.270089285714286
2017-03-04,2.635044642857143
2017-03-05,2.135044642857143
2017-03-06,6.026785714285714
2017-03-07,45.95758928571429
2017-03-08,14.310267857142858
2017-03-09,8.661830357142858
2017-03-10,6.405133928571429
2017-03-11,4.270089285714286
2017-03-12,4.270089285714286
2017-03-13,6.526785714285714
2017-03-14,9.918526785714285
2017-03-15,3.8917410714285716
2017-03-16,3.013392857142857
2017-03-17,3.513392857142857
2017-03-18,2.513392857142857
2017-03-19,3.513392857142857
2017-03-20,2.513392857142857
2017-03-21,5.1484375
2017-03-22,7.783482142857143
2017-03-23,25.863839285714285
2017-03-24,75.69977678571428
2017-03-25,39.43080357142857
2017-03-26,13.688616071428573
2017-03-27,8.540178571428571
2017-03-28,6.905133928571429
2017-03-29,4.270089285714286
2017-03-30,3.8917410714285716
2017-03-31,2.635044642857143
2017-04-01,2.135044642857143
2017-04-02,1.0
2017-04-03,2.0
2017-04-04,2.0
2017-04-05,3.0
2017-04-06,2.0
2017-04-07,1.0
2017-04-08,1.0
2017-04-09,1.0
2017-04-10,1.0
2017-04-11,1.0
2017-04-12,1.0
2017-04-13,2.0
2017-04-14,1.0
2017-04-15,1.0
2017-04-16,1.0
2017-04-17,2.0
2017-04-18,2.0
2017-04-19,1.0
2017-04-20,10.0
2017-04-21,2.0
2017-04-22,1.0
2017-04-23,1.0
2017-04-24,2.0
2017-04-25,1.0
2017-04-26,21.0
2017-04-27,10.0
2017-04-28,4.0
2017-04-29,4.0
2017-04-30,1.0
2017-05-01,2.0
2017-05-02,4.0
2017-05-03,7.0
2017-05-04,100.0
2017-05-05,77.0
2017-05-06,16.0
2017-05-07,9.0
2017-05-08,6.0
2017-05-09,4.0
2017-05-10,4.0
2017-05-11,3.0
2017-05-12,2.0
2017-05-13,1.0
2017-05-14,1.0
2017-05-15,2.0
2017-05-16,1.0
2017-05-17,1.0
2017-05-18,3.0
2017-05-19,2.0
2017-05-20,1.0
2017-05-21,1.0
2017-05-22,1.0
2017-05-23,1.0
2017-05-24,2.0
2017-05-25,2.0
2017-05-26,1.0
2017-05-27,1.0
2017-05-28,0.0
2017-05-29,1.0
2017-05-30,1.0
2017-05-31,1.0
2017-06-01,1.0
2017-06-02,1.0
2017-06-03,1.0
