date,workday
2016-05-01,27.120820329915293
2016-05-02,65.25947391885867
2016-05-03,66.10699955416852
2016-05-04,61.02184574230941
2016-05-05,61.86937137761927
2016-05-06,51.69906375390103
2016-05-07,26.27329469460544
2016-05-08,25.425769059295586
2016-05-09,64.41194828354882
2016-05-10,54.24164065983059
2016-05-11,59.3267944716897
2016-05-12,61.86937137761927
2016-05-13,59.3267944716897
2016-05-14,21.188140882746325
2016-05-15,26.27329469460544
2016-05-16,57.63174320107
2016-05-17,61.86937137761927
2016-05-18,58.47926883637985
2016-05-19,61.86937137761927
2016-05-20,59.3267944716897
2016-05-21,30.510922871154705
2016-05-22,27.968345965225147
2016-05-23,55.936691930450294
2016-05-24,68.64957646009809
2016-05-25,64.41194828354882
2016-05-26,65.25947391885867
2016-05-27,60.17432010699956
2016-05-28,26.27329469460544
2016-05-29,22.88319215336603
2016-05-30,35.59607668301382
2016-05-31,71.19215336602764
2016-06-01,74.58225590726705
2016-06-02,72.0396790013375
2016-06-03,59.3267944716897
2016-06-04,33.90102541239412
2016-06-05,27.968345965225147
2016-06-06,66.95452518947837
2016-06-07,66.95452518947837
2016-06-08,62.71689701292912
2016-06-09,66.10699955416852
2016-06-10,57.63174320107
2016-06-11,30.510922871154705
2016-06-12,24.578243423985736
2016-06-13,58.47926883637985
2016-06-14,63.56442264823897
2016-06-15,63.56442264823897
2016-06-16,69.49710209540794
2016-06-17,61.86937137761927
2016-06-18,27.968345965225147
2016-06-19,29.66339723584485
2016-06-20,60.17432010699956
2016-06-21,64.41194828354882
2016-06-22,58.47926883637985
2016-06-23,66.95452518947837
2016-06-24,60.17432010699956
2016-06-25,27.120820329915293
2016-06-26,26.27329469460544
2016-06-27,58.47926883637985
2016-06-28,64.41194828354882
2016-06-29,67.80205082478824
2016-06-30,69.49710209540794
2016-07-01,63.56442264823897
2016-07-02,27.120820329915293
2016-07-03,27.120820329915293
2016-07-04,40.68123049487294
2016-07-05,67.80205082478824
2016-07-06,55.936691930450294
2016-07-07,63.56442264823897
2016-07-08,62.71689701292912
2016-07-09,32.20597414177441
2016-07-10,23.730717788675882
2016-07-11,60.17432010699956
2016-07-12,59.3267944716897
2016-07-13,66.10699955416852
2016-07-14,70.34462773071779
2016-07-15,58.47926883637985
2016-07-16,27.968345965225147
2016-07-17,25.425769059295586
2016-07-18,62.71689701292912
2016-07-19,66.10699955416852
2016-07-20,65.25947391885867
2016-07-21,69.49710209540794
2016-07-22,63.56442264823897
2016-07-23,28.815871600535
2016-07-24,26.27329469460544
2016-07-25,69.49710209540794
2016-07-26,62.71689701292912
2016-07-27,67.80205082478824
2016-07-28,69.49710209540794
2016-07-29,62.71689701292912
2016-07-30,34.74855104770397
2016-07-31,30.510922871154705
2016-08-01,73.7347302719572
2016-08-02,75.4297815425769
2016-08-03,61.86937137761927
2016-08-04,77.97235844850647
2016-08-05,55.936691930450294
2016-08-06,27.120820329915293
2016-08-07,24.578243423985736
2016-08-08,58.47926883637985
2016-08-09,72.0396790013375
2016-08-10,65.25947391885867
2016-08-11,72.88720463664735
2016-08-12,60.17432010699956
2016-08-13,32.20597414177441
2016-08-14,35.59607668301382
2016-08-15,71.19215336602764
2016-08-16,77.97235844850647
2016-08-17,64.41194828354882
2016-08-18,72.0396790013375
2016-08-19,67.80205082478824
2016-08-20,28.815871600535
2016-08-21,31.35844850646456
2016-08-22,66.95452518947837
2016-08-23,72.0396790013375
2016-08-24,72.0396790013375
2016-08-25,84.7525635309853
2016-08-26,70.34462773071779
2016-08-27,33.05349977708426
2016-08-28,30.510922871154705
2016-08-29,69.49710209540794
2016-08-30,70.34462773071779
2016-08-31,73.7347302719572
2016-09-01,73.7347302719572
2016-09-02,63.56442264823897
2016-09-03,30.510922871154705
2016-09-04,23.730717788675882
2016-09-05,34.74855104770397
2016-09-06,67.80205082478824
2016-09-07,69.49710209540794
2016-09-08,76.27730717788677
2016-09-09,75.4297815425769
2016-09-10,38.986179224253235
2016-09-11,32.20597414177441
2016-09-12,67.80205082478824
2016-09-13,66.95452518947837
2016-09-14,74.58225590726705
2016-09-15,69.49710209540794
2016-09-16,66.10699955416852
2016-09-17,34.74855104770397
2016-09-18,26.27329469460544
2016-09-19,75.4297815425769
2016-09-20,67.80205082478824
2016-09-21,71.19215336602764
2016-09-22,77.97235844850647
2016-09-23,67.80205082478824
2016-09-24,30.510922871154705
2016-09-25,32.20597414177441
2016-09-26,74.58225590726705
2016-09-27,80.51493535443603
2016-09-28,73.7347302719572
2016-09-29,73.7347302719572
2016-09-30,77.12483281319662
2016-10-01,36.14556397681676
2016-10-02,33.95051270619706
2016-10-03,71.94360231832368
2016-10-04,68.59607668301382
2016-10-05,72.13865358894338
2016-10-06,75.40994204190815
2016-10-07,68.82478823004905
2016-10-08,32.25546143557735
2016-10-09,34.29803834150691
2016-10-10,60.93468568880964
2016-10-11,70.55349977708426
2016-10-12,73.44360231832368
2016-10-13,75.21489077128845
2016-10-14,70.59607668301382
2016-10-15,32.95051270619706
2016-10-16,32.9079358002675
2016-10-17,67.32478823004905
2016-10-18,75.98617922425323
2016-10-19,68.47726259473919
2016-10-20,77.06241640659832
2016-10-21,83.52875613018279
2016-10-22,33.374275523851985
2016-10-23,34.10298707088721
2016-10-24,75.56241640659832
2016-10-25,72.63865358894338
2016-10-26,68.97726259473919
2016-10-27,71.74855104770397
2016-10-28,69.97726259473919
2016-10-29,31.179224253232277
2016-10-30,28.060410164957645
2016-10-31,65.0109228711547
2016-11-01,67.82478823004905
2016-11-02,73.0
2016-11-03,72.0
