date,president obama putin
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,6.0
2016-12-06,6.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,22.0
2016-12-13,0.0
2016-12-14,6.0
2016-12-15,0.0
2016-12-16,36.0
2016-12-17,40.0
2016-12-18,20.0
2016-12-19,6.0
2016-12-20,29.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,25.0
2016-12-24,22.0
2016-12-25,7.0
2016-12-26,19.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,6.0
2016-12-30,13.0
2016-12-31,56.0
2017-01-01,0.0
2017-01-02,12.0
2017-01-03,0.0
2017-01-04,6.0
2017-01-05,0.0
2017-01-06,6.0
2017-01-07,19.0
2017-01-08,6.0
2017-01-09,11.0
2017-01-10,5.0
2017-01-11,28.0
2017-01-12,11.0
2017-01-13,6.0
2017-01-14,13.0
2017-01-15,0.0
2017-01-16,22.0
2017-01-17,11.0
2017-01-18,11.0
2017-01-19,11.0
2017-01-20,34.0
2017-01-21,32.0
2017-01-22,25.0
2017-01-23,16.0
2017-01-24,22.0
2017-01-25,11.0
2017-01-26,6.0
2017-01-27,6.0
2017-01-28,6.0
2017-01-29,13.0
2017-01-30,11.0
2017-01-31,0.0
2017-02-01,5.0
2017-02-02,5.0
2017-02-03,17.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,5.0
2017-02-07,5.0
2017-02-08,5.0
2017-02-09,5.0
2017-02-10,6.0
2017-02-11,0.0
2017-02-12,6.0
2017-02-13,5.0
2017-02-14,5.0
2017-02-15,11.0
2017-02-16,0.0
2017-02-17,17.0
2017-02-18,19.0
2017-02-19,0.0
2017-02-20,6.0
2017-02-21,16.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,6.0
2017-03-01,5.843283582089552
2017-03-02,5.843283582089552
2017-03-03,6.447761194029851
2017-03-04,3.8656716417910446
2017-03-05,12.761194029850746
2017-03-06,9.082089552238806
2017-03-07,2.5
2017-03-08,9.082089552238806
2017-03-09,11.343283582089551
2017-03-10,6.447761194029851
2017-03-11,0.0
2017-03-12,6.761194029850746
2017-03-13,0.0
2017-03-14,9.082089552238806
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,3.0
2017-03-19,0.0
2017-03-20,5.843283582089552
2017-03-21,0.0
2017-03-22,8.738805970149254
2017-03-23,0.0
2017-03-24,6.552238805970149
2017-03-25,0.0
2017-03-26,6.970149253731343
2017-03-27,2.5
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,3.0
2017-04-01,14.335820895522389
2017-04-02,15.880597014925373
2017-04-03,0.0
2017-04-04,6.686567164179104
2017-04-05,13.582089552238806
2017-04-06,13.791044776119403
2017-04-07,14.208955223880597
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,6.895522388059701
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,8.35820895522388
2017-04-17,7.313432835820895
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,13.791044776119403
2017-04-21,7.104477611940299
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,6.686567164179104
2017-04-26,6.686567164179104
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,6.895522388059701
2017-05-03,6.686567164179104
2017-05-04,6.686567164179104
2017-05-05,7.104477611940299
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,6.686567164179104
2017-05-09,13.582089552238806
2017-05-10,6.686567164179104
2017-05-11,6.895522388059701
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,6.686567164179104
2017-05-18,0.0
2017-05-19,14.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,13.582089552238806
2017-05-23,6.686567164179104
2017-05-24,0.0
2017-05-25,7.104477611940299
2017-05-26,7.313432835820895
2017-05-27,0.0
2017-05-28,8.35820895522388
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,20.8955223880597
2017-06-02,0.0
2017-06-03,8.149253731343283
