date,hillary clinton event
2016-12-18,0.0
2016-12-19,2.8023952095808387
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,2.8023952095808387
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,2.8023952095808387
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,2.8023952095808387
2017-01-22,2.8023952095808387
2017-01-23,2.241916167664671
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,2.8023952095808387
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,2.241916167664671
2017-02-03,0.0
2017-02-04,2.8023952095808387
2017-02-05,2.8023952095808387
2017-02-06,2.241916167664671
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,2.241916167664671
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,2.8023952095808387
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,2.241916167664671
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,2.8023952095808387
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,1.1209580838323354
2017-03-02,0.3573452715063232
2017-03-03,1.4011976047904193
2017-03-04,0.0
2017-03-05,0.41318047017918624
2017-03-06,1.467136315604086
2017-03-07,0.0
2017-03-08,1.4783033553386586
2017-03-09,0.3573452715063232
2017-03-10,0.36851231124089584
2017-03-11,0.0
2017-03-12,0.41318047017918624
2017-03-13,0.0
2017-03-14,1.4783033553386586
2017-03-15,0.3573452715063232
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.3573452715063232
2017-03-23,1.0943698939881148
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.3573452715063232
2017-03-28,0.0
2017-03-29,0.36851231124089584
2017-03-30,0.0
2017-03-31,0.37967935097546845
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,1.4740492449635834
2017-04-04,0.0
2017-04-05,0.7146905430126465
2017-04-06,0.7370246224817917
2017-04-07,0.7593587019509369
2017-04-08,0.0
2017-04-09,0.8933631787658081
2017-04-10,0.7370246224817917
2017-04-11,0.7370246224817917
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.8933631787658081
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.7593587019509369
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.7370246224817917
2017-04-25,0.0
2017-04-26,0.7146905430126465
2017-04-27,0.7370246224817917
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.8710290992966628
2017-05-01,0.8040268608892273
2017-05-02,0.7146905430126465
2017-05-03,1.0720358145189697
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.7146905430126465
2017-05-10,0.0
2017-05-11,1.0943698939881148
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.7146905430126465
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.7146905430126465
2017-05-24,0.7370246224817917
2017-05-25,0.7593587019509369
2017-05-26,0.8040268608892273
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,2.2334079469145203
2017-06-01,0.7370246224817917
2017-06-02,0.0
2017-06-03,0.0
