date,christmas
2016-05-01,0.5912743972445466
2016-05-02,0.5321469575200919
2016-05-03,0.4730195177956372
2016-05-04,0.4730195177956372
2016-05-05,0.5321469575200919
2016-05-06,0.5321469575200919
2016-05-07,0.5321469575200919
2016-05-08,0.5321469575200919
2016-05-09,0.4730195177956372
2016-05-10,0.5321469575200919
2016-05-11,0.5321469575200919
2016-05-12,0.5321469575200919
2016-05-13,0.5321469575200919
2016-05-14,0.5321469575200919
2016-05-15,0.5912743972445466
2016-05-16,0.5321469575200919
2016-05-17,0.5321469575200919
2016-05-18,0.5321469575200919
2016-05-19,0.5321469575200919
2016-05-20,0.4730195177956372
2016-05-21,0.5912743972445466
2016-05-22,0.6504018369690012
2016-05-23,0.5321469575200919
2016-05-24,0.5321469575200919
2016-05-25,0.5321469575200919
2016-05-26,0.5321469575200919
2016-05-27,0.5321469575200919
2016-05-28,0.5912743972445466
2016-05-29,0.5912743972445466
2016-05-30,0.5321469575200919
2016-05-31,0.5321469575200919
2016-06-01,0.5321469575200919
2016-06-02,0.5321469575200919
2016-06-03,0.5321469575200919
2016-06-04,0.5912743972445466
2016-06-05,0.5912743972445466
2016-06-06,0.5321469575200919
2016-06-07,0.5321469575200919
2016-06-08,0.5321469575200919
2016-06-09,0.5321469575200919
2016-06-10,0.5321469575200919
2016-06-11,0.5912743972445466
2016-06-12,0.6504018369690012
2016-06-13,0.5321469575200919
2016-06-14,0.5321469575200919
2016-06-15,0.5321469575200919
2016-06-16,0.5321469575200919
2016-06-17,0.5912743972445466
2016-06-18,0.5912743972445466
2016-06-19,0.6504018369690012
2016-06-20,0.5912743972445466
2016-06-21,0.5912743972445466
2016-06-22,0.5912743972445466
2016-06-23,0.5912743972445466
2016-06-24,0.5912743972445466
2016-06-25,0.6504018369690012
2016-06-26,0.7095292766934558
2016-06-27,0.5912743972445466
2016-06-28,0.5912743972445466
2016-06-29,0.5912743972445466
2016-06-30,0.5912743972445466
2016-07-01,0.6504018369690012
2016-07-02,0.7095292766934558
2016-07-03,0.7686567164179104
2016-07-04,0.7095292766934558
2016-07-05,0.7095292766934558
2016-07-06,0.7095292766934558
2016-07-07,0.6504018369690012
2016-07-08,0.7095292766934558
2016-07-09,0.7686567164179104
2016-07-10,0.8277841561423651
2016-07-11,0.7095292766934558
2016-07-12,0.7095292766934558
2016-07-13,0.7095292766934558
2016-07-14,0.7095292766934558
2016-07-15,0.7095292766934558
2016-07-16,0.7686567164179104
2016-07-17,0.8277841561423651
2016-07-18,0.7095292766934558
2016-07-19,0.7095292766934558
2016-07-20,0.7095292766934558
2016-07-21,0.7095292766934558
2016-07-22,0.7095292766934558
2016-07-23,0.7686567164179104
2016-07-24,0.8277841561423651
2016-07-25,0.8277841561423651
2016-07-26,0.7686567164179104
2016-07-27,0.7686567164179104
2016-07-28,0.7686567164179104
2016-07-29,0.7686567164179104
2016-07-30,0.8277841561423651
2016-07-31,0.8869115958668198
2016-08-01,0.8277841561423651
2016-08-02,0.8277841561423651
2016-08-03,0.7686567164179104
2016-08-04,0.7686567164179104
2016-08-05,0.7095292766934558
2016-08-06,0.7686567164179104
2016-08-07,0.8277841561423651
2016-08-08,0.7686567164179104
2016-08-09,0.8277841561423651
2016-08-10,0.8277841561423651
2016-08-11,0.8277841561423651
2016-08-12,0.8277841561423651
2016-08-13,0.8869115958668198
2016-08-14,0.9460390355912744
2016-08-15,0.8869115958668198
2016-08-16,0.8869115958668198
2016-08-17,0.8869115958668198
2016-08-18,0.8869115958668198
2016-08-19,0.9460390355912744
2016-08-20,0.9460390355912744
2016-08-21,1.1234213547646383
2016-08-22,1.005166475315729
2016-08-23,1.005166475315729
2016-08-24,1.005166475315729
2016-08-25,1.005166475315729
2016-08-26,1.005166475315729
2016-08-27,1.0642939150401838
2016-08-28,1.1825487944890931
2016-08-29,1.005166475315729
2016-08-30,1.0642939150401838
2016-08-31,1.1234213547646383
2016-09-01,1.1825487944890931
2016-09-02,1.1825487944890931
2016-09-03,1.2416762342135477
2016-09-04,1.4190585533869116
2016-09-05,1.4190585533869116
2016-09-06,1.359931113662457
2016-09-07,1.3008036739380024
2016-09-08,1.3008036739380024
2016-09-09,1.3008036739380024
2016-09-10,1.4190585533869116
2016-09-11,1.5964408725602757
2016-09-12,1.537313432835821
2016-09-13,1.4781859931113663
2016-09-14,1.4781859931113663
2016-09-15,1.537313432835821
2016-09-16,1.6555683122847302
2016-09-17,1.5964408725602757
2016-09-18,1.892078071182549
2016-09-19,1.714695752009185
2016-09-20,1.714695752009185
2016-09-21,1.714695752009185
2016-09-22,1.6555683122847302
2016-09-23,1.6555683122847302
2016-09-24,1.8329506314580943
2016-09-25,2.1285878300803676
2016-09-26,1.9512055109070034
2016-09-27,1.892078071182549
2016-09-28,1.9512055109070034
2016-09-29,1.892078071182549
2016-09-30,1.892078071182549
2016-10-01,2.0938576349024114
2016-10-02,2.71211251435132
2016-10-03,2.1529850746268657
2016-10-04,2.1529850746268657
2016-10-05,2.1529850746268657
2016-10-06,2.182548794489093
2016-10-07,2.0938576349024114
2016-10-08,2.2416762342135477
2016-10-09,2.9190585533869116
2016-10-10,2.8303673938002296
2016-10-11,2.859931113662457
2016-10-12,2.8894948335246844
2016-10-13,2.859931113662457
2016-10-14,2.8008036739380024
2016-10-15,2.9781859931113663
2016-10-16,3.1555683122847302
2016-10-17,3.0373134328358207
2016-10-18,3.0373134328358207
2016-10-19,3.0668771526980483
2016-10-20,3.0077497129735935
2016-10-21,3.0077497129735935
2016-10-22,3.1851320321469574
