date,barack obama car
2016-05-01,32.55921052631579
2016-05-02,9.302631578947368
2016-05-03,17.940789473684212
2016-05-04,9.302631578947368
2016-05-05,9.302631578947368
2016-05-06,0.0
2016-05-07,43.85526315789474
2016-05-08,21.92763157894737
2016-05-09,0.0
2016-05-10,9.302631578947368
2016-05-11,27.24342105263158
2016-05-12,0.0
2016-05-13,28.572368421052634
2016-05-14,32.55921052631579
2016-05-15,0.0
2016-05-16,9.302631578947368
2016-05-17,35.881578947368425
2016-05-18,9.302631578947368
2016-05-19,18.605263157894736
2016-05-20,19.269736842105264
2016-05-21,10.631578947368421
2016-05-22,10.631578947368421
2016-05-23,27.24342105263158
2016-05-24,9.302631578947368
2016-05-25,18.605263157894736
2016-05-26,9.302631578947368
2016-05-27,0.0
2016-05-28,10.631578947368421
2016-05-29,21.92763157894737
2016-05-30,9.302631578947368
2016-05-31,37.21052631578947
2016-06-01,9.302631578947368
2016-06-02,9.302631578947368
2016-06-03,19.269736842105264
2016-06-04,0.0
2016-06-05,10.631578947368421
2016-06-06,9.302631578947368
2016-06-07,17.940789473684212
2016-06-08,9.302631578947368
2016-06-09,0.0
2016-06-10,19.269736842105264
2016-06-11,21.263157894736842
2016-06-12,21.263157894736842
2016-06-13,9.302631578947368
2016-06-14,9.302631578947368
2016-06-15,27.24342105263158
2016-06-16,9.302631578947368
2016-06-17,9.967105263157896
2016-06-18,0.0
2016-06-19,21.92763157894737
2016-06-20,27.24342105263158
2016-06-21,9.302631578947368
2016-06-22,0.0
2016-06-23,9.302631578947368
2016-06-24,9.967105263157896
2016-06-25,21.92763157894737
2016-06-26,21.263157894736842
2016-06-27,17.940789473684212
2016-06-28,27.907894736842106
2016-06-29,9.302631578947368
2016-06-30,0.0
2016-07-01,19.269736842105264
2016-07-02,33.223684210526315
2016-07-03,11.296052631578947
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,29.236842105263158
2016-07-07,9.302631578947368
2016-07-08,9.967105263157896
2016-07-09,11.296052631578947
2016-07-10,0.0
2016-07-11,9.302631578947368
2016-07-12,9.302631578947368
2016-07-13,28.572368421052634
2016-07-14,47.17763157894737
2016-07-15,19.269736842105264
2016-07-16,66.44736842105263
2016-07-17,11.296052631578947
2016-07-18,9.302631578947368
2016-07-19,0.0
2016-07-20,28.572368421052634
2016-07-21,38.53947368421053
2016-07-22,0.0
2016-07-23,21.92763157894737
2016-07-24,33.223684210526315
2016-07-25,9.302631578947368
2016-07-26,18.605263157894736
2016-07-27,18.605263157894736
2016-07-28,19.269736842105264
2016-07-29,9.967105263157896
