date,trump
2016-05-01,1.8329355608591886
2016-05-02,1.6801909307875895
2016-05-03,2.1384248210023866
2016-05-04,5.804295942720764
2016-05-05,4.124105011933175
2016-05-06,3.513126491646778
2016-05-07,2.749403341288783
2016-05-08,2.2911694510739857
2016-05-09,2.1384248210023866
2016-05-10,2.1384248210023866
2016-05-11,2.1384248210023866
2016-05-12,1.9856801909307877
2016-05-13,1.9856801909307877
2016-05-14,1.8329355608591886
2016-05-15,1.8329355608591886
2016-05-16,1.9856801909307877
2016-05-17,1.8329355608591886
2016-05-18,2.2911694510739857
2016-05-19,1.8329355608591886
2016-05-20,1.6801909307875895
2016-05-21,1.5274463007159906
2016-05-22,1.3747016706443915
2016-05-23,1.3747016706443915
2016-05-24,1.5274463007159906
2016-05-25,1.8329355608591886
2016-05-26,2.443914081145585
2016-05-27,2.1384248210023866
2016-05-28,1.9856801909307877
2016-05-29,1.6801909307875895
2016-05-30,1.3747016706443915
2016-05-31,1.6801909307875895
2016-06-01,1.8329355608591886
2016-06-02,1.8329355608591886
2016-06-03,1.9856801909307877
2016-06-04,1.9856801909307877
2016-06-05,1.8329355608591886
2016-06-06,1.8329355608591886
2016-06-07,2.1384248210023866
2016-06-08,2.902147971360382
2016-06-09,2.1384248210023866
2016-06-10,2.1384248210023866
2016-06-11,1.9856801909307877
2016-06-12,2.596658711217184
2016-06-13,2.596658711217184
2016-06-14,2.443914081145585
2016-06-15,2.443914081145585
2016-06-16,1.9856801909307877
2016-06-17,1.9856801909307877
2016-06-18,1.8329355608591886
2016-06-19,1.6801909307875895
2016-06-20,1.6801909307875895
2016-06-21,2.2911694510739857
2016-06-22,2.1384248210023866
2016-06-23,1.6801909307875895
2016-06-24,2.2911694510739857
2016-06-25,1.9856801909307877
2016-06-26,1.6801909307875895
2016-06-27,1.5274463007159906
2016-06-28,1.5274463007159906
2016-06-29,1.5274463007159906
2016-06-30,1.3747016706443915
2016-07-01,1.5274463007159906
2016-07-02,1.3747016706443915
2016-07-03,1.3747016706443915
2016-07-04,1.3747016706443915
2016-07-05,1.6801909307875895
2016-07-06,1.8329355608591886
2016-07-07,1.6801909307875895
2016-07-08,1.6801909307875895
2016-07-09,1.3747016706443915
2016-07-10,1.2219570405727924
2016-07-11,1.3747016706443915
2016-07-12,1.3747016706443915
2016-07-13,1.6801909307875895
2016-07-14,2.2911694510739857
2016-07-15,2.749403341288783
2016-07-16,2.749403341288783
2016-07-17,2.2911694510739857
2016-07-18,2.902147971360382
2016-07-19,11.914081145584726
2016-07-20,9.928400954653938
2016-07-21,7.484486873508353
2016-07-22,11.30310262529833
2016-07-23,4.88782816229117
2016-07-24,3.8186157517899764
2016-07-25,3.20763723150358
2016-07-26,3.8186157517899764
2016-07-27,3.9713603818615755
2016-07-28,4.735083532219571
2016-07-29,5.193317422434368
2016-07-30,3.6658711217183773
2016-07-31,4.276849642004773
2016-08-01,6.1097852028639625
2016-08-02,6.1097852028639625
2016-08-03,5.3460620525059666
2016-08-04,4.5823389021479715
2016-08-05,3.9713603818615755
2016-08-06,3.360381861575179
2016-08-07,2.902147971360382
2016-08-08,2.749403341288783
2016-08-09,2.902147971360382
2016-08-10,4.124105011933175
2016-08-11,3.6658711217183773
2016-08-12,2.902147971360382
2016-08-13,2.443914081145585
2016-08-14,2.443914081145585
2016-08-15,2.443914081145585
2016-08-16,2.2911694510739857
2016-08-17,2.2911694510739857
2016-08-18,2.443914081145585
2016-08-19,3.513126491646778
2016-08-20,2.902147971360382
2016-08-21,2.443914081145585
2016-08-22,2.2911694510739857
2016-08-23,2.443914081145585
2016-08-24,2.1384248210023866
2016-08-25,2.443914081145585
2016-08-26,2.1384248210023866
2016-08-27,1.9856801909307877
2016-08-28,1.9856801909307877
2016-08-29,1.8329355608591886
2016-08-30,1.6801909307875895
2016-08-31,2.749403341288783
2016-09-01,3.360381861575179
2016-09-02,2.443914081145585
2016-09-03,2.1384248210023866
2016-09-04,1.9856801909307877
2016-09-05,1.8329355608591886
2016-09-06,1.9856801909307877
2016-09-07,2.1384248210023866
2016-09-08,2.596658711217184
2016-09-09,2.1384248210023866
2016-09-10,1.9856801909307877
2016-09-11,2.1384248210023866
2016-09-12,2.443914081145585
2016-09-13,2.1384248210023866
2016-09-14,2.596658711217184
2016-09-15,2.596658711217184
2016-09-16,2.902147971360382
