date,president obama hate
2016-12-06,11.0
2016-12-07,11.0
2016-12-08,0.0
2016-12-09,12.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,11.0
2016-12-13,11.0
2016-12-14,0.0
2016-12-15,12.0
2016-12-16,12.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,23.0
2016-12-20,12.0
2016-12-21,12.0
2016-12-22,25.0
2016-12-23,0.0
2016-12-24,22.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,12.0
2016-12-28,12.0
2016-12-29,0.0
2016-12-30,13.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,12.0
2017-01-03,0.0
2017-01-04,11.0
2017-01-05,35.0
2017-01-06,53.0
2017-01-07,26.0
2017-01-08,38.0
2017-01-09,22.0
2017-01-10,11.0
2017-01-11,55.0
2017-01-12,33.0
2017-01-13,23.0
2017-01-14,38.0
2017-01-15,19.0
2017-01-16,11.0
2017-01-17,11.0
2017-01-18,11.0
2017-01-19,0.0
2017-01-20,68.0
2017-01-21,57.0
2017-01-22,19.0
2017-01-23,16.0
2017-01-24,16.0
2017-01-25,11.0
2017-01-26,45.0
2017-01-27,11.0
2017-01-28,13.0
2017-01-29,13.0
2017-01-30,11.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,11.0
2017-02-04,0.0
2017-02-05,18.0
2017-02-06,22.0
2017-02-07,11.0
2017-02-08,11.0
2017-02-09,0.0
2017-02-10,17.0
2017-02-11,0.0
2017-02-12,13.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,11.0
2017-02-16,22.0
2017-02-17,11.0
2017-02-18,13.0
2017-02-19,13.0
2017-02-20,11.0
2017-02-21,11.0
2017-02-22,0.0
2017-02-23,16.0
2017-02-24,11.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,22.0
2017-03-01,16.319944598337948
2017-03-02,0.0
2017-03-03,11.16759002770083
2017-03-04,12.854570637119114
2017-03-05,0.0
2017-03-06,5.5
2017-03-07,18.819944598337948
2017-03-08,10.82409972299169
2017-03-09,5.5
2017-03-10,22.33518005540166
2017-03-11,12.354570637119114
2017-03-12,0.0
2017-03-13,10.995844875346261
2017-03-14,10.995844875346261
2017-03-15,15.995844875346261
2017-03-16,5.49584487534626
2017-03-17,14.16759002770083
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,5.49584487534626
2017-03-21,0.0
2017-03-22,5.5
2017-03-23,10.995844875346261
2017-03-24,5.839335180055402
2017-03-25,13.026315789473685
2017-03-26,6.5
2017-03-27,10.995844875346261
2017-03-28,10.81994459833795
2017-03-29,5.5
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,13.052631578947368
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,21.98337950138504
2017-04-06,11.335180055401661
2017-04-07,0.0
2017-04-08,19.57894736842105
2017-04-09,0.0
2017-04-10,11.335180055401661
2017-04-11,11.335180055401661
2017-04-12,11.678670360110804
2017-04-13,11.678670360110804
2017-04-14,0.0
2017-04-15,13.396121883656509
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,11.335180055401661
2017-04-25,0.0
2017-04-26,10.99168975069252
2017-04-27,16.831024930747922
2017-04-28,11.335180055401661
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,12.022160664819944
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,13.052631578947368
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,11.678670360110804
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,10.99168975069252
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,13.052631578947368
2017-05-22,0.0
2017-05-23,10.99168975069252
2017-05-24,11.335180055401661
2017-05-25,11.678670360110804
2017-05-26,12.365650969529085
2017-05-27,0.0
2017-05-28,13.396121883656509
2017-05-29,0.0
2017-05-30,11.335180055401661
2017-05-31,11.335180055401661
2017-06-01,34.34903047091413
2017-06-02,23.700831024930746
2017-06-03,13.396121883656509
