date,barack obama bus
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,28.440456769983687
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,34.6231647634584
2016-05-08,34.00489396411093
2016-05-09,0.0
2016-05-10,28.440456769983687
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,34.00489396411093
2016-05-15,0.0
2016-05-16,56.88091353996737
2016-05-17,28.440456769983687
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,45.133768352365415
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,28.440456769983687
2016-05-24,0.0
2016-05-25,29.058727569331158
2016-05-26,30.2952691680261
2016-05-27,0.0
2016-05-28,34.6231647634584
2016-05-29,34.00489396411093
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,28.440456769983687
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,29.058727569331158
2016-06-08,0.0
2016-06-09,29.058727569331158
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,33.386623164763456
2016-06-13,28.440456769983687
2016-06-14,28.440456769983687
2016-06-15,29.058727569331158
2016-06-16,29.67699836867863
2016-06-17,0.0
2016-06-18,34.6231647634584
2016-06-19,0.0
2016-06-20,28.440456769983687
2016-06-21,29.058727569331158
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,34.00489396411093
2016-06-27,0.0
2016-06-28,43.278955954323
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,35.24143556280587
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,30.91353996737357
2016-07-08,30.91353996737357
2016-07-09,0.0
2016-07-10,34.6231647634584
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,60.5905383360522
2016-07-16,35.24143556280587
2016-07-17,0.0
2016-07-18,29.058727569331158
2016-07-19,29.67699836867863
2016-07-20,59.97226753670473
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,35.24143556280587
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,29.67699836867863
2016-07-29,30.91353996737357
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,29.67699836867863
2016-08-02,29.67699836867863
2016-08-03,29.67699836867863
2016-08-04,29.67699836867863
2016-08-05,61.82707993474714
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,29.058727569331158
2016-08-09,0.0
2016-08-10,29.058727569331158
2016-08-11,0.0
2016-08-12,30.2952691680261
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,29.058727569331158
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,29.058727569331158
2016-08-24,0.0
2016-08-25,59.35399673735726
2016-08-26,30.2952691680261
2016-08-27,0.0
2016-08-28,33.386623164763456
2016-08-29,28.440456769983687
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,29.67699836867863
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,28.440456769983687
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,58.117455138662315
2016-09-10,0.0
2016-09-11,32.768352365415986
2016-09-12,29.058727569331158
2016-09-13,42.660685154975525
2016-09-14,0.0
2016-09-15,29.058727569331158
2016-09-16,29.67699836867863
2016-09-17,32.768352365415986
2016-09-18,32.150081566068515
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,27.822185970636212
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,56.2626427406199
2016-09-27,27.822185970636212
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,25.765905383360522
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,8.5
2016-10-06,13.911092985318106
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,8.5
2016-10-11,0.0
2016-10-12,31.72022838499184
2016-10-13,0.0
2016-10-14,14.220228384991843
2016-10-15,10.0
2016-10-16,9.5
2016-10-17,0.0
2016-10-18,8.5
2016-10-19,52.70391517128874
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,10.0
2016-10-23,25.765905383360522
2016-10-24,8.5
2016-10-25,8.5
2016-10-26,22.10195758564437
2016-10-27,13.60195758564437
2016-10-28,38.058727569331154
2016-10-29,26.075040783034257
2016-10-30,26.075040783034257
2016-10-31,8.5
2016-11-01,8.5
2016-11-02,34.0
2016-11-03,0.0
2016-11-04,35.0
2016-11-05,19.0
2016-11-06,19.0
2016-11-07,17.0
2016-11-08,41.0
2016-11-09,78.0
2016-11-10,100.0
2016-11-11,26.0
2016-11-12,20.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,17.0
2016-11-16,16.0
2016-11-17,17.0
2016-11-18,35.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,33.0
2016-11-22,17.0
2016-11-23,34.0
2016-11-24,17.0
2016-11-25,17.0
2016-11-26,19.0
2016-11-27,19.0
2016-11-28,0.0
2016-11-29,16.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,17.0
2016-12-03,0.0
2016-12-04,19.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,17.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,16.0
2016-12-13,0.0
2016-12-14,17.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,20.0
2016-12-18,39.0
2016-12-19,0.0
2016-12-20,26.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,19.0
2016-12-27,0.0
2016-12-28,36.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,21.0
2017-01-01,0.0
2017-01-02,18.0
2017-01-03,0.0
2017-01-04,17.0
2017-01-05,17.0
2017-01-06,0.0
2017-01-07,19.0
2017-01-08,37.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,40.0
2017-01-12,16.0
2017-01-13,17.0
2017-01-14,19.0
2017-01-15,18.0
2017-01-16,16.0
2017-01-17,16.0
2017-01-18,16.0
2017-01-19,33.0
2017-01-20,58.0
2017-01-21,47.0
2017-01-22,74.0
2017-01-23,32.0
2017-01-24,16.0
2017-01-25,16.0
2017-01-26,33.0
2017-01-27,17.0
2017-01-28,19.0
2017-01-29,0.0
2017-01-30,32.0
2017-01-31,16.0
2017-02-01,0.0
2017-02-02,0.0
