date,podesta
2016-05-01,1.5521064301552105
2016-05-02,1.5521064301552105
2016-05-03,1.5521064301552105
2016-05-04,2.5868440502586845
2016-05-05,2.0694752402069474
2016-05-06,2.0694752402069474
2016-05-07,1.5521064301552105
2016-05-08,1.0347376201034737
2016-05-09,1.0347376201034737
2016-05-10,2.0694752402069474
2016-05-11,2.0694752402069474
2016-05-12,2.0694752402069474
2016-05-13,2.0694752402069474
2016-05-14,2.0694752402069474
2016-05-15,1.0347376201034737
2016-05-16,2.0694752402069474
2016-05-17,1.5521064301552105
2016-05-18,1.5521064301552105
2016-05-19,2.0694752402069474
2016-05-20,1.5521064301552105
2016-05-21,1.0347376201034737
2016-05-22,1.5521064301552105
2016-05-23,2.0694752402069474
2016-05-24,2.0694752402069474
2016-05-25,1.5521064301552105
2016-05-26,2.5868440502586845
2016-05-27,2.0694752402069474
2016-05-28,1.5521064301552105
2016-05-29,0.5173688100517368
2016-05-30,2.0694752402069474
2016-05-31,2.0694752402069474
2016-06-01,2.0694752402069474
2016-06-02,3.104212860310421
2016-06-03,2.0694752402069474
2016-06-04,1.5521064301552105
2016-06-05,2.0694752402069474
2016-06-06,2.0694752402069474
2016-06-07,1.5521064301552105
2016-06-08,4.138950480413895
2016-06-09,2.5868440502586845
2016-06-10,2.5868440502586845
2016-06-11,1.5521064301552105
2016-06-12,2.0694752402069474
2016-06-13,2.0694752402069474
2016-06-14,2.0694752402069474
2016-06-15,2.0694752402069474
2016-06-16,2.5868440502586845
2016-06-17,1.5521064301552105
2016-06-18,1.5521064301552105
2016-06-19,1.0347376201034737
2016-06-20,1.0347376201034737
2016-06-21,2.0694752402069474
2016-06-22,2.0694752402069474
2016-06-23,1.5521064301552105
2016-06-24,2.0694752402069474
2016-06-25,2.0694752402069474
2016-06-26,2.5868440502586845
2016-06-27,1.0347376201034737
2016-06-28,2.0694752402069474
2016-06-29,1.0347376201034737
2016-06-30,2.0694752402069474
2016-07-01,2.0694752402069474
2016-07-02,2.0694752402069474
2016-07-03,1.5521064301552105
2016-07-04,2.0694752402069474
2016-07-05,1.5521064301552105
2016-07-06,2.0694752402069474
2016-07-07,1.0347376201034737
2016-07-08,1.0347376201034737
2016-07-09,1.5521064301552105
2016-07-10,2.0694752402069474
2016-07-11,2.0694752402069474
2016-07-12,2.5868440502586845
2016-07-13,1.5521064301552105
2016-07-14,1.0347376201034737
2016-07-15,2.0694752402069474
2016-07-16,2.0694752402069474
2016-07-17,2.0694752402069474
2016-07-18,1.5521064301552105
2016-07-19,1.5521064301552105
2016-07-20,2.0694752402069474
2016-07-21,1.5521064301552105
2016-07-22,2.0694752402069474
2016-07-23,2.0694752402069474
2016-07-24,3.104212860310421
2016-07-25,4.656319290465632
2016-07-26,2.5868440502586845
2016-07-27,4.138950480413895
2016-07-28,5.173688100517369
2016-07-29,2.5868440502586845
2016-07-30,1.5521064301552105
2016-07-31,1.5521064301552105
2016-08-01,3.104212860310421
2016-08-02,4.138950480413895
2016-08-03,2.0694752402069474
2016-08-04,2.0694752402069474
2016-08-05,2.0694752402069474
2016-08-06,1.5521064301552105
2016-08-07,1.5521064301552105
2016-08-08,1.5521064301552105
2016-08-09,2.0694752402069474
2016-08-10,2.0694752402069474
2016-08-11,1.5521064301552105
2016-08-12,3.104212860310421
2016-08-13,2.0694752402069474
2016-08-14,1.5521064301552105
2016-08-15,2.0694752402069474
2016-08-16,2.0694752402069474
2016-08-17,3.6215816703621577
2016-08-18,2.5868440502586845
2016-08-19,3.6215816703621577
2016-08-20,2.0694752402069474
2016-08-21,1.5521064301552105
2016-08-22,1.5521064301552105
2016-08-23,2.5868440502586845
2016-08-24,1.5521064301552105
2016-08-25,1.5521064301552105
2016-08-26,1.5521064301552105
2016-08-27,1.5521064301552105
2016-08-28,2.0694752402069474
2016-08-29,2.0694752402069474
2016-08-30,1.5521064301552105
2016-08-31,1.5521064301552105
2016-09-01,2.5868440502586845
2016-09-02,2.5868440502586845
2016-09-03,2.0694752402069474
2016-09-04,1.5521064301552105
2016-09-05,1.5521064301552105
2016-09-06,1.5521064301552105
2016-09-07,2.5868440502586845
2016-09-08,2.0694752402069474
2016-09-09,2.0694752402069474
2016-09-10,2.5868440502586845
2016-09-11,2.0694752402069474
2016-09-12,2.0694752402069474
2016-09-13,1.5521064301552105
2016-09-14,2.0694752402069474
2016-09-15,3.6215816703621577
2016-09-16,2.0694752402069474
2016-09-17,2.0694752402069474
2016-09-18,1.5521064301552105
2016-09-19,2.0694752402069474
2016-09-20,1.5521064301552105
2016-09-21,1.5521064301552105
2016-09-22,2.0694752402069474
2016-09-23,2.5868440502586845
2016-09-24,1.5521064301552105
2016-09-25,1.5521064301552105
2016-09-26,2.5868440502586845
2016-09-27,5.691056910569105
2016-09-28,3.104212860310421
2016-09-29,2.0694752402069474
2016-09-30,2.5868440502586845
2016-10-01,1.7760532150776052
2016-10-02,1.2760532150776052
2016-10-03,2.0347376201034737
2016-10-04,2.5347376201034737
2016-10-05,4.069475240206947
2016-10-06,2.0347376201034737
2016-10-07,7.121581670362158
2016-10-08,39.160014781966
2016-10-09,17.812638580931264
2016-10-10,22.106060606060606
2016-10-11,38.14264597191426
2016-10-12,47.075018477457505
2016-10-13,51.86844050258684
2016-10-14,33.81448632668145
2016-10-15,25.67553584626755
2016-10-16,24.14079822616408
2016-10-17,28.210273466371028
2016-10-18,25.158167036215815
2016-10-19,23.899482631189947
2016-10-20,44.488174427198814
2016-10-21,23.399482631189947
2016-10-22,19.07132298595713
2016-10-23,13.46711012564671
