date,authoritarianism
2016-05-01,45.65980707395498
2016-05-02,26.469453376205788
2016-05-03,42.35112540192926
2016-05-04,38.38070739549839
2016-05-05,48.96848874598071
2016-05-06,41.02765273311897
2016-05-07,15.219935691318328
2016-05-08,40.36591639871383
2016-05-09,43.0128617363344
2016-05-10,33.74855305466238
2016-05-11,29.778135048231512
2016-05-12,25.807717041800643
2016-05-13,17.866881028938906
2016-05-14,19.85209003215434
2016-05-15,15.219935691318328
2016-05-16,50.95369774919614
2016-05-17,29.116398713826367
2016-05-18,29.778135048231512
2016-05-19,38.38070739549839
2016-05-20,40.36591639871383
2016-05-21,55.585852090032155
2016-05-22,45.65980707395498
2016-05-23,21.17556270096463
2016-05-24,63.526688102893885
2016-05-25,29.778135048231512
2016-05-26,26.469453376205788
2016-05-27,18.52861736334405
2016-05-28,15.219935691318328
2016-05-29,20.513826366559485
2016-05-30,30.439871382636657
2016-05-31,17.20514469453376
2016-06-01,8.60257234726688
2016-06-02,8.60257234726688
2016-06-03,49.63022508038585
2016-06-04,15.881672025723471
2016-06-05,29.778135048231512
2016-06-06,29.778135048231512
2016-06-07,25.807717041800643
2016-06-08,13.234726688102894
2016-06-09,21.837299035369774
2016-06-10,40.36591639871383
2016-06-11,9.92604501607717
2016-06-12,4.632154340836013
2016-06-13,16.543408360128616
2016-06-14,25.1459807073955
2016-06-15,12.57299035369775
2016-06-16,8.60257234726688
2016-06-17,13.234726688102894
2016-06-18,10.587781350482315
2016-06-19,35.07202572347267
2016-06-20,38.38070739549839
2016-06-21,17.20514469453376
2016-06-22,17.20514469453376
2016-06-23,30.439871382636657
2016-06-24,40.36591639871383
2016-06-25,5.293890675241157
2016-06-26,15.219935691318328
2016-06-27,33.74855305466238
2016-06-28,25.807717041800643
2016-06-29,13.234726688102894
2016-06-30,17.866881028938906
2016-07-01,18.52861736334405
2016-07-02,10.587781350482315
2016-07-03,15.881672025723471
2016-07-04,4.632154340836013
2016-07-05,27.131189710610933
2016-07-06,17.866881028938906
2016-07-07,13.234726688102894
2016-07-08,18.52861736334405
2016-07-09,25.807717041800643
2016-07-10,25.807717041800643
2016-07-11,21.837299035369774
2016-07-12,21.17556270096463
2016-07-13,17.866881028938906
2016-07-14,4.632154340836013
2016-07-15,22.49903536977492
2016-07-16,46.32154340836013
2016-07-17,26.469453376205788
2016-07-18,13.234726688102894
2016-07-19,26.469453376205788
2016-07-20,26.469453376205788
2016-07-21,22.49903536977492
2016-07-22,27.131189710610933
2016-07-23,25.807717041800643
2016-07-24,20.513826366559485
2016-07-25,17.20514469453376
2016-07-26,26.469453376205788
2016-07-27,13.234726688102894
2016-07-28,13.234726688102894
2016-07-29,23.160771704180064
2016-07-30,25.807717041800643
2016-07-31,20.513826366559485
2016-08-01,39.70418006430868
2016-08-02,39.70418006430868
2016-08-03,26.469453376205788
2016-08-04,21.837299035369774
2016-08-05,18.52861736334405
2016-08-06,10.587781350482315
2016-08-07,15.219935691318328
2016-08-08,21.837299035369774
2016-08-09,8.60257234726688
2016-08-10,17.20514469453376
2016-08-11,13.234726688102894
2016-08-12,0.0
2016-08-13,10.587781350482315
2016-08-14,52.27717041800643
2016-08-15,9.264308681672025
2016-08-16,13.234726688102894
2016-08-17,17.20514469453376
2016-08-18,26.469453376205788
2016-08-19,13.896463022508039
2016-08-20,9.92604501607717
2016-08-21,9.92604501607717
2016-08-22,17.20514469453376
2016-08-23,4.632154340836013
2016-08-24,30.439871382636657
2016-08-25,31.1016077170418
2016-08-26,17.866881028938906
2016-08-27,9.92604501607717
2016-08-28,25.1459807073955
2016-08-29,21.17556270096463
2016-08-30,21.17556270096463
2016-08-31,16.543408360128616
2016-09-01,17.20514469453376
2016-09-02,13.234726688102894
2016-09-03,29.778135048231512
2016-09-04,5.293890675241157
2016-09-05,21.837299035369774
2016-09-06,12.57299035369775
2016-09-07,29.778135048231512
2016-09-08,38.38070739549839
2016-09-09,17.20514469453376
2016-09-10,19.85209003215434
2016-09-11,14.558199356913184
2016-09-12,21.17556270096463
2016-09-13,46.32154340836013
2016-09-14,42.35112540192926
2016-09-15,21.17556270096463
2016-09-16,44.33633440514469
2016-09-17,29.778135048231512
2016-09-18,14.558199356913184
2016-09-19,21.17556270096463
2016-09-20,33.08681672025723
2016-09-21,29.116398713826367
2016-09-22,25.1459807073955
2016-09-23,26.469453376205788
2016-09-24,14.558199356913184
2016-09-25,43.67459807073955
2016-09-26,29.116398713826367
2016-09-27,28.454662379421222
2016-09-28,21.17556270096463
2016-09-29,37.71897106109325
2016-09-30,21.837299035369774
2016-10-01,21.595176848874598
2016-10-02,30.396463022508037
2016-10-03,24.72733118971061
2016-10-04,22.256913183279742
2016-10-05,22.242122186495177
2016-10-06,29.058199356913185
2016-10-07,40.17556270096463
2016-10-08,17.095176848874598
2016-10-09,19.132154340836014
2016-10-10,31.572990353697747
2016-10-11,53.46945337620579
2016-10-12,40.49163987138263
2016-10-13,62.58681672025723
2016-10-14,29.37427652733119
2016-10-15,12.279099678456593
2016-10-16,35.49163987138263
2016-10-17,27.911254019292606
2016-10-18,42.66816720257235
2016-10-19,34.72733118971061
2016-10-20,35.22733118971061
2016-10-21,45.81511254019293
2016-10-22,11.632154340836014
2016-10-23,38.043408360128616
2016-10-24,44.999035369774916
2016-10-25,32.19774919614148
2016-10-26,26.742122186495177
2016-10-27,39.22733118971061
2016-10-28,27.389067524115756
2016-10-29,2.5
2016-10-30,31.411254019292606
2016-10-31,50.43247588424437
2016-11-01,46.13118971061093
2016-11-02,70.0
2016-11-03,33.0
