date,vladimir putin russia
2016-05-01,9.179518355595576
2016-05-02,24.784699560108052
2016-05-03,23.866747724548496
2016-05-04,12.851325697833806
2016-05-05,15.60518120451248
2016-05-06,20.194940382310268
2016-05-07,13.769277533393362
2016-05-08,9.179518355595576
2016-05-09,26.620603231227168
2016-05-10,11.015422026714692
2016-05-11,27.538555066786724
2016-05-12,26.620603231227168
2016-05-13,19.27698854675071
2016-05-14,12.851325697833806
2016-05-15,26.620603231227168
2016-05-16,14.68722936895292
2016-05-17,14.68722936895292
2016-05-18,23.866747724548496
2016-05-19,22.94879588898894
2016-05-20,19.27698854675071
2016-05-21,11.015422026714692
2016-05-22,12.851325697833806
2016-05-23,18.359036711191152
2016-05-24,24.784699560108052
2016-05-25,11.015422026714692
2016-05-26,19.27698854675071
2016-05-27,20.194940382310268
2016-05-28,20.194940382310268
2016-05-29,17.441084875631592
2016-05-30,15.60518120451248
2016-05-31,16.523133040072036
2016-06-01,9.179518355595576
2016-06-02,15.60518120451248
2016-06-03,20.194940382310268
2016-06-04,22.94879588898894
2016-06-05,15.60518120451248
2016-06-06,9.179518355595576
2016-06-07,9.179518355595576
2016-06-08,12.851325697833806
2016-06-09,21.112892217869824
2016-06-10,5.507711013357346
2016-06-11,22.030844053429384
2016-06-12,26.620603231227168
2016-06-13,20.194940382310268
2016-06-14,18.359036711191152
2016-06-15,27.538555066786724
2016-06-16,13.769277533393362
2016-06-17,21.112892217869824
2016-06-18,24.784699560108052
2016-06-19,17.441084875631592
2016-06-20,11.015422026714692
2016-06-21,12.851325697833806
2016-06-22,19.27698854675071
2016-06-23,7.34361468447646
2016-06-24,23.866747724548496
2016-06-25,13.769277533393362
2016-06-26,4.589759177797788
2016-06-27,23.866747724548496
2016-06-28,12.851325697833806
2016-06-29,5.507711013357346
2016-06-30,13.769277533393362
2016-07-01,20.194940382310268
2016-07-02,11.015422026714692
2016-07-03,15.60518120451248
2016-07-04,16.523133040072036
2016-07-05,15.60518120451248
2016-07-06,15.60518120451248
2016-07-07,20.194940382310268
2016-07-08,16.523133040072036
2016-07-09,18.359036711191152
2016-07-10,18.359036711191152
2016-07-11,17.441084875631592
2016-07-12,24.784699560108052
2016-07-13,15.60518120451248
2016-07-14,15.60518120451248
2016-07-15,31.21036240902496
2016-07-16,18.359036711191152
2016-07-17,11.015422026714692
2016-07-18,29.37445873790584
2016-07-19,10.097470191155134
2016-07-20,11.933373862274248
2016-07-21,19.27698854675071
2016-07-22,18.359036711191152
2016-07-23,24.784699560108052
2016-07-24,22.94879588898894
2016-07-25,21.112892217869824
2016-07-26,11.933373862274248
2016-07-27,33.04626608014407
2016-07-28,75.27205051588372
2016-07-29,46.815543613537436
2016-07-30,36.718073422382304
2016-07-31,29.37445873790584
2016-08-01,13.769277533393362
2016-08-02,36.718073422382304
2016-08-03,19.27698854675071
2016-08-04,11.933373862274248
2016-08-05,11.933373862274248
2016-08-06,13.769277533393362
2016-08-07,24.784699560108052
2016-08-08,19.27698854675071
2016-08-09,9.179518355595576
2016-08-10,15.60518120451248
2016-08-11,10.097470191155134
2016-08-12,13.769277533393362
2016-08-13,15.60518120451248
2016-08-14,9.179518355595576
2016-08-15,13.769277533393362
2016-08-16,15.60518120451248
2016-08-17,9.179518355595576
2016-08-18,3.67180734223823
2016-08-19,22.030844053429384
2016-08-20,12.851325697833806
2016-08-21,22.030844053429384
2016-08-22,15.60518120451248
2016-08-23,13.769277533393362
2016-08-24,15.60518120451248
2016-08-25,10.097470191155134
2016-08-26,11.933373862274248
2016-08-27,9.179518355595576
2016-08-28,12.851325697833806
2016-08-29,14.68722936895292
2016-08-30,18.359036711191152
2016-08-31,14.68722936895292
2016-09-01,14.68722936895292
2016-09-02,13.769277533393362
2016-09-03,9.179518355595576
2016-09-04,25.702651395667612
2016-09-05,21.112892217869824
2016-09-06,14.68722936895292
2016-09-07,20.194940382310268
2016-09-08,30.292410573465396
2016-09-09,40.389880764620536
2016-09-10,23.866747724548496
2016-09-11,23.866747724548496
2016-09-12,20.194940382310268
2016-09-13,22.030844053429384
2016-09-14,25.702651395667612
2016-09-15,12.851325697833806
2016-09-16,17.441084875631592
2016-09-17,23.866747724548496
2016-09-18,27.538555066786724
2016-09-19,24.784699560108052
2016-09-20,18.359036711191152
2016-09-21,31.21036240902496
2016-09-22,29.37445873790584
2016-09-23,26.620603231227168
2016-09-24,17.441084875631592
2016-09-25,33.96421791570363
2016-09-26,9.179518355595576
2016-09-27,22.94879588898894
2016-09-28,33.96421791570363
2016-09-29,31.21036240902496
2016-09-30,11.015422026714692
2016-10-01,14.785166981148308
2016-10-02,14.096873727496401
2016-10-03,32.71764614793447
2016-10-04,23.767786374246537
2016-10-05,59.37032650650089
2016-10-06,40.84783294429374
2016-10-07,30.095170364932528
2016-10-08,24.390560389077834
2016-10-09,27.603391813536284
2016-10-10,51.96119258320382
2016-10-11,35.60254013225435
2016-10-12,80.81081491847375
2016-10-13,71.04128216745718
2016-10-14,82.41671876164968
2016-10-15,59.304807267680275
2016-10-16,64.68113855736088
2016-10-17,50.15838977753052
2016-10-18,45.56863059973274
2016-10-19,37.50396304219407
2016-10-20,68.4181238923842
2016-10-21,54.64952885106189
2016-10-22,34.651828677284485
2016-10-23,26.58716111974582
2016-10-24,35.40598241579252
2016-10-25,31.20967991695391
2016-10-26,33.73387684172493
2016-10-27,32.22591061074438
2016-10-28,40.22505892946244
2016-10-29,30.094829118897003
2016-10-30,25.80024776182747
2016-10-31,27.472353335895072
2016-11-01,35.56978051284404
