date,marco rubio
2016-05-01,13.74945054945055
2016-05-02,14.558241758241758
2016-05-03,14.558241758241758
2016-05-04,45.292307692307695
2016-05-05,28.307692307692307
2016-05-06,17.793406593406594
2016-05-07,17.793406593406594
2016-05-08,15.367032967032968
2016-05-09,15.367032967032968
2016-05-10,19.410989010989013
2016-05-11,16.175824175824175
2016-05-12,12.94065934065934
2016-05-13,12.131868131868131
2016-05-14,8.087912087912088
2016-05-15,9.705494505494507
2016-05-16,9.705494505494507
2016-05-17,19.410989010989013
2016-05-18,11.323076923076924
2016-05-19,8.896703296703297
2016-05-20,8.896703296703297
2016-05-21,8.896703296703297
2016-05-22,6.47032967032967
2016-05-23,7.279120879120879
2016-05-24,6.47032967032967
2016-05-25,6.47032967032967
2016-05-26,11.323076923076924
2016-05-27,23.454945054945057
2016-05-28,16.984615384615385
2016-05-29,15.367032967032968
2016-05-30,11.323076923076924
2016-05-31,9.705494505494507
2016-06-01,11.323076923076924
2016-06-02,8.087912087912088
2016-06-03,9.705494505494507
2016-06-04,7.279120879120879
2016-06-05,7.279120879120879
2016-06-06,6.47032967032967
2016-06-07,10.514285714285714
2016-06-08,9.705494505494507
2016-06-09,8.896703296703297
2016-06-10,9.705494505494507
2016-06-11,7.279120879120879
2016-06-12,20.21978021978022
2016-06-13,13.74945054945055
2016-06-14,10.514285714285714
2016-06-15,11.323076923076924
2016-06-16,15.367032967032968
2016-06-17,15.367032967032968
2016-06-18,10.514285714285714
2016-06-19,11.323076923076924
2016-06-20,8.896703296703297
2016-06-21,12.94065934065934
2016-06-22,33.16043956043956
2016-06-23,17.793406593406594
2016-06-24,8.087912087912088
2016-06-25,8.087912087912088
2016-06-26,8.896703296703297
2016-06-27,5.661538461538462
2016-06-28,7.279120879120879
2016-06-29,5.661538461538462
2016-06-30,5.661538461538462
2016-07-01,6.47032967032967
2016-07-02,8.087912087912088
2016-07-03,5.661538461538462
2016-07-04,4.852747252747253
2016-07-05,5.661538461538462
2016-07-06,6.47032967032967
2016-07-07,6.47032967032967
2016-07-08,7.279120879120879
2016-07-09,5.661538461538462
2016-07-10,6.47032967032967
2016-07-11,5.661538461538462
2016-07-12,5.661538461538462
2016-07-13,5.661538461538462
2016-07-14,5.661538461538462
2016-07-15,5.661538461538462
2016-07-16,7.279120879120879
2016-07-17,6.47032967032967
2016-07-18,8.896703296703297
2016-07-19,12.131868131868131
2016-07-20,16.175824175824175
2016-07-21,80.87912087912088
2016-07-22,18.602197802197804
2016-07-23,8.896703296703297
2016-07-24,11.323076923076924
2016-07-25,7.279120879120879
2016-07-26,7.279120879120879
2016-07-27,7.279120879120879
2016-07-28,8.896703296703297
2016-07-29,9.705494505494507
2016-07-30,8.087912087912088
2016-07-31,6.47032967032967
2016-08-01,8.896703296703297
2016-08-02,8.896703296703297
2016-08-03,10.514285714285714
2016-08-04,7.279120879120879
2016-08-05,6.47032967032967
2016-08-06,5.661538461538462
2016-08-07,10.514285714285714
2016-08-08,8.896703296703297
2016-08-09,8.087912087912088
2016-08-10,6.47032967032967
2016-08-11,5.661538461538462
2016-08-12,6.47032967032967
2016-08-13,6.47032967032967
2016-08-14,4.852747252747253
2016-08-15,5.661538461538462
2016-08-16,5.661538461538462
2016-08-17,4.852747252747253
2016-08-18,4.852747252747253
2016-08-19,5.661538461538462
2016-08-20,5.661538461538462
2016-08-21,4.043956043956044
2016-08-22,4.043956043956044
2016-08-23,4.852747252747253
2016-08-24,4.852747252747253
2016-08-25,4.852747252747253
2016-08-26,6.47032967032967
2016-08-27,4.043956043956044
2016-08-28,4.852747252747253
2016-08-29,5.661538461538462
2016-08-30,12.131868131868131
2016-08-31,25.88131868131868
2016-09-01,5.661538461538462
2016-09-02,4.852747252747253
2016-09-03,4.852747252747253
2016-09-04,3.235164835164835
2016-09-05,4.043956043956044
2016-09-06,4.043956043956044
2016-09-07,5.661538461538462
2016-09-08,5.661538461538462
2016-09-09,4.852747252747253
2016-09-10,3.235164835164835
2016-09-11,4.852747252747253
2016-09-12,5.661538461538462
2016-09-13,4.852747252747253
2016-09-14,4.852747252747253
2016-09-15,5.661538461538462
2016-09-16,4.852747252747253
2016-09-17,4.852747252747253
2016-09-18,4.043956043956044
2016-09-19,4.852747252747253
2016-09-20,5.661538461538462
2016-09-21,4.852747252747253
2016-09-22,5.661538461538462
2016-09-23,7.279120879120879
2016-09-24,4.043956043956044
2016-09-25,4.852747252747253
2016-09-26,5.661538461538462
2016-09-27,11.323076923076924
2016-09-28,8.087912087912088
2016-09-29,8.087912087912088
2016-09-30,8.087912087912088
2016-10-01,8.043956043956044
2016-10-02,5.830769230769231
2016-10-03,5.426373626373627
2016-10-04,5.426373626373627
2016-10-05,5.330769230769231
2016-10-06,6.735164835164835
2016-10-07,6.235164835164835
2016-10-08,13.374725274725275
2016-10-09,12.97032967032967
2016-10-10,13.874725274725275
2016-10-11,15.683516483516485
2016-10-12,15.279120879120878
2016-10-13,11.161538461538463
2016-10-14,10.257142857142856
2016-10-15,7.139560439560439
2016-10-16,8.448351648351649
2016-10-17,11.661538461538463
2016-10-18,17.396703296703297
2016-10-19,20.514285714285712
2016-10-20,23.323076923076925
2016-10-21,15.374725274725275
2016-10-22,9.757142857142856
2016-10-23,11.161538461538463
2016-10-24,11.161538461538463
2016-10-25,16.087912087912088
2016-10-26,15.183516483516485
2016-10-27,16.49230769230769
2016-10-28,12.97032967032967
2016-10-29,7.639560439560439
2016-10-30,9.043956043956044
2016-10-31,9.757142857142856
2016-11-01,9.257142857142856
2016-11-02,10.0
