date,obama leaks
2016-11-30,3.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,1.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,3.0
2016-12-10,2.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,1.0
2016-12-14,1.0
2016-12-15,0.0
2016-12-16,1.0
2016-12-17,5.0
2016-12-18,6.0
2016-12-19,3.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,3.0
2016-12-24,2.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,1.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,3.0
2017-01-05,1.0
2017-01-06,4.0
2017-01-07,0.0
2017-01-08,3.0
2017-01-09,1.0
2017-01-10,0.0
2017-01-11,1.0
2017-01-12,1.0
2017-01-13,1.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,10.0
2017-01-19,8.0
2017-01-20,4.0
2017-01-21,4.0
2017-01-22,1.0
2017-01-23,2.0
2017-01-24,3.0
2017-01-25,0.0
2017-01-26,1.0
2017-01-27,1.0
2017-01-28,6.0
2017-01-29,1.0
2017-01-30,3.0
2017-01-31,3.0
2017-02-01,1.0
2017-02-02,4.0
2017-02-03,0.0
2017-02-04,3.0
2017-02-05,1.0
2017-02-06,0.0
2017-02-07,1.0
2017-02-08,4.0
2017-02-09,1.0
2017-02-10,1.0
2017-02-11,1.0
2017-02-12,0.0
2017-02-13,1.0
2017-02-14,4.0
2017-02-15,13.0
2017-02-16,8.0
2017-02-17,7.0
2017-02-18,7.0
2017-02-19,3.0
2017-02-20,3.0
2017-02-21,6.0
2017-02-22,1.0
2017-02-23,3.0
2017-02-24,1.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,1.0
2017-02-28,100.0
2017-03-01,18.006134969325153
2017-03-02,6.3128834355828225
2017-03-03,7.159509202453988
2017-03-04,4.088957055214724
2017-03-05,6.950920245398773
2017-03-06,4.570552147239264
2017-03-07,6.2607361963190185
2017-03-08,27.803680981595093
2017-03-09,7.346625766871165
2017-03-10,4.208588957055214
2017-03-11,2.0521472392638036
2017-03-12,1.0521472392638036
2017-03-13,0.0
2017-03-14,1.8282208588957056
2017-03-15,2.570552147239264
2017-03-16,1.5521472392638036
2017-03-17,2.604294478527607
2017-03-18,1.0521472392638036
2017-03-19,1.0521472392638036
2017-03-20,6.122699386503068
2017-03-21,1.2423312883435584
2017-03-22,1.9662576687116564
2017-03-23,1.0521472392638036
2017-03-24,2.0521472392638036
2017-03-25,0.5521472392638037
2017-03-26,2.0521472392638036
2017-03-27,0.5
2017-03-28,0.5521472392638037
2017-03-29,2.8282208588957056
2017-03-30,4.432515337423313
2017-03-31,3.932515337423313
2017-04-01,1.2423312883435584
2017-04-02,3.588957055214724
2017-04-03,2.208588957055215
2017-04-04,3.0368098159509205
2017-04-05,1.1042944785276074
2017-04-06,1.1042944785276074
2017-04-07,3.3128834355828225
2017-04-08,1.3803680981595092
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,1.1042944785276074
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,1.1042944785276074
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,1.1042944785276074
2017-05-04,0.0
2017-05-05,2.208588957055215
2017-05-06,1.932515337423313
2017-05-07,3.588957055214724
2017-05-08,1.1042944785276074
2017-05-09,1.1042944785276074
2017-05-10,1.1042944785276074
2017-05-11,1.1042944785276074
2017-05-12,0.0
2017-05-13,3.588957055214724
2017-05-14,0.0
2017-05-15,1.1042944785276074
2017-05-16,3.588957055214724
2017-05-17,4.141104294478528
2017-05-18,5.245398773006135
2017-05-19,3.3128834355828225
2017-05-20,1.3803680981595092
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,3.0368098159509205
2017-05-24,1.1042944785276074
2017-05-25,14.355828220858896
2017-05-26,3.3128834355828225
2017-05-27,1.3803680981595092
2017-05-28,2.484662576687117
2017-05-29,2.208588957055215
2017-05-30,1.1042944785276074
2017-05-31,1.6564417177914113
2017-06-01,1.1042944785276074
2017-06-02,0.0
2017-06-03,0.0
