date,putin book
2016-05-01,32.93231649189705
2016-05-02,14.318398474737846
2016-05-03,40.80743565300286
2016-05-04,27.9208770257388
2016-05-05,14.318398474737846
2016-05-06,15.034318398474738
2016-05-07,33.64823641563394
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,41.52335557673975
2016-05-11,0.0
2016-05-12,27.9208770257388
2016-05-13,14.318398474737846
2016-05-14,16.466158245948524
2016-05-15,16.466158245948524
2016-05-16,27.9208770257388
2016-05-17,0.0
2016-05-18,13.602478551000953
2016-05-19,14.318398474737846
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,16.466158245948524
2016-05-23,0.0
2016-05-24,41.52335557673975
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,15.034318398474738
2016-05-28,32.93231649189705
2016-05-29,0.0
2016-05-30,28.63679694947569
2016-05-31,0.0
2016-06-01,13.602478551000953
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,13.602478551000953
2016-06-08,0.0
2016-06-09,14.318398474737846
2016-06-10,14.318398474737846
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,13.602478551000953
2016-06-15,27.9208770257388
2016-06-16,0.0
2016-06-17,14.318398474737846
2016-06-18,0.0
2016-06-19,32.93231649189705
2016-06-20,0.0
2016-06-21,13.602478551000953
2016-06-22,42.239275500476644
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,16.466158245948524
2016-06-27,13.602478551000953
2016-06-28,0.0
2016-06-29,42.239275500476644
2016-06-30,14.318398474737846
2016-07-01,15.034318398474738
2016-07-02,17.182078169685415
2016-07-03,0.0
2016-07-04,15.034318398474738
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,17.182078169685415
2016-07-10,16.466158245948524
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,14.318398474737846
2016-07-14,0.0
2016-07-15,15.034318398474738
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,14.318398474737846
2016-07-20,28.63679694947569
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,16.466158245948524
2016-07-25,14.318398474737846
2016-07-26,27.9208770257388
2016-07-27,28.63679694947569
2016-07-28,71.59199237368922
2016-07-29,0.0
2016-07-30,17.182078169685415
2016-07-31,50.11439466158246
2016-08-01,14.318398474737846
2016-08-02,28.63679694947569
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,15.034318398474738
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,42.239275500476644
2016-08-09,28.63679694947569
2016-08-10,14.318398474737846
2016-08-11,57.989513822688274
2016-08-12,29.352716873212582
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,16.466158245948524
2016-08-22,14.318398474737846
2016-08-23,28.63679694947569
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,15.034318398474738
2016-08-27,0.0
2016-08-28,16.466158245948524
2016-08-29,0.0
2016-08-30,13.602478551000953
2016-08-31,0.0
2016-09-01,27.9208770257388
2016-09-02,14.318398474737846
2016-09-03,16.466158245948524
2016-09-04,15.75023832221163
2016-09-05,14.318398474737846
2016-09-06,0.0
2016-09-07,27.9208770257388
2016-09-08,42.239275500476644
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,31.50047664442326
2016-09-12,13.602478551000953
2016-09-13,13.602478551000953
2016-09-14,40.80743565300286
2016-09-15,42.239275500476644
2016-09-16,14.318398474737846
2016-09-17,15.75023832221163
2016-09-18,30.784556720686368
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,27.204957102001906
2016-09-22,13.602478551000953
2016-09-23,14.318398474737846
2016-09-24,15.75023832221163
2016-09-25,0.0
2016-09-26,27.204957102001906
2016-09-27,40.091515729265964
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,16.875119161105815
2016-10-02,40.05147759771211
2016-10-03,35.04575786463298
2016-10-04,7.5
2016-10-05,20.744518589132507
2016-10-06,14.301239275500476
2016-10-07,0.0
2016-10-08,18.0
2016-10-09,42.75023832221163
2016-10-10,0.0
2016-10-11,36.24451858913251
2016-10-12,6.8012392755004765
2016-10-13,22.30123927550048
2016-10-14,27.56291706387035
2016-10-15,16.875119161105815
2016-10-16,9.0
2016-10-17,13.943279313632031
2016-10-18,26.13107721639657
2016-10-19,21.443279313632033
2016-10-20,35.54575786463298
2016-10-21,35.204957102001906
2016-10-22,32.892278360343184
2016-10-23,41.392278360343184
2016-10-24,34.68779790276454
2016-10-25,35.386558627264066
2016-10-26,13.943279313632031
2016-10-27,41.989037178265015
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,75.28455672068637
2016-10-31,0.0
2016-11-01,29.102478551000953
2016-11-02,15.0
2016-11-03,15.0
2016-11-04,31.0
2016-11-05,17.0
2016-11-06,17.0
2016-11-07,15.0
2016-11-08,15.0
2016-11-09,14.0
2016-11-10,30.0
2016-11-11,16.0
2016-11-12,70.0
2016-11-13,34.0
2016-11-14,30.0
2016-11-15,60.0
2016-11-16,45.0
2016-11-17,46.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,15.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,47.0
2016-11-26,17.0
2016-11-27,17.0
2016-11-28,29.0
2016-11-29,15.0
2016-11-30,15.0
2016-12-01,30.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,15.0
2016-12-06,59.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,20.0
2016-12-11,36.0
2016-12-12,29.0
2016-12-13,44.0
2016-12-14,60.0
2016-12-15,15.0
2016-12-16,48.0
2016-12-17,71.0
2016-12-18,0.0
2016-12-19,46.0
2016-12-20,46.0
2016-12-21,16.0
2016-12-22,0.0
2016-12-23,33.0
2016-12-24,19.0
2016-12-25,58.0
2016-12-26,34.0
2016-12-27,16.0
2016-12-28,32.0
2016-12-29,16.0
2016-12-30,50.0
2016-12-31,74.0
2017-01-01,38.0
2017-01-02,0.0
2017-01-03,30.0
2017-01-04,29.0
2017-01-05,0.0
2017-01-06,16.0
2017-01-07,17.0
2017-01-08,33.0
2017-01-09,43.0
2017-01-10,14.0
2017-01-11,44.0
2017-01-12,58.0
2017-01-13,15.0
2017-01-14,17.0
2017-01-15,17.0
2017-01-16,29.0
2017-01-17,0.0
2017-01-18,14.0
2017-01-19,29.0
2017-01-20,0.0
2017-01-21,34.0
2017-01-22,0.0
2017-01-23,71.0
2017-01-24,72.0
2017-01-25,0.0
2017-01-26,59.0
2017-01-27,30.0
2017-01-28,85.0
2017-01-29,34.0
2017-01-30,29.0
2017-01-31,43.0
2017-02-01,0.0
2017-02-02,28.0
2017-02-03,30.0
2017-02-04,33.0
2017-02-05,32.0
2017-02-06,29.0
2017-02-07,100.0
2017-02-08,29.0
2017-02-09,14.0
2017-02-10,0.0
2017-02-11,17.0
2017-02-12,17.0
2017-02-13,14.0
2017-02-14,29.0
2017-02-15,58.0
2017-02-16,14.0
2017-02-17,0.0
2017-02-18,34.0
2017-02-19,33.0
2017-02-20,15.0
2017-02-21,29.0
2017-02-22,0.0
2017-02-23,14.0
2017-02-24,15.0
2017-02-25,34.0
2017-02-26,50.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,7.0
2017-03-02,25.376373626373628
2017-03-03,18.67032967032967
2017-03-04,30.673076923076923
2017-03-05,5.8791208791208796
2017-03-06,12.291208791208792
2017-03-07,17.582417582417584
2017-03-08,19.291208791208792
2017-03-09,12.291208791208792
2017-03-10,13.085164835164836
2017-03-11,21.14010989010989
2017-03-12,8.0
2017-03-13,31.876373626373628
2017-03-14,56.95879120879121
2017-03-15,17.876373626373628
2017-03-16,19.291208791208792
2017-03-17,16.755494505494507
2017-03-18,6.173076923076923
2017-03-19,30.673076923076923
2017-03-20,0.0
2017-03-21,17.876373626373628
2017-03-22,12.291208791208792
2017-03-23,30.66758241758242
2017-03-24,13.085164835164836
2017-03-25,14.967032967032967
2017-03-26,34.074175824175825
2017-03-27,17.582417582417584
2017-03-28,41.25
2017-03-29,23.961538461538463
2017-03-30,16.755494505494507
2017-03-31,18.964285714285715
2017-04-01,29.64010989010989
2017-04-02,0.0
2017-04-03,32.92307692307693
2017-04-04,21.752747252747252
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,22.92857142857143
2017-04-08,12.934065934065934
2017-04-09,26.456043956043956
2017-04-10,33.510989010989015
2017-04-11,11.170329670329672
2017-04-12,11.170329670329672
2017-04-13,22.92857142857143
2017-04-14,12.934065934065934
2017-04-15,13.521978021978022
2017-04-16,13.521978021978022
2017-04-17,11.758241758241759
2017-04-18,0.0
2017-04-19,32.33516483516484
2017-04-20,33.510989010989015
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,12.346153846153847
2017-04-24,11.170329670329672
2017-04-25,0.0
2017-04-26,32.33516483516484
2017-04-27,21.752747252747252
2017-04-28,11.170329670329672
2017-04-29,12.934065934065934
2017-04-30,12.934065934065934
2017-05-01,11.758241758241759
2017-05-02,32.92307692307693
2017-05-03,32.33516483516484
2017-05-04,11.170329670329672
2017-05-05,11.170329670329672
2017-05-06,12.934065934065934
2017-05-07,25.86813186813187
2017-05-08,0.0
2017-05-09,32.92307692307693
2017-05-10,32.92307692307693
2017-05-11,22.340659340659343
2017-05-12,11.170329670329672
2017-05-13,12.934065934065934
2017-05-14,12.934065934065934
2017-05-15,54.675824175824175
2017-05-16,32.92307692307693
2017-05-17,21.752747252747252
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,11.170329670329672
2017-05-23,0.0
2017-05-24,22.340659340659343
2017-05-25,22.92857142857143
2017-05-26,11.758241758241759
2017-05-27,40.565934065934066
2017-05-28,0.0
2017-05-29,22.92857142857143
2017-05-30,0.0
2017-05-31,11.170329670329672
2017-06-01,11.170329670329672
2017-06-02,58.791208791208796
2017-06-03,12.934065934065934
