date,french election
2016-05-01,0.030577207799708083
2016-05-02,0.0687987175493432
2016-05-03,0.09682782469907561
2016-05-04,0.07389491884929454
2016-05-05,0.0586063149494405
2016-05-06,0.17327084419834585
2016-05-07,0.05096201299951348
2016-05-08,0.06625061689936752
2016-05-09,0.117212629898881
2016-05-10,0.09173162339912426
2016-05-11,0.09173162339912426
2016-05-12,0.030577207799708083
2016-05-13,0.01274050324987837
2016-05-14,0.022932905849781065
2016-05-15,0.05096201299951348
2016-05-16,0.061154415599416166
2016-05-17,0.07389491884929454
2016-05-18,0.10447212664900264
2016-05-19,0.08153922079922156
2016-05-20,0.08408732144919724
2016-05-21,0.07389491884929454
2016-05-22,0.05096201299951348
2016-05-23,0.061154415599416166
2016-05-24,0.117212629898881
2016-05-25,0.08663542209917292
2016-05-26,0.07134681819931887
2016-05-27,0.0586063149494405
2016-05-28,0.07389491884929454
2016-05-29,0.05096201299951348
2016-05-30,0.07644301949927022
2016-05-31,0.03822150974963511
2016-06-01,0.09427972404909993
2016-06-02,0.08153922079922156
2016-06-03,0.08408732144919724
2016-06-04,0.05351011364948915
2016-06-05,0.09427972404909993
2016-06-06,0.04331771104958646
2016-06-07,0.030577207799708083
2016-06-08,0.12485693184880801
2016-06-09,0.04331771104958646
2016-06-10,0.02038480519980539
2016-06-11,0.022932905849781065
2016-06-12,0.02802910714973241
2016-06-13,0.048413912349537805
2016-06-14,0.03822150974963511
2016-06-15,0.05096201299951348
2016-06-16,0.02548100649975674
2016-06-17,0.03822150974963511
2016-06-18,0.030577207799708083
2016-06-19,0.030577207799708083
2016-06-20,0.0687987175493432
2016-06-21,0.05096201299951348
2016-06-22,0.03822150974963511
2016-06-23,0.05096201299951348
2016-06-24,0.12485693184880801
2016-06-25,0.09682782469907561
2016-06-26,0.12485693184880801
2016-06-27,0.08153922079922156
2016-06-28,0.1070202272989783
2016-06-29,0.10192402599902696
2016-06-30,0.06370251624939184
2016-07-01,0.07899112014924589
2016-07-02,0.15033793834856476
2016-07-03,0.15288603899854045
2016-07-04,0.09937592534905128
2016-07-05,0.08408732144919724
2016-07-06,0.07134681819931887
2016-07-07,0.09173162339912426
2016-07-08,0.04586581169956213
2016-07-09,0.03822150974963511
2016-07-10,0.04586581169956213
2016-07-11,0.08153922079922156
2016-07-12,0.03822150974963511
2016-07-13,0.0586063149494405
2016-07-14,0.05096201299951348
2016-07-15,0.25481006499756736
2016-07-16,0.08918352274914859
2016-07-17,0.0687987175493432
2016-07-18,0.08408732144919724
2016-07-19,0.06370251624939184
2016-07-20,0.02548100649975674
2016-07-21,0.12485693184880801
2016-07-22,0.08663542209917292
2016-07-23,0.04586581169956213
2016-07-24,0.08153922079922156
2016-07-25,0.03822150974963511
2016-07-26,0.1656265422484188
2016-07-27,0.05096201299951348
2016-07-28,0.06370251624939184
2016-07-29,0.05351011364948915
2016-07-30,0.03822150974963511
2016-07-31,0.03822150974963511
2016-08-01,0.03822150974963511
2016-08-02,0.08918352274914859
2016-08-03,0.07134681819931887
2016-08-04,0.06370251624939184
2016-08-05,0.061154415599416166
2016-08-06,0.061154415599416166
2016-08-07,0.03822150974963511
2016-08-08,0.030577207799708083
2016-08-09,0.03822150974963511
2016-08-10,0.03822150974963511
2016-08-11,0.02038480519980539
2016-08-12,0.02548100649975674
2016-08-13,0.04586581169956213
2016-08-14,0.030577207799708083
2016-08-15,0.02548100649975674
2016-08-16,0.02548100649975674
2016-08-17,0.06370251624939184
2016-08-18,0.03822150974963511
2016-08-19,0.02548100649975674
2016-08-20,0.015288603899854042
2016-08-21,0.02802910714973241
2016-08-22,0.03822150974963511
2016-08-23,0.05605821429946482
2016-08-24,0.0687987175493432
2016-08-25,0.06370251624939184
2016-08-26,0.03822150974963511
2016-08-27,0.05096201299951348
2016-08-28,0.0586063149494405
2016-08-29,0.05605821429946482
2016-08-30,0.07899112014924589
2016-08-31,0.08663542209917292
2016-09-01,0.0687987175493432
2016-09-02,0.04586581169956213
2016-09-03,0.04331771104958646
2016-09-04,0.07389491884929454
2016-09-05,0.05605821429946482
2016-09-06,0.06625061689936752
2016-09-07,0.10447212664900264
2016-09-08,0.05096201299951348
2016-09-09,0.08153922079922156
2016-09-10,0.07899112014924589
2016-09-11,0.07899112014924589
2016-09-12,0.04331771104958646
2016-09-13,0.048413912349537805
2016-09-14,0.09682782469907561
2016-09-15,0.10447212664900264
2016-09-16,0.07644301949927022
2016-09-17,0.05096201299951348
2016-09-18,0.06370251624939184
2016-09-19,0.048413912349537805
2016-09-20,0.09427972404909993
2016-09-21,0.07134681819931887
2016-09-22,0.061154415599416166
2016-09-23,0.0586063149494405
2016-09-24,0.02802910714973241
2016-09-25,0.05605821429946482
2016-09-26,0.11466452924890533
2016-09-27,0.11976073054885668
2016-09-28,0.10956832794895398
2016-09-29,0.09682782469907561
2016-09-30,0.07644301949927022
2016-10-01,0.03315330955572745
2016-10-02,0.11092638159207288
2016-10-03,0.07395092106138193
2016-10-04,0.11984473386698773
2016-10-05,0.08671942541730399
2016-10-06,0.10452812886109
2016-10-07,0.1185706835419999
2016-10-08,0.11854268243595623
2016-10-09,0.07012877008641841
2016-10-10,0.09815787723615083
2016-10-11,0.12239283451696342
2016-10-12,0.08159522301130893
2016-10-13,0.10200802931715802
2016-10-14,0.1568201943976787
2016-10-15,0.07267687073639409
2016-10-16,0.08923952496123597
2016-10-17,0.10710423061710936
2016-10-18,0.12239283451696342
2016-10-19,0.1185706835419999
2016-10-20,0.1326132382229098
2016-10-21,0.11220043191706072
