date,intelligence
2016-12-14,28.141680395387148
2016-12-15,27.750823723228994
2016-12-16,24.2331136738056
2016-12-17,21.106260296540363
2016-12-18,22.66968698517298
2016-12-19,23.842257001647447
2016-12-20,25.01482701812191
2016-12-21,24.623970345963755
2016-12-22,23.45140032948929
2016-12-23,21.497116968698517
2016-12-24,19.933690280065896
2016-12-25,19.151976935749587
2016-12-26,19.933690280065896
2016-12-27,19.933690280065896
2016-12-28,22.66968698517298
2016-12-29,22.66968698517298
2016-12-30,22.278830313014826
2016-12-31,19.933690280065896
2017-01-01,21.88797364085667
2017-01-02,23.060543657331134
2017-01-03,25.405683690280064
2017-01-04,31.268533772652386
2017-01-05,30.877677100494232
2017-01-06,37.522240527182866
2017-01-07,38.694810543657326
2017-01-08,30.486820428336078
2017-01-09,29.314250411861615
2017-01-10,27.750823723228994
2017-01-11,37.91309719934102
2017-01-12,34.395387149917624
2017-01-13,28.923393739703457
2017-01-14,24.2331136738056
2017-01-15,23.45140032948929
2017-01-16,26.187397034596373
2017-01-17,26.969110378912685
2017-01-18,26.187397034596373
2017-01-19,28.532537067545302
2017-01-20,25.01482701812191
2017-01-21,20.715403624382205
2017-01-22,23.45140032948929
2017-01-23,25.01482701812191
2017-01-24,27.750823723228994
2017-01-25,26.187397034596373
2017-01-26,27.35996705107084
2017-01-27,27.35996705107084
2017-01-28,21.88797364085667
2017-01-29,25.405683690280064
2017-01-30,27.750823723228994
2017-01-31,29.314250411861615
2017-02-01,28.141680395387148
2017-02-02,25.405683690280064
2017-02-03,25.01482701812191
2017-02-04,22.278830313014826
2017-02-05,21.88797364085667
2017-02-06,25.79654036243822
2017-02-07,27.750823723228994
2017-02-08,25.79654036243822
2017-02-09,26.57825370675453
2017-02-10,25.01482701812191
2017-02-11,21.497116968698517
2017-02-12,29.314250411861615
2017-02-13,30.095963756177923
2017-02-14,28.532537067545302
2017-02-15,31.65939044481054
2017-02-16,39.085667215815484
2017-02-17,29.314250411861615
2017-02-18,27.750823723228994
2017-02-19,25.79654036243822
2017-02-20,28.141680395387148
2017-02-21,28.141680395387148
2017-02-22,28.923393739703457
2017-02-23,25.79654036243822
2017-02-24,25.405683690280064
2017-02-25,24.623970345963755
2017-02-26,24.2331136738056
2017-02-27,32.0502471169687
2017-02-28,29.70510708401977
2017-03-01,28.08522332051986
2017-03-02,29.568109846404738
2017-03-03,28.08522332051986
2017-03-04,22.801156956717087
2017-03-05,26.21148012247683
2017-03-06,29.568109846404738
2017-03-07,30.71383314196329
2017-03-08,29.79038490339973
2017-03-09,29.59495656732065
2017-03-10,26.575490073719067
2017-03-11,21.50027540645333
2017-03-12,23.56944694057544
2017-03-13,26.93950002496131
2017-03-14,27.70779000881966
2017-03-15,28.476079992678013
2017-03-16,27.134928361040387
2017-03-17,27.90321834489874
2017-03-18,23.764875276654518
2017-03-19,24.115461867438803
2017-03-20,34.26589120197028
2017-03-21,32.223566388764084
2017-03-22,30.89583811758441
2017-03-23,31.131536535037355
2017-03-24,28.280651656598934
2017-03-25,21.642010300700576
2017-03-26,23.2054369893332
2017-03-27,27.930065065814652
2017-03-28,31.091266453663486
2017-03-29,34.656747874128435
2017-03-30,36.17990448138718
2017-03-31,32.62784642138019
2017-04-01,24.688323515218077
2017-04-02,25.11668663571464
2017-04-03,28.756786148137053
2017-04-04,29.484806050621536
2017-04-05,28.756786148137053
2017-04-06,32.032875709317224
2017-04-07,26.572726440683606
2017-04-08,20.748567220807747
2017-04-09,22.932626928261193
2017-04-10,27.300746343168086
2017-04-11,27.300746343168086
2017-04-12,26.208716489441365
2017-04-13,26.208716489441365
2017-04-14,22.932626928261193
2017-04-15,21.11257717204999
2017-04-16,21.47658712329223
2017-04-17,25.48069658695688
2017-04-18,27.300746343168086
2017-04-19,26.936736391925848
2017-04-20,27.664756294410328
2017-04-21,26.208716489441365
2017-04-22,21.11257717204999
2017-04-23,22.932626928261193
2017-04-24,28.39277619689481
2017-04-25,28.02876624565257
2017-04-26,26.208716489441365
2017-04-27,26.936736391925848
2017-04-28,24.752676684472398
2017-04-29,18.928517464596542
2017-04-30,22.932626928261193
2017-05-01,26.208716489441365
2017-05-02,25.844706538199123
2017-05-03,26.572726440683606
2017-05-04,26.572726440683606
2017-05-05,24.752676684472398
2017-05-06,19.292527415838784
2017-05-07,21.47658712329223
2017-05-08,27.664756294410328
2017-05-09,25.48069658695688
2017-05-10,27.664756294410328
2017-05-11,28.02876624565257
2017-05-12,25.11668663571464
2017-05-13,19.65653736708102
2017-05-14,21.11257717204999
2017-05-15,26.936736391925848
2017-05-16,30.9408458555905
2017-05-17,28.756786148137053
2017-05-18,26.936736391925848
2017-05-19,24.752676684472398
2017-05-20,21.11257717204999
2017-05-21,20.748567220807747
2017-05-22,26.208716489441365
2017-05-23,30.212825953106016
2017-05-24,26.936736391925848
2017-05-25,28.39277619689481
2017-05-26,24.38866673323016
2017-05-27,19.65653736708102
2017-05-28,20.384557269565505
2017-05-29,22.56861697701895
2017-05-30,24.752676684472398
2017-05-31,25.48069658695688
2017-06-01,24.024656781987918
2017-06-02,22.932626928261193
2017-06-03,19.292527415838784
