date,hillary clinton scam
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,14.921812349639135
2016-05-05,0.0
2016-05-06,16.342937335319053
2016-05-07,18.47462481383893
2016-05-08,17.76406232099897
2016-05-09,14.921812349639135
2016-05-10,29.84362469927827
2016-05-11,29.84362469927827
2016-05-12,15.632374842479093
2016-05-13,15.632374842479093
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,30.554187192118224
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,15.632374842479093
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,14.921812349639135
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,18.47462481383893
2016-05-29,0.0
2016-05-30,15.632374842479093
2016-05-31,14.921812349639135
2016-06-01,14.921812349639135
2016-06-02,46.186562034597316
2016-06-03,24.159124756558597
2016-06-04,0.0
2016-06-05,27.00137472791843
2016-06-06,0.0
2016-06-07,14.921812349639135
2016-06-08,38.37037461335777
2016-06-09,15.632374842479093
2016-06-10,24.159124756558597
2016-06-11,71.05624928399588
2016-06-12,17.76406232099897
2016-06-13,0.0
2016-06-14,14.921812349639135
2016-06-15,14.921812349639135
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,18.47462481383893
2016-06-19,18.47462481383893
2016-06-20,0.0
2016-06-21,14.921812349639135
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,17.76406232099897
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,30.554187192118224
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,16.342937335319053
2016-07-02,18.47462481383893
2016-07-03,18.47462481383893
2016-07-04,16.342937335319053
2016-07-05,15.632374842479093
2016-07-06,24.159124756558597
2016-07-07,0.0
2016-07-08,32.68587467063811
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,15.632374842479093
2016-07-12,0.0
2016-07-13,15.632374842479093
2016-07-14,31.264749684958186
2016-07-15,15.632374842479093
2016-07-16,0.0
2016-07-17,18.47462481383893
2016-07-18,15.632374842479093
2016-07-19,15.632374842479093
2016-07-20,15.632374842479093
2016-07-21,24.159124756558597
2016-07-22,0.0
2016-07-23,18.47462481383893
2016-07-24,36.238687134837896
2016-07-25,38.37037461335777
2016-07-26,54.00274945583686
2016-07-27,39.08093710619774
2016-07-28,23.44856226371864
2016-07-29,16.342937335319053
2016-07-30,36.94924962767786
2016-07-31,18.47462481383893
2016-08-01,15.632374842479093
2016-08-02,15.632374842479093
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,16.342937335319053
2016-08-06,18.47462481383893
2016-08-07,0.0
2016-08-08,22.73799977087868
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,16.342937335319053
2016-08-13,0.0
2016-08-14,36.94924962767786
2016-08-15,0.0
2016-08-16,15.632374842479093
2016-08-17,15.632374842479093
2016-08-18,15.632374842479093
2016-08-19,47.60768702027724
2016-08-20,0.0
2016-08-21,17.76406232099897
2016-08-22,14.921812349639135
2016-08-23,54.00274945583686
2016-08-24,31.264749684958186
2016-08-25,46.89712452743728
2016-08-26,15.632374842479093
2016-08-27,0.0
2016-08-28,17.76406232099897
2016-08-29,14.921812349639135
2016-08-30,22.73799977087868
2016-08-31,14.921812349639135
2016-09-01,30.554187192118224
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,29.84362469927827
2016-09-07,22.73799977087868
2016-09-08,14.921812349639135
2016-09-09,38.37037461335777
2016-09-10,34.81756214915798
2016-09-11,51.87106197731699
2016-09-12,30.554187192118224
2016-09-13,14.921812349639135
2016-09-14,14.921812349639135
2016-09-15,37.65981212051781
2016-09-16,23.44856226371864
2016-09-17,26.290812235078477
2016-09-18,0.0
2016-09-19,29.84362469927827
2016-09-20,14.211249856799174
2016-09-21,0.0
2016-09-22,29.84362469927827
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,17.05349982815901
2016-09-26,36.94924962767786
2016-09-27,58.26612441287662
2016-09-28,14.921812349639135
2016-09-29,22.02743727803872
2016-09-30,15.632374842479093
2016-10-01,32.31512773513575
2016-10-02,15.584259365333947
2016-10-03,20.251460648413335
2016-10-04,19.75097376560889
2016-10-05,21.10722877763776
2016-10-06,24.660041241837554
2016-10-07,14.00160384923817
2016-10-08,7.412790697674419
2016-10-09,36.9174590445641
2016-10-10,44.701855882689884
2016-10-11,37.30539007904685
2016-10-12,31.07185817390308
2016-10-13,27.14743956925192
2016-10-14,6.540697674418604
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,7.105624928399587
2016-10-18,13.646322602818191
2016-10-19,23.804273112613128
2016-10-20,49.15941115820827
2016-10-21,27.647926452056364
2016-10-22,15.939540611753921
2016-10-23,31.52379997708787
2016-10-24,6.540697674418604
2016-10-25,20.315901019589873
2016-10-26,12.645348837209303
2016-10-27,34.18862412647497
2016-10-28,35.33523313094283
2016-10-29,32.654084087524346
2016-10-30,15.939540611753921
2016-10-31,21.46251002405774
2016-11-01,34.54390537289495
2016-11-02,51.45348837209302
2016-11-03,31.3953488372093
2016-11-04,52.325581395348834
2016-11-05,43.604651162790695
2016-11-06,35.75581395348837
2016-11-07,87.20930232558139
2016-11-08,43.604651162790695
2016-11-09,52.325581395348834
2016-11-10,31.3953488372093
2016-11-11,26.162790697674417
2016-11-12,21.802325581395348
2016-11-13,14.825581395348838
2016-11-14,18.313953488372093
2016-11-15,12.209302325581396
2016-11-16,12.209302325581396
