date,hillary clinton protest
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,2.848101265822785
2016-05-04,0.0
2016-05-05,5.126582278481013
2016-05-06,13.670886075949369
2016-05-07,0.0
2016-05-08,3.417721518987342
2016-05-09,3.037974683544304
2016-05-10,1.89873417721519
2016-05-11,3.79746835443038
2016-05-12,0.0
2016-05-13,2.088607594936709
2016-05-14,0.0
2016-05-15,2.278481012658228
2016-05-16,1.89873417721519
2016-05-17,0.0
2016-05-18,1.89873417721519
2016-05-19,1.89873417721519
2016-05-20,2.088607594936709
2016-05-21,0.0
2016-05-22,2.278481012658228
2016-05-23,1.89873417721519
2016-05-24,5.886075949367089
2016-05-25,3.987341772151899
2016-05-26,2.088607594936709
2016-05-27,0.0
2016-05-28,4.746835443037975
2016-05-29,2.278481012658228
2016-05-30,0.0
2016-05-31,5.886075949367089
2016-06-01,3.987341772151899
2016-06-02,3.987341772151899
2016-06-03,4.177215189873418
2016-06-04,2.468354430379747
2016-06-05,2.278481012658228
2016-06-06,1.89873417721519
2016-06-07,1.89873417721519
2016-06-08,3.987341772151899
2016-06-09,0.0
2016-06-10,4.177215189873418
2016-06-11,3.417721518987342
2016-06-12,2.278481012658228
2016-06-13,1.89873417721519
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,4.177215189873418
2016-06-18,2.278481012658228
2016-06-19,2.278481012658228
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,2.088607594936709
2016-06-23,2.088607594936709
2016-06-24,4.177215189873418
2016-06-25,0.0
2016-06-26,2.278481012658228
2016-06-27,1.89873417721519
2016-06-28,1.89873417721519
2016-06-29,1.89873417721519
2016-06-30,2.088607594936709
2016-07-01,4.177215189873418
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,5.126582278481013
2016-07-06,8.354430379746836
2016-07-07,2.088607594936709
2016-07-08,7.405063291139241
2016-07-09,4.746835443037975
2016-07-10,5.886075949367089
2016-07-11,3.987341772151899
2016-07-12,1.89873417721519
2016-07-13,3.037974683544304
2016-07-14,2.088607594936709
2016-07-15,3.037974683544304
2016-07-16,4.746835443037975
2016-07-17,3.607594936708861
2016-07-18,3.987341772151899
2016-07-19,2.088607594936709
2016-07-20,8.164556962025317
2016-07-21,0.0
2016-07-22,4.177215189873418
2016-07-23,2.468354430379747
2016-07-24,5.886075949367089
2016-07-25,7.974683544303798
2016-07-26,2.088607594936709
2016-07-27,11.012658227848101
2016-07-28,8.164556962025317
2016-07-29,12.721518987341772
2016-07-30,6.075949367088608
2016-07-31,4.746835443037975
2016-08-01,2.088607594936709
2016-08-02,0.0
2016-08-03,2.088607594936709
2016-08-04,2.088607594936709
2016-08-05,3.227848101265823
2016-08-06,2.468354430379747
2016-08-07,7.025316455696203
2016-08-08,0.0
2016-08-09,2.088607594936709
2016-08-10,2.088607594936709
2016-08-11,2.088607594936709
2016-08-12,2.088607594936709
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,3.227848101265823
2016-08-16,1.89873417721519
2016-08-17,3.987341772151899
2016-08-18,2.088607594936709
2016-08-19,0.0
2016-08-20,2.278481012658228
2016-08-21,2.278481012658228
2016-08-22,5.886075949367089
2016-08-23,7.974683544303798
2016-08-24,1.89873417721519
2016-08-25,2.088607594936709
2016-08-26,4.177215189873418
2016-08-27,7.025316455696203
2016-08-28,0.0
2016-08-29,2.848101265822785
2016-08-30,1.89873417721519
2016-08-31,1.89873417721519
2016-09-01,1.89873417721519
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,6.075949367088608
2016-09-06,1.89873417721519
2016-09-07,6.835443037974684
2016-09-08,3.987341772151899
2016-09-09,7.974683544303798
2016-09-10,3.417721518987342
2016-09-11,18.9873417721519
2016-09-12,8.924050632911394
2016-09-13,9.683544303797468
2016-09-14,3.79746835443038
2016-09-15,1.89873417721519
2016-09-16,3.037974683544304
2016-09-17,6.835443037974684
2016-09-18,0.0
2016-09-19,1.89873417721519
2016-09-20,1.89873417721519
2016-09-21,5.69620253164557
2016-09-22,1.89873417721519
2016-09-23,3.987341772151899
2016-09-24,2.278481012658228
2016-09-25,4.367088607594937
2016-09-26,2.848101265822785
2016-09-27,5.69620253164557
2016-09-28,3.79746835443038
2016-09-29,5.69620253164557
2016-09-30,3.987341772151899
2016-10-01,2.1392405063291138
2016-10-02,1.0443037974683544
2016-10-03,2.89873417721519
2016-10-04,1.0
2016-10-05,2.449367088607595
2016-10-06,0.0
2016-10-07,1.949367088607595
2016-10-08,1.139240506329114
2016-10-09,4.1835443037974684
2016-10-10,4.8734177215189876
2016-10-11,3.39873417721519
2016-10-12,1.949367088607595
2016-10-13,2.449367088607595
2016-10-14,1.0
2016-10-15,3.6835443037974684
2016-10-16,1.0
2016-10-17,1.0
2016-10-18,8.151898734177216
2016-10-19,5.253164556962025
2016-10-20,5.253164556962025
2016-10-21,5.348101265822785
2016-10-22,2.7531645569620253
2016-10-23,1.0
2016-10-24,3.4240506329113924
2016-10-25,3.3037974683544302
2016-10-26,1.949367088607595
2016-10-27,4.3734177215189876
2016-10-28,12.88607594936709
2016-10-29,6.822784810126583
2016-10-30,1.0
2016-10-31,4.8734177215189876
2016-11-01,2.449367088607595
2016-11-02,4.0
2016-11-03,7.0
2016-11-04,5.0
2016-11-05,3.0
2016-11-06,5.0
2016-11-07,7.0
2016-11-08,5.0
2016-11-09,69.0
2016-11-10,100.0
2016-11-11,63.0
2016-11-12,48.0
2016-11-13,29.0
2016-11-14,26.0
2016-11-15,20.0
2016-11-16,16.0
2016-11-17,8.0
2016-11-18,6.0
2016-11-19,12.0
2016-11-20,8.0
2016-11-21,5.0
2016-11-22,5.0
2016-11-23,7.0
2016-11-24,7.0
2016-11-25,2.0
2016-11-26,0.0
2016-11-27,6.0
2016-11-28,3.0
2016-11-29,4.0
2016-11-30,5.0
2016-12-01,2.0
2016-12-02,0.0
2016-12-03,2.0
2016-12-04,8.0
2016-12-05,4.0
2016-12-06,2.0
2016-12-07,3.0
2016-12-08,2.0
2016-12-09,2.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,2.0
2016-12-13,2.0
2016-12-14,0.0
2016-12-15,5.0
2016-12-16,0.0
2016-12-17,2.0
2016-12-18,4.0
2016-12-19,2.0
2016-12-20,3.0
2016-12-21,0.0
2016-12-22,2.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,3.0
2016-12-27,2.0
2016-12-28,0.0
2016-12-29,2.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,2.0
2017-01-04,3.0
2017-01-05,0.0
2017-01-06,2.0
