date,dinner
2016-12-14,29.649425287356323
2016-12-15,28.75095785440613
2016-12-16,28.75095785440613
2016-12-17,32.3448275862069
2016-12-18,36.837164750957854
2016-12-19,34.14176245210728
2016-12-20,35.04022988505747
2016-12-21,35.93869731800766
2016-12-22,37.735632183908045
2016-12-23,39.53256704980843
2016-12-24,44.92337164750958
2016-12-25,36.837164750957854
2016-12-26,26.055555555555557
2016-12-27,26.95402298850575
2016-12-28,28.75095785440613
2016-12-29,30.547892720306514
2016-12-30,32.3448275862069
2016-12-31,77.26819923371647
2017-01-01,32.3448275862069
2017-01-02,26.055555555555557
2017-01-03,25.157088122605366
2017-01-04,26.055555555555557
2017-01-05,25.157088122605366
2017-01-06,26.95402298850575
2017-01-07,27.85249042145594
2017-01-08,29.649425287356323
2017-01-09,26.055555555555557
2017-01-10,26.055555555555557
2017-01-11,26.055555555555557
2017-01-12,25.157088122605366
2017-01-13,26.055555555555557
2017-01-14,27.85249042145594
2017-01-15,27.85249042145594
2017-01-16,25.157088122605366
2017-01-17,26.055555555555557
2017-01-18,26.055555555555557
2017-01-19,26.055555555555557
2017-01-20,27.85249042145594
2017-01-21,28.75095785440613
2017-01-22,28.75095785440613
2017-01-23,24.258620689655174
2017-01-24,25.157088122605366
2017-01-25,25.157088122605366
2017-01-26,24.258620689655174
2017-01-27,25.157088122605366
2017-01-28,27.85249042145594
2017-01-29,28.75095785440613
2017-01-30,25.157088122605366
2017-01-31,26.055555555555557
2017-02-01,26.055555555555557
2017-02-02,25.157088122605366
2017-02-03,25.157088122605366
2017-02-04,27.85249042145594
2017-02-05,26.055555555555557
2017-02-06,25.157088122605366
2017-02-07,26.95402298850575
2017-02-08,26.055555555555557
2017-02-09,26.95402298850575
2017-02-10,26.95402298850575
2017-02-11,30.547892720306514
2017-02-12,32.3448275862069
2017-02-13,32.3448275862069
2017-02-14,39.53256704980843
2017-02-15,26.055555555555557
2017-02-16,23.360153256704983
2017-02-17,25.157088122605366
2017-02-18,26.95402298850575
2017-02-19,27.85249042145594
2017-02-20,25.157088122605366
2017-02-21,25.157088122605366
2017-02-22,25.157088122605366
2017-02-23,23.360153256704983
2017-02-24,23.360153256704983
2017-02-25,32.3448275862069
2017-02-26,45.821839080459775
2017-02-27,29.649425287356323
2017-02-28,26.95402298850575
2017-03-01,23.934932644871044
2017-03-02,23.788407192499626
2017-03-03,24.686874625449818
2017-03-04,26.493466850711044
2017-03-05,28.30005907597227
2017-03-06,24.686874625449818
2017-03-07,25.292291153657175
2017-03-08,24.843057437182075
2017-03-09,23.632224380767365
2017-03-10,24.843057437182075
2017-03-11,27.548117095393494
2017-03-12,28.905475604179628
2017-03-13,24.237640908974722
2017-03-14,24.237640908974722
2017-03-15,24.237640908974722
2017-03-16,25.594999417760853
2017-03-17,25.89770768186453
2017-03-18,27.548117095393494
2017-03-19,29.6574175847584
2017-03-20,26.044233134235945
2017-03-21,24.540349173078397
2017-03-22,23.788407192499626
2017-03-23,24.237640908974722
2017-03-24,24.237640908974722
2017-03-25,26.346941398339624
2017-03-26,28.60276734007595
2017-03-27,24.989582889553496
2017-03-28,24.989582889553496
2017-03-29,24.237640908974722
2017-03-30,24.989582889553496
2017-03-31,24.989582889553496
2017-04-01,26.346941398339624
2017-04-02,27.849160297538408
2017-04-03,24.822077656501623
2017-04-04,25.42749418470898
2017-04-05,26.032910712916337
2017-04-06,25.42749418470898
2017-04-07,24.822077656501623
2017-04-08,27.24374376933105
2017-04-09,29.66540988216048
2017-04-10,26.638327241123694
2017-04-11,27.849160297538408
2017-04-12,27.849160297538408
2017-04-13,27.849160297538408
2017-04-14,32.0870759949899
2017-04-15,32.69249252319726
2017-04-16,31.48165946678255
2017-04-17,24.21666112829427
2017-04-18,23.611244600086913
2017-04-19,23.611244600086913
2017-04-20,24.21666112829427
2017-04-21,24.21666112829427
