date,donald trump protest
2016-05-01,1.7708333333333333
2016-05-02,1.4166666666666665
2016-05-03,1.1333333333333333
2016-05-04,0.49583333333333335
2016-05-05,0.9208333333333333
2016-05-06,0.85
2016-05-07,0.7791666666666667
2016-05-08,0.9208333333333333
2016-05-09,0.9916666666666667
2016-05-10,0.7083333333333333
2016-05-11,0.49583333333333335
2016-05-12,0.7791666666666667
2016-05-13,0.425
2016-05-14,0.2833333333333333
2016-05-15,0.0
2016-05-16,0.35416666666666663
2016-05-17,0.7791666666666667
2016-05-18,0.0
2016-05-19,0.2833333333333333
2016-05-20,0.2833333333333333
2016-05-21,0.2833333333333333
2016-05-22,0.2833333333333333
2016-05-23,0.7791666666666667
2016-05-24,0.2833333333333333
2016-05-25,3.0458333333333334
2016-05-26,1.7
2016-05-27,1.6291666666666667
2016-05-28,2.2666666666666666
2016-05-29,0.425
2016-05-30,0.2833333333333333
2016-05-31,0.49583333333333335
2016-06-01,0.7791666666666667
2016-06-02,1.0625
2016-06-03,1.3458333333333332
2016-06-04,0.7791666666666667
2016-06-05,1.0625
2016-06-06,0.49583333333333335
2016-06-07,0.35416666666666663
2016-06-08,0.0
2016-06-09,0.49583333333333335
2016-06-10,0.6375
2016-06-11,0.7791666666666667
2016-06-12,0.2833333333333333
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,1.6291666666666667
2016-06-16,0.6375
2016-06-17,0.7791666666666667
2016-06-18,1.3458333333333332
2016-06-19,0.2833333333333333
2016-06-20,0.49583333333333335
2016-06-21,0.49583333333333335
2016-06-22,0.35416666666666663
2016-06-23,0.2833333333333333
2016-06-24,1.0625
2016-06-25,0.425
2016-06-26,0.2833333333333333
2016-06-27,0.49583333333333335
2016-06-28,0.49583333333333335
2016-06-29,0.2833333333333333
2016-06-30,0.2833333333333333
2016-07-01,0.2833333333333333
2016-07-02,0.2833333333333333
2016-07-03,0.0
2016-07-04,0.5666666666666667
2016-07-05,0.2833333333333333
2016-07-06,0.425
2016-07-07,0.2833333333333333
2016-07-08,2.0541666666666667
2016-07-09,1.5583333333333333
2016-07-10,0.6375
2016-07-11,0.7791666666666667
2016-07-12,0.7791666666666667
2016-07-13,0.9208333333333333
2016-07-14,0.49583333333333335
2016-07-15,1.3458333333333332
2016-07-16,2.7624999999999997
2016-07-17,0.7791666666666667
2016-07-18,7.0125
2016-07-19,7.083333333333333
2016-07-20,3.2583333333333333
2016-07-21,1.0625
2016-07-22,1.6291666666666667
2016-07-23,1.7
2016-07-24,1.3458333333333332
2016-07-25,0.9916666666666667
2016-07-26,0.9208333333333333
2016-07-27,1.0625
2016-07-28,0.7791666666666667
2016-07-29,0.85
2016-07-30,0.2833333333333333
2016-07-31,0.6375
2016-08-01,0.7791666666666667
2016-08-02,0.7791666666666667
2016-08-03,0.425
2016-08-04,0.49583333333333335
2016-08-05,0.7083333333333333
2016-08-06,0.0
2016-08-07,0.425
2016-08-08,0.7791666666666667
2016-08-09,0.49583333333333335
2016-08-10,0.6375
2016-08-11,0.49583333333333335
2016-08-12,0.5666666666666667
2016-08-13,0.2833333333333333
2016-08-14,0.9208333333333333
2016-08-15,0.5666666666666667
2016-08-16,0.35416666666666663
2016-08-17,0.35416666666666663
2016-08-18,0.2833333333333333
2016-08-19,0.5666666666666667
2016-08-20,0.2833333333333333
2016-08-21,0.2833333333333333
2016-08-22,0.49583333333333335
2016-08-23,0.49583333333333335
2016-08-24,0.2833333333333333
2016-08-25,0.425
2016-08-26,0.0
2016-08-27,0.2833333333333333
2016-08-28,0.5666666666666667
2016-08-29,0.7791666666666667
2016-08-30,0.9916666666666667
2016-08-31,0.85
2016-09-01,0.7791666666666667
2016-09-02,0.49583333333333335
2016-09-03,0.5666666666666667
2016-09-04,0.2833333333333333
2016-09-05,0.7791666666666667
2016-09-06,0.49583333333333335
2016-09-07,0.2833333333333333
2016-09-08,0.49583333333333335
2016-09-09,0.6375
2016-09-10,0.5666666666666667
2016-09-11,0.425
2016-09-12,0.9208333333333333
2016-09-13,0.35416666666666663
2016-09-14,0.2833333333333333
2016-09-15,0.49583333333333335
2016-09-16,0.425
2016-09-17,0.2833333333333333
2016-09-18,0.5666666666666667
2016-09-19,0.2125
2016-09-20,0.7083333333333333
2016-09-21,0.85
2016-09-22,0.9916666666666667
2016-09-23,0.6375
2016-09-24,0.2833333333333333
2016-09-25,0.5666666666666667
2016-09-26,0.49583333333333335
2016-09-27,0.35416666666666663
2016-09-28,0.2833333333333333
2016-09-29,0.7791666666666667
2016-09-30,0.6375
2016-10-01,0.2833333333333333
2016-10-02,0.2833333333333333
2016-10-03,0.0
2016-10-04,0.24791666666666667
2016-10-05,0.7479166666666667
2016-10-06,0.7479166666666667
2016-10-07,0.24791666666666667
2016-10-08,0.925
2016-10-09,0.7833333333333333
2016-10-10,0.7479166666666667
2016-10-11,0.8541666666666666
2016-10-12,0.7479166666666667
2016-10-13,0.35416666666666663
2016-10-14,0.6416666666666666
2016-10-15,0.14166666666666666
2016-10-16,1.0666666666666667
2016-10-17,0.10625
2016-10-18,0.8541666666666666
2016-10-19,0.35416666666666663
2016-10-20,1.1729166666666666
2016-10-21,0.60625
2016-10-22,0.2125
2016-10-23,0.14166666666666666
2016-10-24,0.24791666666666667
2016-10-25,0.6770833333333333
2016-10-26,0.7833333333333333
2016-10-27,0.60625
2016-10-28,0.17708333333333331
2016-10-29,0.2125
2016-10-30,0.7833333333333333
2016-10-31,0.81875
2016-11-01,0.425
2016-11-02,0.0
2016-11-03,1.0
2016-11-04,1.0
2016-11-05,1.0
