date,obama fraud
2016-05-01,5.992840095465394
2016-05-02,0.0
2016-05-03,4.994033412887829
2016-05-04,4.994033412887829
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,10.986873508353222
2016-05-08,0.0
2016-05-09,4.994033412887829
2016-05-10,4.994033412887829
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,4.994033412887829
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,8.989260143198091
2016-05-19,0.0
2016-05-20,14.982100238663485
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,4.994033412887829
2016-05-25,0.0
2016-05-26,9.988066825775658
2016-05-27,4.994033412887829
2016-05-28,0.0
2016-05-29,5.992840095465394
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,11.985680190930788
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,4.994033412887829
2016-06-08,0.0
2016-06-09,23.971360381861576
2016-06-10,9.988066825775658
2016-06-11,27.966587112171837
2016-06-12,0.0
2016-06-13,8.989260143198091
2016-06-14,0.0
2016-06-15,8.989260143198091
2016-06-16,14.982100238663485
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,4.994033412887829
2016-06-21,9.988066825775658
2016-06-22,4.994033412887829
2016-06-23,9.988066825775658
2016-06-24,4.994033412887829
2016-06-25,0.0
2016-06-26,10.986873508353222
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,9.988066825775658
2016-06-30,0.0
2016-07-01,4.994033412887829
2016-07-02,5.992840095465394
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,5.992840095465394
2016-07-10,0.0
2016-07-11,9.988066825775658
2016-07-12,4.994033412887829
2016-07-13,4.994033412887829
2016-07-14,0.0
2016-07-15,4.994033412887829
2016-07-16,0.0
2016-07-17,5.992840095465394
2016-07-18,0.0
2016-07-19,9.988066825775658
2016-07-20,9.988066825775658
2016-07-21,4.994033412887829
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,5.992840095465394
2016-07-25,18.97732696897375
2016-07-26,33.95942720763723
2016-07-27,9.988066825775658
2016-07-28,19.976133651551315
2016-07-29,30.963007159904535
2016-07-30,5.992840095465394
2016-07-31,0.0
2016-08-01,19.976133651551315
2016-08-02,9.988066825775658
2016-08-03,38.953460620525064
2016-08-04,14.982100238663485
2016-08-05,20.974940334128878
2016-08-06,17.978520286396183
2016-08-07,11.985680190930788
2016-08-08,14.982100238663485
2016-08-09,4.994033412887829
2016-08-10,4.994033412887829
2016-08-11,4.994033412887829
2016-08-12,4.994033412887829
2016-08-13,11.985680190930788
2016-08-14,5.992840095465394
2016-08-15,0.0
2016-08-16,4.994033412887829
2016-08-17,14.982100238663485
2016-08-18,19.976133651551315
2016-08-19,4.994033412887829
2016-08-20,10.986873508353222
2016-08-21,21.973747016706444
2016-08-22,0.0
2016-08-23,18.97732696897375
2016-08-24,9.988066825775658
2016-08-25,9.988066825775658
2016-08-26,14.982100238663485
2016-08-27,10.986873508353222
2016-08-28,5.992840095465394
2016-08-29,13.983293556085918
2016-08-30,8.989260143198091
2016-08-31,8.989260143198091
2016-09-01,9.988066825775658
2016-09-02,4.994033412887829
2016-09-03,5.992840095465394
2016-09-04,5.992840095465394
2016-09-05,4.994033412887829
2016-09-06,8.989260143198091
2016-09-07,9.988066825775658
2016-09-08,4.994033412887829
2016-09-09,9.988066825775658
2016-09-10,10.986873508353222
2016-09-11,10.986873508353222
2016-09-12,13.983293556085918
2016-09-13,4.994033412887829
2016-09-14,0.0
2016-09-15,4.994033412887829
2016-09-16,4.994033412887829
2016-09-17,4.994033412887829
2016-09-18,15.98090692124105
2016-09-19,4.994033412887829
2016-09-20,8.989260143198091
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,4.994033412887829
2016-09-24,0.0
2016-09-25,4.994033412887829
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,8.989260143198091
2016-09-29,22.97255369928401
2016-09-30,0.0
2016-10-01,4.997016706443914
2016-10-02,10.494033412887829
2016-10-03,13.494630071599046
2016-10-04,6.994630071599046
2016-10-05,6.991646778042959
2016-10-06,11.49164677804296
2016-10-07,13.99164677804296
2016-10-08,0.0
2016-10-09,2.4970167064439144
2016-10-10,8.994630071599046
2016-10-11,9.497016706443915
2016-10-12,18.98329355608592
2016-10-13,23.49164677804296
2016-10-14,18.99164677804296
2016-10-15,7.997016706443914
2016-10-16,20.987470167064437
2016-10-17,17.98687350835322
2016-10-18,92.44928400954655
2016-10-19,47.46778042959427
2016-10-20,71.46420047732697
2016-10-21,65.45286396181385
2016-10-22,89.94033412887828
2016-10-23,44.977923627684966
2016-10-24,24.98926014319809
2016-10-25,31.48687350835322
2016-10-26,26.983890214797135
2016-10-27,43.47315035799522
2016-10-28,34.977923627684966
2016-10-29,23.98090692124105
2016-10-30,10.99343675417661
2016-10-31,9.488663484486874
2016-11-01,20.99164677804296
2016-11-02,23.0
2016-11-03,9.0
2016-11-04,19.0
2016-11-05,16.0
2016-11-06,47.0
2016-11-07,27.0
2016-11-08,18.0
2016-11-09,63.0
2016-11-10,27.0
2016-11-11,48.0
2016-11-12,48.0
2016-11-13,21.0
2016-11-14,18.0
2016-11-15,14.0
2016-11-16,9.0
2016-11-17,18.0
2016-11-18,9.0
2016-11-19,5.0
2016-11-20,16.0
2016-11-21,5.0
2016-11-22,4.0
