date,car
2016-05-01,91.0
2016-05-02,91.0
2016-05-03,86.0
2016-05-04,86.0
2016-05-05,87.0
2016-05-06,89.0
2016-05-07,94.0
2016-05-08,87.0
2016-05-09,89.0
2016-05-10,87.0
2016-05-11,85.0
2016-05-12,87.0
2016-05-13,87.0
2016-05-14,93.0
2016-05-15,90.0
2016-05-16,88.0
2016-05-17,87.0
2016-05-18,86.0
2016-05-19,87.0
2016-05-20,88.0
2016-05-21,90.0
2016-05-22,93.0
2016-05-23,90.0
2016-05-24,89.0
2016-05-25,89.0
2016-05-26,92.0
2016-05-27,93.0
2016-05-28,92.0
2016-05-29,91.0
2016-05-30,88.0
2016-05-31,92.0
2016-06-01,89.0
2016-06-02,89.0
2016-06-03,88.0
2016-06-04,94.0
2016-06-05,90.0
2016-06-06,88.0
2016-06-07,87.0
2016-06-08,88.0
2016-06-09,88.0
2016-06-10,90.0
2016-06-11,93.0
2016-06-12,89.0
2016-06-13,89.0
2016-06-14,86.0
2016-06-15,87.0
2016-06-16,88.0
2016-06-17,89.0
2016-06-18,96.0
2016-06-19,92.0
2016-06-20,90.0
2016-06-21,90.0
2016-06-22,91.0
2016-06-23,91.0
2016-06-24,88.0
2016-06-25,93.0
2016-06-26,91.0
2016-06-27,89.0
2016-06-28,89.0
2016-06-29,90.0
2016-06-30,90.0
2016-07-01,92.0
2016-07-02,96.0
2016-07-03,93.0
2016-07-04,89.0
2016-07-05,92.0
2016-07-06,91.0
2016-07-07,91.0
2016-07-08,92.0
2016-07-09,100.0
2016-07-10,94.0
2016-07-11,92.0
2016-07-12,88.0
2016-07-13,90.0
2016-07-14,92.0
2016-07-15,92.0
2016-07-16,96.0
2016-07-17,97.0
2016-07-18,93.0
2016-07-19,92.0
2016-07-20,91.0
2016-07-21,92.0
2016-07-22,92.0
2016-07-23,97.0
2016-07-24,97.0
2016-07-25,95.0
2016-07-26,94.0
2016-07-27,90.0
2016-07-28,93.0
2016-07-29,95.0
2016-07-30,100.0
2016-07-31,96.0
2016-08-01,94.0
2016-08-02,93.0
2016-08-03,93.0
2016-08-04,92.0
2016-08-05,92.0
2016-08-06,98.0
2016-08-07,92.0
2016-08-08,93.0
2016-08-09,89.0
2016-08-10,87.0
2016-08-11,91.0
2016-08-12,92.0
2016-08-13,94.0
2016-08-14,92.0
2016-08-15,93.0
2016-08-16,91.0
2016-08-17,87.0
2016-08-18,90.0
2016-08-19,92.0
2016-08-20,96.0
2016-08-21,93.0
2016-08-22,92.0
2016-08-23,88.0
2016-08-24,86.0
2016-08-25,90.0
2016-08-26,91.0
2016-08-27,97.0
2016-08-28,93.0
2016-08-29,88.0
2016-08-30,88.0
2016-08-31,87.0
2016-09-01,87.0
2016-09-02,91.0
2016-09-03,95.0
2016-09-04,92.0
2016-09-05,87.0
2016-09-06,86.0
2016-09-07,85.0
2016-09-08,88.0
2016-09-09,89.0
2016-09-10,95.0
2016-09-11,90.0
2016-09-12,91.0
2016-09-13,86.0
2016-09-14,85.0
2016-09-15,87.0
2016-09-16,89.0
2016-09-17,92.0
2016-09-18,89.0
2016-09-19,86.0
2016-09-20,83.0
2016-09-21,85.0
2016-09-22,82.0
2016-09-23,86.0
2016-09-24,90.0
2016-09-25,87.0
2016-09-26,85.0
2016-09-27,80.0
2016-09-28,82.0
2016-09-29,83.0
2016-09-30,86.0
2016-10-01,86.85635359116023
2016-10-02,83.41988950276243
2016-10-03,81.93259668508287
2016-10-04,82.43259668508287
2016-10-05,80.94530386740331
2016-10-06,80.44530386740331
2016-10-07,81.44530386740331
2016-10-08,86.36906077348067
2016-10-09,84.89447513812155
2016-10-10,83.41988950276243
2016-10-11,81.43259668508287
2016-10-12,82.43259668508287
2016-10-13,81.93259668508287
2016-10-14,82.41988950276243
2016-10-15,85.88176795580111
2016-10-16,84.89447513812155
2016-10-17,82.91988950276243
2016-10-18,82.43259668508287
2016-10-19,81.44530386740331
2016-10-20,80.45801104972375
2016-10-21,81.91988950276243
2016-10-22,85.88176795580111
2016-10-23,81.93259668508287
2016-10-24,81.93259668508287
2016-10-25,81.43259668508287
2016-10-26,80.94530386740331
2016-10-27,81.41988950276243
2016-10-28,82.43259668508287
2016-10-29,83.89447513812155
2016-10-30,80.93259668508287
2016-10-31,81.94530386740331
2016-11-01,82.91988950276243
2016-11-02,80.89060773480664
2016-11-03,79.91602209944752
2016-11-04,81.86519337016574
2016-11-05,85.7635359116022
2016-11-06,82.83977900552486
2016-11-07,81.86519337016574
2016-11-08,76.01767955801105
2016-11-09,64.32265193370166
2016-11-10,75.04309392265193
2016-11-11,79.91602209944752
2016-11-12,84.7889502762431
2016-11-13,80.89060773480664
2016-11-14,81.86519337016574
2016-11-15,81.86519337016574
2016-11-16,79.91602209944752
2016-11-17,79.91602209944752
2016-11-18,80.89060773480664
2016-11-19,84.7889502762431
2016-11-20,82.83977900552486
2016-11-21,81.86519337016574
2016-11-22,79.91602209944752
2016-11-23,79.91602209944752
2016-11-24,73.0939226519337
2016-11-25,78.9414364640884
2016-11-26,81.86519337016574
2016-11-27,81.86519337016574
2016-11-28,80.89060773480664
2016-11-29,79.91602209944752
2016-11-30,80.89060773480664
2016-12-01,78.9414364640884
2016-12-02,79.91602209944752
2016-12-03,81.86519337016574
2016-12-04,80.89060773480664
2016-12-05,80.89060773480664
2016-12-06,80.89060773480664
2016-12-07,80.89060773480664
2016-12-08,81.86519337016574
2016-12-09,78.9414364640884
2016-12-10,81.86519337016574
2016-12-11,80.89060773480664
2016-12-12,81.86519337016574
2016-12-13,80.89060773480664
2016-12-14,81.86519337016574
2016-12-15,80.89060773480664
2016-12-16,82.83977900552486
2016-12-17,86.73812154696132
2016-12-18,83.81436464088398
2016-12-19,83.81436464088398
2016-12-20,83.81436464088398
2016-12-21,83.81436464088398
2016-12-22,82.83977900552486
2016-12-23,82.83977900552486
2016-12-24,76.99226519337016
2016-12-25,70.17016574585635
2016-12-26,81.86519337016574
2016-12-27,86.73812154696132
2016-12-28,90.63646408839779
2016-12-29,88.68729281767956
2016-12-30,89.66187845303867
2016-12-31,81.86519337016574
2017-01-01,78.9414364640884
2017-01-02,87.71270718232044
2017-01-03,88.68729281767956
2017-01-04,84.7889502762431
2017-01-05,88.68729281767956
2017-01-06,88.68729281767956
2017-01-07,89.66187845303867
2017-01-08,89.66187845303867
2017-01-09,85.7635359116022
2017-01-10,84.7889502762431
2017-01-11,83.81436464088398
2017-01-12,82.83977900552486
2017-01-13,84.7889502762431
2017-01-14,89.66187845303867
2017-01-15,87.71270718232044
2017-01-16,85.7635359116022
2017-01-17,84.7889502762431
2017-01-18,83.81436464088398
2017-01-19,84.7889502762431
2017-01-20,85.7635359116022
2017-01-21,92.58563535911603
2017-01-22,88.68729281767956
2017-01-23,86.73812154696132
2017-01-24,84.7889502762431
2017-01-25,80.89060773480664
2017-01-26,82.83977900552486
2017-01-27,85.7635359116022
2017-01-28,91.6110497237569
2017-01-29,88.68729281767956
2017-01-30,85.7635359116022
2017-01-31,84.7889502762431
2017-02-01,83.81436464088398
2017-02-02,83.81436464088398
2017-02-03,85.7635359116022
2017-02-04,91.6110497237569
2017-02-05,84.7889502762431
2017-02-06,83.81436464088398
2017-02-07,83.81436464088398
2017-02-08,83.81436464088398
2017-02-09,82.83977900552486
2017-02-10,84.7889502762431
2017-02-11,90.63646408839779
2017-02-12,86.73812154696132
2017-02-13,83.81436464088398
2017-02-14,79.91602209944752
2017-02-15,83.81436464088398
2017-02-16,85.7635359116022
2017-02-17,89.66187845303867
2017-02-18,96.48397790055249
2017-02-19,97.45856353591161
2017-02-20,90.63646408839779
2017-02-21,87.71270718232044
2017-02-22,87.71270718232044
2017-02-23,88.68729281767956
2017-02-24,92.58563535911603
2017-02-25,97.45856353591161
2017-02-26,97.45856353591161
2017-02-27,89.66187845303867
2017-02-28,91.6110497237569
2017-03-01,87.17301728747103
2017-03-02,88.14760292283015
2017-03-03,89.63044020673676
2017-03-04,92.58563535911603
2017-03-05,92.58563535911603
2017-03-06,89.13266797362323
2017-03-07,87.64983068971662
2017-03-08,86.6752450543575
2017-03-09,88.64537515594368
2017-03-10,88.64537515594368
2017-03-11,94.06847264302263
2017-03-12,93.07292817679559
2017-03-13,86.6752450543575
2017-03-14,86.6752450543575
2017-03-15,87.66031010515059
2017-03-16,86.18795223667794
2017-03-17,88.15808233826412
2017-03-18,94.55576546070219
2017-03-19,92.58563535911603
2017-03-20,90.61550525752985
2017-03-21,86.6752450543575
2017-03-22,86.18795223667794
2017-03-23,85.69018000356442
2017-03-24,88.64537515594368
2017-03-25,93.58117982534307
2017-03-26,93.07292817679559
2017-03-27,91.1027980752094
2017-03-28,87.67078952058456
2017-03-29,88.65585457137766
2017-03-30,90.11773302441632
2017-03-31,92.58563535911603
2017-04-01,95.04305827838175
2017-04-02,90.5945464266619
2017-04-03,89.59900196043486
2017-04-04,87.60791302798074
2017-04-05,85.61682409552664
2017-04-06,86.6123685617537
2017-04-07,86.6123685617537
2017-04-08,92.58563535911601
2017-04-09,93.58117982534307
2017-04-10,90.5945464266619
2017-04-11,87.60791302798074
2017-04-12,88.6034574942078
2017-04-13,89.59900196043486
2017-04-14,95.57226875779718
2017-04-15,93.58117982534307
2017-04-16,90.5945464266619
2017-04-17,92.58563535911601
2017-04-18,89.59900196043486
2017-04-19,87.60791302798074
2017-04-20,87.60791302798074
2017-04-21,90.5945464266619
2017-04-22,93.58117982534307
2017-04-23,89.59900196043486
2017-04-24,90.5945464266619
2017-04-25,88.6034574942078
2017-04-26,85.61682409552664
2017-04-27,87.60791302798074
2017-04-28,89.59900196043486
2017-04-29,94.57672429157013
2017-04-30,94.57672429157013
2017-05-01,97.56335769025128
2017-05-02,87.60791302798074
2017-05-03,88.6034574942078
2017-05-04,86.6123685617537
2017-05-05,88.6034574942078
2017-05-06,93.58117982534307
2017-05-07,90.5945464266619
2017-05-08,89.59900196043486
2017-05-09,88.6034574942078
2017-05-10,88.6034574942078
2017-05-11,87.60791302798074
2017-05-12,89.59900196043486
2017-05-13,93.58117982534307
2017-05-14,90.5945464266619
2017-05-15,90.5945464266619
2017-05-16,90.5945464266619
