date,donald trump ill
2016-05-01,5.918505942275043
2016-05-02,4.932088285229202
2016-05-03,4.932088285229202
2016-05-04,10.850594227504244
2016-05-05,5.918505942275043
2016-05-06,5.918505942275043
2016-05-07,12.823429541595925
2016-05-08,0.0
2016-05-09,4.932088285229202
2016-05-10,4.932088285229202
2016-05-11,7.891341256366723
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,5.918505942275043
2016-05-15,11.837011884550085
2016-05-16,0.0
2016-05-17,20.714770797962647
2016-05-18,4.932088285229202
2016-05-19,4.932088285229202
2016-05-20,5.918505942275043
2016-05-21,0.0
2016-05-22,5.918505942275043
2016-05-23,4.932088285229202
2016-05-24,0.0
2016-05-25,7.891341256366723
2016-05-26,5.918505942275043
2016-05-27,5.918505942275043
2016-05-28,5.918505942275043
2016-05-29,5.918505942275043
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,10.850594227504244
2016-06-02,4.932088285229202
2016-06-03,5.918505942275043
2016-06-04,5.918505942275043
2016-06-05,5.918505942275043
2016-06-06,7.891341256366723
2016-06-07,4.932088285229202
2016-06-08,4.932088285229202
2016-06-09,0.0
2016-06-10,10.850594227504244
2016-06-11,12.823429541595925
2016-06-12,5.918505942275043
2016-06-13,10.850594227504244
2016-06-14,10.850594227504244
2016-06-15,7.891341256366723
2016-06-16,10.850594227504244
2016-06-17,10.850594227504244
2016-06-18,5.918505942275043
2016-06-19,5.918505942275043
2016-06-20,0.0
2016-06-21,10.850594227504244
2016-06-22,4.932088285229202
2016-06-23,0.0
2016-06-24,5.918505942275043
2016-06-25,0.0
2016-06-26,5.918505942275043
2016-06-27,4.932088285229202
2016-06-28,7.891341256366723
2016-06-29,0.0
2016-06-30,4.932088285229202
2016-07-01,5.918505942275043
2016-07-02,5.918505942275043
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,5.918505942275043
2016-07-06,0.0
2016-07-07,5.918505942275043
2016-07-08,13.809847198641766
2016-07-09,6.904923599320883
2016-07-10,0.0
2016-07-11,4.932088285229202
2016-07-12,4.932088285229202
2016-07-13,10.850594227504244
2016-07-14,5.918505942275043
2016-07-15,5.918505942275043
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,4.932088285229202
2016-07-19,27.61969439728353
2016-07-20,4.932088285229202
2016-07-21,5.918505942275043
2016-07-22,22.68760611205433
2016-07-23,12.823429541595925
2016-07-24,12.823429541595925
2016-07-25,13.809847198641766
2016-07-26,7.891341256366723
2016-07-27,7.891341256366723
2016-07-28,7.891341256366723
2016-07-29,10.850594227504244
2016-07-30,9.864176570458405
2016-07-31,5.918505942275043
2016-08-01,15.782682512733446
2016-08-02,35.511035653650254
2016-08-03,40.44312393887946
2016-08-04,18.741935483870968
2016-08-05,28.606112054329373
2016-08-06,19.72835314091681
2016-08-07,18.741935483870968
2016-08-08,15.782682512733446
2016-08-09,4.932088285229202
2016-08-10,21.701188455008488
2016-08-11,13.809847198641766
2016-08-12,24.66044142614601
2016-08-13,15.782682512733446
2016-08-14,12.823429541595925
2016-08-15,5.918505942275043
2016-08-16,4.932088285229202
2016-08-17,7.891341256366723
2016-08-18,0.0
2016-08-19,7.891341256366723
2016-08-20,12.823429541595925
2016-08-21,11.837011884550085
2016-08-22,12.823429541595925
2016-08-23,15.782682512733446
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,7.891341256366723
2016-08-27,15.782682512733446
2016-08-28,5.918505942275043
2016-08-29,10.850594227504244
2016-08-30,4.932088285229202
2016-08-31,10.850594227504244
2016-09-01,4.932088285229202
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,15.782682512733446
2016-09-10,0.0
2016-09-11,14.796264855687605
2016-09-12,12.823429541595925
2016-09-13,4.932088285229202
2016-09-14,9.864176570458405
2016-09-15,4.932088285229202
2016-09-16,4.932088285229202
2016-09-17,5.918505942275043
2016-09-18,0.0
2016-09-19,19.72835314091681
2016-09-20,0.0
2016-09-21,7.891341256366723
2016-09-22,9.864176570458405
2016-09-23,5.918505942275043
2016-09-24,5.918505942275043
2016-09-25,5.918505942275043
2016-09-26,0.0
2016-09-27,22.68760611205433
2016-09-28,20.714770797962647
2016-09-29,4.932088285229202
2016-09-30,13.809847198641766
2016-10-01,8.918505942275043
2016-10-02,5.959252971137522
2016-10-03,11.911714770797962
2016-10-04,7.432088285229202
2016-10-05,7.432088285229202
2016-10-06,64.11290322580645
2016-10-07,99.32088285229202
2016-10-08,52.674023769100174
2016-10-09,25.775891341256365
2016-10-10,20.44567062818336
2016-10-11,15.364176570458405
2016-10-12,11.877758913412563
2016-10-13,31.789473684210527
2016-10-14,9.411714770797962
2016-10-15,21.337011884550087
2016-10-16,15.377758913412563
2016-10-17,16.94567062818336
2016-10-18,14.796264855687605
2016-10-19,6.445670628183361
2016-10-20,23.330220713073004
2016-10-21,18.891341256366722
2016-10-22,5.918505942275043
2016-10-23,5.959252971137522
2016-10-24,10.466044142614601
2016-10-25,11.418505942275043
2016-10-26,4.966044142614601
2016-10-27,10.466044142614601
2016-10-28,5.466044142614601
2016-10-29,2.9592529711375213
2016-10-30,23.3981324278438
2016-10-31,0.0
2016-11-01,10.432088285229202
2016-11-02,0.0
2016-11-03,21.0
2016-11-04,11.0
2016-11-05,12.0
2016-11-06,18.0
2016-11-07,11.0
2016-11-08,36.0
2016-11-09,83.0
2016-11-10,11.0
2016-11-11,45.0
2016-11-12,12.0
2016-11-13,12.0
2016-11-14,21.0
