date,hillary clinton supporters
2016-05-01,2.569032258064516
2016-05-02,2.101935483870968
2016-05-03,3.0361290322580645
2016-05-04,3.736774193548387
2016-05-05,2.101935483870968
2016-05-06,3.2696774193548386
2016-05-07,0.7006451612903226
2016-05-08,0.7006451612903226
2016-05-09,2.101935483870968
2016-05-10,0.9341935483870968
2016-05-11,2.569032258064516
2016-05-12,1.6348387096774193
2016-05-13,1.167741935483871
2016-05-14,3.736774193548387
2016-05-15,2.569032258064516
2016-05-16,2.101935483870968
2016-05-17,3.0361290322580645
2016-05-18,1.6348387096774193
2016-05-19,3.736774193548387
2016-05-20,1.167741935483871
2016-05-21,1.167741935483871
2016-05-22,1.8683870967741936
2016-05-23,0.9341935483870968
2016-05-24,2.101935483870968
2016-05-25,0.0
2016-05-26,1.167741935483871
2016-05-27,1.167741935483871
2016-05-28,1.167741935483871
2016-05-29,0.7006451612903226
2016-05-30,1.167741935483871
2016-05-31,0.0
2016-06-01,2.101935483870968
2016-06-02,0.4670967741935484
2016-06-03,2.8025806451612905
2016-06-04,2.569032258064516
2016-06-05,0.7006451612903226
2016-06-06,2.101935483870968
2016-06-07,7.24
2016-06-08,6.539354838709677
2016-06-09,8.174193548387096
2016-06-10,4.904516129032258
2016-06-11,3.0361290322580645
2016-06-12,0.7006451612903226
2016-06-13,2.101935483870968
2016-06-14,0.4670967741935484
2016-06-15,0.9341935483870968
2016-06-16,1.6348387096774193
2016-06-17,2.101935483870968
2016-06-18,2.569032258064516
2016-06-19,2.569032258064516
2016-06-20,0.4670967741935484
2016-06-21,0.9341935483870968
2016-06-22,1.6348387096774193
2016-06-23,2.569032258064516
2016-06-24,1.167741935483871
2016-06-25,0.7006451612903226
2016-06-26,2.569032258064516
2016-06-27,0.0
2016-06-28,2.569032258064516
2016-06-29,1.167741935483871
2016-06-30,0.4670967741935484
2016-07-01,0.4670967741935484
2016-07-02,2.569032258064516
2016-07-03,1.4012903225806452
2016-07-04,2.8025806451612905
2016-07-05,2.101935483870968
2016-07-06,2.101935483870968
2016-07-07,2.335483870967742
2016-07-08,1.6348387096774193
2016-07-09,2.569032258064516
2016-07-10,0.0
2016-07-11,1.167741935483871
2016-07-12,3.2696774193548386
2016-07-13,4.43741935483871
2016-07-14,2.8025806451612905
2016-07-15,0.4670967741935484
2016-07-16,0.7006451612903226
2016-07-17,1.4012903225806452
2016-07-18,1.6348387096774193
2016-07-19,1.6348387096774193
2016-07-20,1.6348387096774193
2016-07-21,1.6348387096774193
2016-07-22,3.2696774193548386
2016-07-23,4.43741935483871
2016-07-24,5.138064516129032
2016-07-25,3.2696774193548386
2016-07-26,10.743225806451614
2016-07-27,8.641290322580645
2016-07-28,5.371612903225807
2016-07-29,10.276129032258064
2016-07-30,3.970322580645161
2016-07-31,4.43741935483871
2016-08-01,3.2696774193548386
2016-08-02,2.8025806451612905
2016-08-03,3.736774193548387
2016-08-04,4.904516129032258
2016-08-05,5.138064516129032
2016-08-06,2.569032258064516
2016-08-07,0.0
2016-08-08,2.101935483870968
2016-08-09,4.904516129032258
2016-08-10,1.167741935483871
2016-08-11,0.4670967741935484
2016-08-12,0.4670967741935484
2016-08-13,2.569032258064516
2016-08-14,1.167741935483871
2016-08-15,1.167741935483871
2016-08-16,0.4670967741935484
2016-08-17,1.6348387096774193
2016-08-18,2.101935483870968
2016-08-19,1.167741935483871
2016-08-20,1.167741935483871
2016-08-21,1.167741935483871
2016-08-22,1.6348387096774193
2016-08-23,2.101935483870968
2016-08-24,2.101935483870968
2016-08-25,2.8025806451612905
2016-08-26,1.6348387096774193
2016-08-27,2.569032258064516
2016-08-28,1.167741935483871
2016-08-29,0.4670967741935484
2016-08-30,0.4670967741935484
2016-08-31,2.101935483870968
2016-09-01,0.4670967741935484
2016-09-02,1.167741935483871
2016-09-03,1.167741935483871
2016-09-04,0.0
2016-09-05,1.6348387096774193
2016-09-06,1.6348387096774193
2016-09-07,2.101935483870968
2016-09-08,2.569032258064516
2016-09-09,1.167741935483871
2016-09-10,17.049032258064518
2016-09-11,23.35483870967742
2016-09-12,13.545806451612904
2016-09-13,12.378064516129033
2016-09-14,7.707096774193548
2016-09-15,5.371612903225807
2016-09-16,8.174193548387096
2016-09-17,3.0361290322580645
2016-09-18,5.371612903225807
2016-09-19,2.569032258064516
2016-09-20,3.970322580645161
2016-09-21,3.0361290322580645
2016-09-22,4.203870967741936
2016-09-23,4.203870967741936
2016-09-24,4.904516129032258
2016-09-25,1.167741935483871
2016-09-26,2.101935483870968
2016-09-27,5.605161290322581
2016-09-28,3.503225806451613
2016-09-29,2.569032258064516
2016-09-30,3.2696774193548386
2016-10-01,8.919354838709678
2016-10-02,14.057419354838709
2016-10-03,8.503225806451614
2016-10-04,6.185806451612903
2016-10-05,5.0361290322580645
2016-10-06,3.485161290322581
2016-10-07,1.784516129032258
2016-10-08,5.335483870967742
2016-10-09,5.853548387096774
2016-10-10,9.404516129032258
2016-10-11,6.236774193548387
2016-10-12,6.62
2016-10-13,7.638064516129032
2016-10-14,6.886451612903226
2016-10-15,5.101935483870967
2016-10-16,6.0690322580645155
2016-10-17,7.470322580645162
2016-10-18,4.251612903225807
2016-10-19,4.251612903225807
2016-10-20,6.769677419354839
2016-10-21,4.251612903225807
2016-10-22,2.9012903225806452
2016-10-23,2.985161290322581
2016-10-24,3.7516129032258068
2016-10-25,5.769677419354839
2016-10-26,3.985161290322581
2016-10-27,3.485161290322581
2016-10-28,2.5509677419354837
2016-10-29,6.769677419354839
2016-10-30,5.335483870967742
