date,putin conference
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,2.890322580645161
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,3.4064516129032256
2016-05-09,2.890322580645161
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,2.9935483870967743
2016-05-14,0.0
2016-05-15,3.303225806451613
2016-05-16,0.0
2016-05-17,2.890322580645161
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,6.812903225806451
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,2.890322580645161
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,5.161290322580645
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,3.096774193548387
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,2.890322580645161
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,3.096774193548387
2016-06-11,3.4064516129032256
2016-06-12,3.4064516129032256
2016-06-13,0.0
2016-06-14,2.890322580645161
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,2.9935483870967743
2016-06-18,7.019354838709678
2016-06-19,0.0
2016-06-20,2.890322580645161
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,6.090322580645161
2016-06-25,0.0
2016-06-26,3.4064516129032256
2016-06-27,2.890322580645161
2016-06-28,0.0
2016-06-29,2.9935483870967743
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,3.096774193548387
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,2.9935483870967743
2016-07-12,2.890322580645161
2016-07-13,0.0
2016-07-14,5.987096774193549
2016-07-15,8.980645161290322
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,2.9935483870967743
2016-07-19,0.0
2016-07-20,2.9935483870967743
2016-07-21,6.090322580645161
2016-07-22,3.096774193548387
2016-07-23,0.0
2016-07-24,3.509677419354839
2016-07-25,0.0
2016-07-26,2.9935483870967743
2016-07-27,8.87741935483871
2016-07-28,8.980645161290322
2016-07-29,3.096774193548387
2016-07-30,3.509677419354839
2016-07-31,3.509677419354839
2016-08-01,0.0
2016-08-02,2.9935483870967743
2016-08-03,0.0
2016-08-04,2.9935483870967743
2016-08-05,3.096774193548387
2016-08-06,0.0
2016-08-07,3.509677419354839
2016-08-08,2.9935483870967743
2016-08-09,10.32258064516129
2016-08-10,0.0
2016-08-11,2.9935483870967743
2016-08-12,3.096774193548387
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,0.0
2016-08-16,2.9935483870967743
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,3.096774193548387
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,2.890322580645161
2016-08-23,2.9935483870967743
2016-08-24,2.9935483870967743
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,3.4064516129032256
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,2.890322580645161
2016-09-01,2.890322580645161
2016-09-02,2.9935483870967743
2016-09-03,3.4064516129032256
2016-09-04,0.0
2016-09-05,2.890322580645161
2016-09-06,0.0
2016-09-07,5.780645161290322
2016-09-08,5.780645161290322
2016-09-09,4.438709677419355
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,2.890322580645161
2016-09-15,5.883870967741935
2016-09-16,2.9935483870967743
2016-09-17,0.0
2016-09-18,3.2
2016-09-19,0.0
2016-09-20,4.129032258064516
2016-09-21,0.0
2016-09-22,2.890322580645161
2016-09-23,0.0
2016-09-24,3.303225806451613
2016-09-25,3.303225806451613
2016-09-26,2.7870967741935484
2016-09-27,0.0
2016-09-28,2.7870967741935484
2016-09-29,2.7870967741935484
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,4.235483870967742
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,4.287096774193548
2016-10-07,1.5
2016-10-08,3.6
2016-10-09,1.6
2016-10-10,2.893548387096774
2016-10-11,2.893548387096774
2016-10-12,5.787096774193548
2016-10-13,6.616129032258065
2016-10-14,7.335483870967742
2016-10-15,7.751612903225807
2016-10-16,4.374193548387097
2016-10-17,4.341935483870968
2016-10-18,4.341935483870968
2016-10-19,5.629032258064516
2016-10-20,2.893548387096774
2016-10-21,4.338709677419355
2016-10-22,2.0
2016-10-23,0.0
2016-10-24,3.564516129032258
2016-10-25,2.8419354838709676
2016-10-26,1.3419354838709678
2016-10-27,5.787096774193548
2016-10-28,1.5
2016-10-29,1.6
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,2.945161290322581
2016-11-02,0.0
2016-11-03,6.0
2016-11-04,0.0
2016-11-05,4.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,7.0
2016-11-10,3.0
2016-11-11,6.0
2016-11-12,0.0
2016-11-13,3.0
2016-11-14,3.0
2016-11-15,6.0
2016-11-16,3.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,4.0
2016-11-20,0.0
2016-11-21,6.0
2016-11-22,9.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,3.0
2016-11-26,3.0
2016-11-27,3.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,3.0
2016-12-01,3.0
2016-12-02,3.0
2016-12-03,3.0
2016-12-04,0.0
2016-12-05,9.0
2016-12-06,4.0
2016-12-07,0.0
2016-12-08,6.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,4.0
2016-12-12,0.0
2016-12-13,4.0
2016-12-14,0.0
2016-12-15,5.0
2016-12-16,23.0
2016-12-17,13.0
2016-12-18,4.0
2016-12-19,6.0
2016-12-20,0.0
2016-12-21,6.0
2016-12-22,3.0
2016-12-23,100.0
2016-12-24,54.0
2016-12-25,8.0
2016-12-26,7.0
2016-12-27,0.0
2016-12-28,3.0
2016-12-29,5.0
2016-12-30,3.0
2016-12-31,8.0
2017-01-01,8.0
2017-01-02,3.0
2017-01-03,3.0
2017-01-04,3.0
2017-01-05,3.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,3.0
2017-01-09,3.0
2017-01-10,6.0
2017-01-11,31.0
2017-01-12,21.0
2017-01-13,6.0
2017-01-14,5.0
2017-01-15,7.0
2017-01-16,7.0
2017-01-17,13.0
2017-01-18,16.0
2017-01-19,16.0
2017-01-20,4.0
2017-01-21,5.0
2017-01-22,13.0
2017-01-23,7.0
2017-01-24,6.0
2017-01-25,3.0
2017-01-26,3.0
