date,putin hand
2016-12-03,0.0
2016-12-04,16.26626323751891
2016-12-05,27.78819969742814
2016-12-06,27.78819969742814
2016-12-07,14.232980332829046
2016-12-08,0.0
2016-12-09,29.821482602118
2016-12-10,18.299546142208772
2016-12-11,0.0
2016-12-12,14.232980332829046
2016-12-13,21.010590015128592
2016-12-14,14.232980332829046
2016-12-15,14.232980332829046
2016-12-16,22.3661119515885
2016-12-17,16.944024205748864
2016-12-18,32.53252647503782
2016-12-19,14.232980332829046
2016-12-20,14.232980332829046
2016-12-21,14.910741301059
2016-12-22,14.910741301059
2016-12-23,31.17700453857791
2016-12-24,35.92133131618759
2016-12-25,18.299546142208772
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,14.910741301059
2016-12-30,31.17700453857791
2016-12-31,17.621785173978818
2017-01-01,0.0
2017-01-02,14.910741301059
2017-01-03,42.021180030257185
2017-01-04,34.56580937972768
2017-01-05,28.46596066565809
2017-01-06,29.143721633888045
2017-01-07,15.588502269288956
2017-01-08,31.17700453857791
2017-01-09,13.555219364599091
2017-01-10,27.110438729198183
2017-01-11,20.332829046898635
2017-01-12,20.332829046898635
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,27.110438729198183
2017-01-17,33.88804841149773
2017-01-18,67.77609682299546
2017-01-19,27.110438729198183
2017-01-20,14.232980332829046
2017-01-21,31.17700453857791
2017-01-22,31.17700453857791
2017-01-23,27.110438729198183
2017-01-24,13.555219364599091
2017-01-25,13.555219364599091
2017-01-26,13.555219364599091
2017-01-27,0.0
2017-01-28,31.854765506807865
2017-01-29,15.588502269288956
2017-01-30,20.332829046898635
2017-01-31,27.110438729198183
2017-02-01,27.110438729198183
2017-02-02,47.44326777609682
2017-02-03,27.78819969742814
2017-02-04,15.588502269288956
2017-02-05,14.910741301059
2017-02-06,0.0
2017-02-07,13.555219364599091
2017-02-08,27.110438729198183
2017-02-09,27.110438729198183
2017-02-10,14.232980332829046
2017-02-11,15.588502269288956
2017-02-12,15.588502269288956
2017-02-13,13.555219364599091
2017-02-14,13.555219364599091
2017-02-15,20.332829046898635
2017-02-16,27.110438729198183
2017-02-17,35.243570347957636
2017-02-18,15.588502269288956
2017-02-19,46.76550680786686
2017-02-20,13.555219364599091
2017-02-21,0.0
2017-02-22,13.555219364599091
2017-02-23,13.555219364599091
2017-02-24,28.46596066565809
2017-02-25,23.72163388804841
2017-02-26,15.588502269288956
2017-02-27,13.555219364599091
2017-02-28,0.0
2017-03-01,17.777609682299545
2017-03-02,17.777609682299545
2017-03-03,6.777609682299546
2017-03-04,20.294251134644476
2017-03-05,19.4553706505295
2017-03-06,34.716338880484116
2017-03-07,26.76626323751891
2017-03-08,0.0
2017-03-09,6.777609682299546
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,7.4553706505295
2017-03-13,6.777609682299546
2017-03-14,34.716338880484116
2017-03-15,17.777609682299545
2017-03-16,6.777609682299546
2017-03-17,11.5
2017-03-18,73.04387291981845
2017-03-19,12.5
2017-03-20,0.0
2017-03-21,6.777609682299546
2017-03-22,6.438729198184569
2017-03-23,6.777609682299546
2017-03-24,7.116490166414523
2017-03-25,7.794251134644478
2017-03-26,33.794251134644476
2017-03-27,6.438729198184569
2017-03-28,0.0
2017-03-29,10.166414523449317
2017-03-30,6.777609682299546
2017-03-31,14.232980332829046
2017-04-01,20.794251134644476
2017-04-02,52.0
2017-04-03,0.0
2017-04-04,22.0
2017-04-05,22.0
2017-04-06,0.0
2017-04-07,47.0
2017-04-08,52.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,46.0
2017-04-12,0.0
2017-04-13,47.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,66.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,23.0
2017-04-22,0.0
2017-04-23,26.0
2017-04-24,0.0
2017-04-25,44.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,23.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,26.0
2017-05-07,52.0
2017-05-08,45.0
2017-05-09,22.0
2017-05-10,22.0
2017-05-11,22.0
2017-05-12,0.0
2017-05-13,26.0
2017-05-14,0.0
