date,donald trump bankruptcy
2016-05-01,10.836795252225519
2016-05-02,12.80712166172107
2016-05-03,14.777448071216618
2016-05-04,42.362017804154306
2016-05-05,18.718100890207715
2016-05-06,12.80712166172107
2016-05-07,25.61424332344214
2016-05-08,10.836795252225519
2016-05-09,5.910979228486648
2016-05-10,35.46587537091988
2016-05-11,23.64391691394659
2016-05-12,8.86646884272997
2016-05-13,2.955489614243324
2016-05-14,21.673590504451038
2016-05-15,3.940652818991098
2016-05-16,14.777448071216618
2016-05-17,20.688427299703264
2016-05-18,11.821958456973295
2016-05-19,17.73293768545994
2016-05-20,5.910979228486648
2016-05-21,3.940652818991098
2016-05-22,3.940652818991098
2016-05-23,2.955489614243324
2016-05-24,5.910979228486648
2016-05-25,11.821958456973295
2016-05-26,12.80712166172107
2016-05-27,9.851632047477745
2016-05-28,21.673590504451038
2016-05-29,10.836795252225519
2016-05-30,15.762611275964392
2016-05-31,18.718100890207715
2016-06-01,23.64391691394659
2016-06-02,18.718100890207715
2016-06-03,5.910979228486648
2016-06-04,14.777448071216618
2016-06-05,10.836795252225519
2016-06-06,5.910979228486648
2016-06-07,14.777448071216618
2016-06-08,8.86646884272997
2016-06-09,24.629080118694365
2016-06-10,28.569732937685462
2016-06-11,10.836795252225519
2016-06-12,20.688427299703264
2016-06-13,14.777448071216618
2016-06-14,2.955489614243324
2016-06-15,20.688427299703264
2016-06-16,15.762611275964392
2016-06-17,15.762611275964392
2016-06-18,6.896142433234422
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,5.910979228486648
2016-06-22,30.54005934718101
2016-06-23,15.762611275964392
2016-06-24,12.80712166172107
2016-06-25,6.896142433234422
2016-06-26,10.836795252225519
2016-06-27,11.821958456973295
2016-06-28,8.86646884272997
2016-06-29,5.910979228486648
2016-06-30,12.80712166172107
2016-07-01,6.896142433234422
2016-07-02,0.0
2016-07-03,3.940652818991098
2016-07-04,0.0
2016-07-05,2.955489614243324
2016-07-06,12.80712166172107
2016-07-07,9.851632047477745
2016-07-08,12.80712166172107
2016-07-09,10.836795252225519
2016-07-10,10.836795252225519
2016-07-11,5.910979228486648
2016-07-12,5.910979228486648
2016-07-13,5.910979228486648
2016-07-14,9.851632047477745
2016-07-15,22.658753709198812
2016-07-16,14.777448071216618
2016-07-17,10.836795252225519
2016-07-18,15.762611275964392
2016-07-19,21.673590504451038
2016-07-20,65.02077151335313
2016-07-21,37.43620178041543
2016-07-22,76.84272997032642
2016-07-23,29.554896142433236
2016-07-24,25.61424332344214
2016-07-25,24.629080118694365
2016-07-26,76.84272997032642
2016-07-27,30.54005934718101
2016-07-28,62.06528189910979
2016-07-29,65.02077151335313
2016-07-30,33.49554896142433
2016-07-31,14.777448071216618
2016-08-01,21.673590504451038
2016-08-02,21.673590504451038
2016-08-03,18.718100890207715
2016-08-04,21.673590504451038
2016-08-05,6.896142433234422
2016-08-06,14.777448071216618
2016-08-07,18.718100890207715
2016-08-08,12.80712166172107
2016-08-09,0.0
2016-08-10,15.762611275964392
2016-08-11,5.910979228486648
2016-08-12,0.0
2016-08-13,3.940652818991098
2016-08-14,0.0
2016-08-15,12.80712166172107
2016-08-16,5.910979228486648
2016-08-17,8.86646884272997
2016-08-18,2.955489614243324
2016-08-19,6.896142433234422
2016-08-20,3.940652818991098
2016-08-21,3.940652818991098
2016-08-22,11.821958456973295
2016-08-23,2.955489614243324
2016-08-24,11.821958456973295
2016-08-25,5.910979228486648
2016-08-26,2.955489614243324
2016-08-27,3.940652818991098
2016-08-28,10.836795252225519
2016-08-29,5.910979228486648
2016-08-30,8.86646884272997
2016-08-31,2.955489614243324
2016-09-01,5.910979228486648
2016-09-02,2.955489614243324
2016-09-03,10.836795252225519
2016-09-04,6.896142433234422
2016-09-05,2.955489614243324
2016-09-06,14.777448071216618
2016-09-07,8.86646884272997
2016-09-08,2.955489614243324
2016-09-09,2.955489614243324
2016-09-10,10.836795252225519
2016-09-11,6.896142433234422
2016-09-12,0.0
2016-09-13,2.955489614243324
2016-09-14,11.821958456973295
2016-09-15,11.821958456973295
2016-09-16,15.762611275964392
2016-09-17,3.940652818991098
2016-09-18,2.955489614243324
2016-09-19,0.0
2016-09-20,5.910979228486648
2016-09-21,5.910979228486648
2016-09-22,2.955489614243324
2016-09-23,5.910979228486648
2016-09-24,10.836795252225519
2016-09-25,16.747774480712167
2016-09-26,11.821958456973295
2016-09-27,98.51632047477746
2016-09-28,26.599406528189913
2016-09-29,14.777448071216618
2016-09-30,15.762611275964392
2016-10-01,15.344213649851632
2016-10-02,15.851632047477745
2016-10-03,24.829376854599406
2016-10-04,15.388724035608309
2016-10-05,8.433234421364986
2016-10-06,5.955489614243324
2016-10-07,4.9777448071216615
2016-10-08,5.0
2016-10-09,14.925816023738872
2016-10-10,17.88872403560831
2016-10-11,12.388724035608309
2016-10-12,10.410979228486648
2016-10-13,13.36646884272997
2016-10-14,6.4777448071216615
2016-10-15,6.925816023738872
2016-10-16,4.948071216617211
2016-10-17,13.396142433234422
2016-10-18,5.955489614243324
2016-10-19,8.455489614243323
2016-10-20,24.366468842729972
2016-10-21,11.410979228486648
2016-10-22,5.4777448071216615
2016-10-23,8.925816023738872
2016-10-24,8.910979228486648
2016-10-25,9.91839762611276
2016-10-26,4.955489614243324
2016-10-27,4.9777448071216615
2016-10-28,6.955489614243324
2016-10-29,13.396142433234422
2016-10-30,10.896142433234422
2016-10-31,5.455489614243324
2016-11-01,5.433234421364985
2016-11-02,5.0
2016-11-03,11.0
2016-11-04,11.0
2016-11-05,4.0
