date,donald trump release tax returns
2017-01-26,20.054200542005418
2017-01-27,20.596205962059617
2017-01-28,9.214092140921409
2017-01-29,9.214092140921409
2017-01-30,7.588075880758807
2017-01-31,7.588075880758807
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,8.130081300813007
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,7.588075880758807
2017-02-07,15.176151761517614
2017-02-08,7.588075880758807
2017-02-09,7.588075880758807
2017-02-10,8.130081300813007
2017-02-11,0.0
2017-02-12,9.214092140921409
2017-02-13,7.588075880758807
2017-02-14,0.0
2017-02-15,8.130081300813007
2017-02-16,11.924119241192411
2017-02-17,8.130081300813007
2017-02-18,0.0
2017-02-19,9.214092140921409
2017-02-20,7.588075880758807
2017-02-21,7.588075880758807
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,8.130081300813007
2017-03-01,9.4241593303507
2017-03-02,9.510351020669969
2017-03-03,8.031461971424447
2017-03-04,8.65244303330607
2017-03-05,0.0
2017-03-06,13.157261750132292
2017-03-07,0.0
2017-03-08,3.7940379403794036
2017-03-09,7.643799810779171
2017-03-10,0.0
2017-03-11,4.336043360433604
2017-03-12,0.0
2017-03-13,3.7940379403794036
2017-03-14,3.7331024197815936
2017-03-15,26.76312118150767
2017-03-16,7.527140360160997
2017-03-17,11.99788329244239
2017-03-18,15.205015955484996
2017-03-19,4.316399672872468
2017-03-20,0.0
2017-03-21,3.7331024197815936
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,4.083080771636118
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,3.7940379403794036
2017-03-29,3.7940379403794036
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,4.433059123490643
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,9.332756049453984
2017-04-10,7.932842642035887
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,9.332756049453984
2017-04-16,23.33189012363496
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,7.466204839563187
2017-04-27,0.0
2017-04-28,7.932842642035887
2017-04-29,9.099437148217634
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,15.165728580362725
2017-05-03,7.466204839563187
2017-05-04,7.6995237407995365
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,7.6995237407995365
2017-05-09,7.6995237407995365
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,15.865685284071773
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,7.6995237407995365
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,8.166161543272237
2017-06-03,0.0
