date,fisa
2016-05-01,3.187079621691735
2016-05-02,5.099327394706776
2016-05-03,8.923822940736859
2016-05-04,11.473486638090247
2016-05-05,10.8360707137519
2016-05-06,9.083176921821446
2016-05-07,5.099327394706776
2016-05-08,8.923822940736859
2016-05-09,12.588964505682354
2016-05-10,13.2263804300207
2016-05-11,12.907672467851526
2016-05-12,10.8360707137519
2016-05-13,8.605114978567686
2016-05-14,4.6212654514530165
2016-05-15,6.055451281214297
2016-05-16,14.18250431652822
2016-05-17,14.18250431652822
2016-05-18,11.632840619174834
2016-05-19,12.270256543513181
2016-05-20,8.445760997483099
2016-05-21,4.302557489283843
2016-05-22,6.85222118663723
2016-05-23,15.138628203035742
2016-05-24,14.341858297612808
2016-05-25,13.2263804300207
2016-05-26,11.632840619174834
2016-05-27,9.561238865075206
2016-05-28,6.055451281214297
2016-05-29,7.011575167721817
2016-05-30,11.951548581344007
2016-05-31,12.588964505682354
2016-06-01,9.083176921821446
2016-06-02,11.154778675921072
2016-06-03,8.923822940736859
2016-06-04,4.461911470368429
2016-06-05,5.577389337960536
2016-06-06,10.995424694836487
2016-06-07,12.110902562428594
2016-06-08,11.951548581344007
2016-06-09,9.401884883990618
2016-06-10,11.154778675921072
2016-06-11,5.41803535687595
2016-06-12,7.330283129890991
2016-06-13,13.863796354359048
2016-06-14,13.2263804300207
2016-06-15,11.31413265700566
2016-06-16,10.8360707137519
2016-06-17,7.330283129890991
2016-06-18,3.5057875838609087
2016-06-19,3.983849527114669
2016-06-20,6.85222118663723
2016-06-21,10.995424694836487
2016-06-22,9.083176921821446
2016-06-23,8.764468959652271
2016-06-24,7.330283129890991
2016-06-25,3.187079621691735
2016-06-26,5.099327394706776
2016-06-27,8.923822940736859
2016-06-28,9.561238865075206
2016-06-29,7.967699054229338
2016-06-30,7.808345073144752
2016-07-01,6.692867205552644
2016-07-02,3.5057875838609087
2016-07-03,5.89609730012971
2016-07-04,9.401884883990618
2016-07-05,8.286407016398512
2016-07-06,10.676716732667312
2016-07-07,10.039300808328965
2016-07-08,7.808345073144752
2016-07-09,3.983849527114669
2016-07-10,4.6212654514530165
2016-07-11,8.764468959652271
2016-07-12,8.286407016398512
2016-07-13,9.401884883990618
2016-07-14,9.561238865075206
2016-07-15,7.489637110975578
2016-07-16,3.983849527114669
2016-07-17,5.099327394706776
2016-07-18,9.242530902906033
2016-07-19,8.764468959652271
2016-07-20,8.923822940736859
2016-07-21,9.242530902906033
2016-07-22,7.170929148806404
2016-07-23,3.6651415649454955
2016-07-24,3.0277256406071484
2016-07-25,9.561238865075206
2016-07-26,10.198654789413553
2016-07-27,8.764468959652271
2016-07-28,8.445760997483099
2016-07-29,6.055451281214297
2016-07-30,3.187079621691735
2016-07-31,3.6651415649454955
2016-08-01,8.764468959652271
2016-08-02,7.6489910920601645
2016-08-03,9.083176921821446
2016-08-04,7.6489910920601645
2016-08-05,7.170929148806404
2016-08-06,4.780619432537603
2016-08-07,4.6212654514530165
2016-08-08,8.445760997483099
2016-08-09,7.6489910920601645
2016-08-10,7.967699054229338
2016-08-11,9.879946827244378
2016-08-12,7.011575167721817
2016-08-13,4.302557489283843
2016-08-14,3.0277256406071484
2016-08-15,4.780619432537603
2016-08-16,7.808345073144752
2016-08-17,7.808345073144752
2016-08-18,8.605114978567686
2016-08-19,6.85222118663723
2016-08-20,4.143203508199256
2016-08-21,4.302557489283843
2016-08-22,8.764468959652271
2016-08-23,8.127053035313924
2016-08-24,9.083176921821446
2016-08-25,9.083176921821446
2016-08-26,7.489637110975578
2016-08-27,3.187079621691735
2016-08-28,5.258681375791363
2016-08-29,8.923822940736859
2016-08-30,8.445760997483099
2016-08-31,9.242530902906033
2016-09-01,8.605114978567686
2016-09-02,6.692867205552644
2016-09-03,3.8244955460300822
2016-09-04,5.258681375791363
2016-09-05,11.31413265700566
2016-09-06,11.154778675921072
2016-09-07,8.764468959652271
2016-09-08,10.35800877049814
2016-09-09,7.489637110975578
2016-09-10,4.302557489283843
2016-09-11,5.258681375791363
2016-09-12,12.907672467851526
2016-09-13,12.110902562428594
2016-09-14,11.951548581344007
2016-09-15,13.2263804300207
2016-09-16,8.445760997483099
2016-09-17,4.780619432537603
2016-09-18,7.967699054229338
2016-09-19,12.74831848676694
2016-09-20,12.429610524597766
2016-09-21,14.501212278697395
2016-09-22,11.31413265700566
2016-09-23,8.923822940736859
2016-09-24,5.577389337960536
2016-09-25,9.242530902906033
2016-09-26,12.270256543513181
2016-09-27,12.588964505682354
2016-09-28,13.545088392189873
2016-09-29,11.154778675921072
2016-09-30,10.039300808328965
2016-10-01,4.96625430579059
2016-10-02,7.8609068574815515
2016-10-03,13.517556028965835
2016-10-04,13.517556028965835
2016-10-05,13.11917107625437
2016-10-06,13.42453001383007
2016-10-07,10.211169499969934
2016-10-08,5.736326162026578
2016-10-09,6.825105980431739
2016-10-10,13.371551072474722
2016-10-11,14.911694784946697
2016-10-12,12.813812138678669
2016-10-13,12.561432142458315
2016-10-14,9.507425609682768
2016-10-15,5.576972180941991
2016-10-16,8.006911813972666
2016-10-17,13.743237975999243
2016-10-18,12.030391257849208
2016-10-19,13.265176032745483
2016-10-20,14.20795089465953
2016-10-21,10.529877462139106
2016-10-22,6.679101023940625
2016-10-23,8.710655704259834
2016-10-24,14.911694784946697
2016-10-25,16.01382362794533
2016-10-26,15.403105752793934
2016-10-27,15.004720800082461
2016-10-28,10.835236399714809
2016-10-29,5.4176181998574044
2016-10-30,7.701552876396967
2016-10-31,12.561432142458315
2016-11-01,12.096719223798027
