date,donald trump crook
2016-05-01,0.0
2016-05-02,26.652542372881356
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,46.25
2016-05-09,25.868644067796613
2016-05-10,25.084745762711865
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,25.868644067796613
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,26.652542372881356
2016-05-27,27.436440677966104
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,25.868644067796613
2016-06-02,26.652542372881356
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,52.521186440677965
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,60.360169491525426
2016-06-12,0.0
2016-06-13,25.868644067796613
2016-06-14,0.0
2016-06-15,25.868644067796613
2016-06-16,0.0
2016-06-17,27.436440677966104
2016-06-18,31.35593220338983
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,25.868644067796613
2016-06-22,0.0
2016-06-23,26.652542372881356
2016-06-24,27.436440677966104
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,39.19491525423729
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,27.436440677966104
2016-07-02,31.35593220338983
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,32.139830508474574
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,25.868644067796613
2016-07-13,26.652542372881356
2016-07-14,0.0
2016-07-15,27.436440677966104
2016-07-16,31.35593220338983
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,26.652542372881356
2016-07-20,26.652542372881356
2016-07-21,54.87288135593221
2016-07-22,41.54661016949153
2016-07-23,78.38983050847457
2016-07-24,0.0
2016-07-25,52.521186440677965
2016-07-26,53.30508474576271
2016-07-27,26.652542372881356
2016-07-28,26.652542372881356
2016-07-29,69.76694915254238
2016-07-30,31.35593220338983
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,26.652542372881356
2016-08-04,26.652542372881356
2016-08-05,28.220338983050848
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,31.35593220338983
2016-08-15,28.220338983050848
2016-08-16,26.652542372881356
2016-08-17,26.652542372881356
2016-08-18,26.652542372881356
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,26.652542372881356
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,30.572033898305087
2016-08-28,30.572033898305087
2016-08-29,0.0
2016-08-30,25.868644067796613
2016-08-31,0.0
2016-09-01,25.868644067796613
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,25.868644067796613
2016-09-08,25.868644067796613
2016-09-09,52.521186440677965
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,25.084745762711865
2016-09-20,25.084745762711865
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,53.30508474576271
2016-09-24,29.78813559322034
2016-09-25,58.79237288135593
2016-09-26,25.084745762711865
2016-09-27,25.084745762711865
2016-09-28,0.0
2016-09-29,25.084745762711865
2016-09-30,26.652542372881356
2016-10-01,16.5
2016-10-02,29.610169491525426
2016-10-03,32.65042372881356
2016-10-04,38.192796610169495
2016-10-05,32.313559322033896
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,47.39406779661017
2016-10-09,16.0
2016-10-10,26.54237288135593
2016-10-11,39.313559322033896
2016-10-12,54.20550847457628
2016-10-13,0.0
2016-10-14,40.54237288135593
2016-10-15,30.5021186440678
2016-10-16,16.0
2016-10-17,38.92161016949153
2016-10-18,12.150423728813559
2016-10-19,24.69279661016949
2016-10-20,37.800847457627114
2016-10-21,33.54237288135593
2016-10-22,30.5021186440678
2016-10-23,0.0
2016-10-24,12.150423728813559
2016-10-25,37.800847457627114
2016-10-26,0.0
2016-10-27,24.69279661016949
2016-10-28,12.934322033898306
2016-10-29,0.0
2016-10-30,14.502118644067798
2016-10-31,14.0
2016-11-01,26.54237288135593
2016-11-02,27.0
2016-11-03,27.0
2016-11-04,56.0
2016-11-05,62.0
2016-11-06,0.0
2016-11-07,54.0
2016-11-08,27.0
2016-11-09,100.0
2016-11-10,81.0
2016-11-11,43.0
2016-11-12,0.0
2016-11-13,30.0
2016-11-14,0.0
2016-11-15,27.0
2016-11-16,27.0
2016-11-17,0.0
2016-11-18,28.0
2016-11-19,31.0
2016-11-20,0.0
2016-11-21,27.0
2016-11-22,27.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,28.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,27.0
2016-12-01,0.0
2016-12-02,28.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,28.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,27.0
2016-12-14,27.0
2016-12-15,0.0
2016-12-16,28.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,27.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,34.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,30.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,26.0
2017-01-13,54.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,27.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,26.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,27.0
2017-02-04,30.0
2017-02-05,0.0
2017-02-06,26.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,26.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,29.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,26.0
2017-02-17,27.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,26.0
2017-02-21,0.0
2017-02-22,26.0
2017-02-23,0.0
2017-02-24,27.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,13.083333333333332
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,12.5
2017-03-08,13.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,14.366013071895424
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,25.570261437908496
2017-03-15,12.570261437908496
2017-03-16,13.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,14.5
2017-03-20,0.0
2017-03-21,12.570261437908496
2017-03-22,12.5
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,13.33986928104575
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,29.75816993464052
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,25.14052287581699
2017-04-26,0.0
2017-04-27,25.653594771241828
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,25.653594771241828
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,30.271241830065357
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,51.307189542483655
2017-05-18,25.653594771241828
2017-05-19,26.6797385620915
2017-05-20,30.271241830065357
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,25.653594771241828
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,26.166666666666664
2017-05-31,26.166666666666664
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
